country1,country2,field,year,num_articles,complete
United States,Australia,Chip design and fabrication,2019,75,True
United States,Australia,Chip design and fabrication,2024,67,False
United States,Australia,Chip design and fabrication,2023,57,True
United States,Australia,Chip design and fabrication,2017,67,True
United States,Australia,Chip design and fabrication,2022,76,True
Belgium,Austria,Chip design and fabrication,2024,27,False
Belgium,Austria,Chip design and fabrication,2020,27,True
France,Austria,Chip design and fabrication,2024,30,False
France,Austria,Chip design and fabrication,2016,26,True
Germany,Austria,Chip design and fabrication,2024,84,False
Germany,Austria,Chip design and fabrication,2020,82,True
Germany,Austria,Chip design and fabrication,2018,69,True
Germany,Austria,Chip design and fabrication,2023,83,True
Germany,Austria,Chip design and fabrication,2021,65,True
Germany,Austria,Chip design and fabrication,2016,63,True
Germany,Austria,Chip design and fabrication,2017,67,True
Germany,Austria,Chip design and fabrication,2015,47,True
Germany,Austria,Chip design and fabrication,2019,66,True
Germany,Austria,Chip design and fabrication,2022,86,True
Germany,Austria,Chip design and fabrication,2025,37,False
Italy,Austria,Chip design and fabrication,2018,36,True
Italy,Austria,Chip design and fabrication,2021,40,True
Italy,Austria,Chip design and fabrication,2023,46,True
Italy,Austria,Chip design and fabrication,2022,42,True
Italy,Austria,Chip design and fabrication,2020,40,True
Italy,Austria,Chip design and fabrication,2019,36,True
Italy,Austria,Chip design and fabrication,2024,43,False
United Kingdom,Austria,Chip design and fabrication,2023,31,True
United Kingdom,Austria,Chip design and fabrication,2022,36,True
United Kingdom,Austria,Chip design and fabrication,2021,36,True
United Kingdom,Austria,Chip design and fabrication,2020,31,True
United Kingdom,Austria,Chip design and fabrication,2018,25,True
United Kingdom,Austria,Chip design and fabrication,2019,30,True
United States,Austria,Chip design and fabrication,2015,33,True
United States,Austria,Chip design and fabrication,2024,30,False
United States,Austria,Chip design and fabrication,2019,33,True
United States,Austria,Chip design and fabrication,2021,44,True
United States,Austria,Chip design and fabrication,2020,48,True
United States,Austria,Chip design and fabrication,2023,47,True
United States,Austria,Chip design and fabrication,2022,35,True
United States,Austria,Chip design and fabrication,2017,44,True
United States,Austria,Chip design and fabrication,2018,41,True
United States,Bangladesh,Chip design and fabrication,2024,31,False
Russia,Belarus,Chip design and fabrication,2019,25,True
Austria,Belgium,Chip design and fabrication,2020,27,True
Austria,Belgium,Chip design and fabrication,2024,27,False
Brazil,Belgium,Chip design and fabrication,2016,34,True
Brazil,Belgium,Chip design and fabrication,2015,34,True
China,Belgium,Chip design and fabrication,2017,33,True
China,Belgium,Chip design and fabrication,2021,47,True
China,Belgium,Chip design and fabrication,2016,33,True
China,Belgium,Chip design and fabrication,2024,26,False
China,Belgium,Chip design and fabrication,2015,28,True
China,Belgium,Chip design and fabrication,2018,36,True
China,Belgium,Chip design and fabrication,2022,48,True
China,Belgium,Chip design and fabrication,2020,39,True
China,Belgium,Chip design and fabrication,2025,32,False
China,Belgium,Chip design and fabrication,2019,40,True
China,Belgium,Chip design and fabrication,2023,38,True
France,Belgium,Chip design and fabrication,2023,44,True
France,Belgium,Chip design and fabrication,2022,50,True
France,Belgium,Chip design and fabrication,2015,50,True
France,Belgium,Chip design and fabrication,2016,44,True
France,Belgium,Chip design and fabrication,2021,43,True
France,Belgium,Chip design and fabrication,2018,58,True
France,Belgium,Chip design and fabrication,2019,50,True
France,Belgium,Chip design and fabrication,2017,51,True
France,Belgium,Chip design and fabrication,2024,57,False
France,Belgium,Chip design and fabrication,2020,63,True
Germany,Belgium,Chip design and fabrication,2022,61,True
Germany,Belgium,Chip design and fabrication,2020,56,True
Germany,Belgium,Chip design and fabrication,2017,70,True
Germany,Belgium,Chip design and fabrication,2016,47,True
Germany,Belgium,Chip design and fabrication,2023,67,True
Germany,Belgium,Chip design and fabrication,2025,25,False
Germany,Belgium,Chip design and fabrication,2018,66,True
Germany,Belgium,Chip design and fabrication,2019,55,True
Germany,Belgium,Chip design and fabrication,2024,58,False
Germany,Belgium,Chip design and fabrication,2021,71,True
Germany,Belgium,Chip design and fabrication,2015,44,True
Italy,Belgium,Chip design and fabrication,2023,38,True
Italy,Belgium,Chip design and fabrication,2017,48,True
Italy,Belgium,Chip design and fabrication,2018,39,True
Italy,Belgium,Chip design and fabrication,2022,37,True
Italy,Belgium,Chip design and fabrication,2019,36,True
Italy,Belgium,Chip design and fabrication,2024,29,False
Italy,Belgium,Chip design and fabrication,2015,38,True
Italy,Belgium,Chip design and fabrication,2021,43,True
Italy,Belgium,Chip design and fabrication,2020,40,True
Italy,Belgium,Chip design and fabrication,2016,41,True
Japan,Belgium,Chip design and fabrication,2020,35,True
Japan,Belgium,Chip design and fabrication,2016,29,True
Japan,Belgium,Chip design and fabrication,2024,39,False
Japan,Belgium,Chip design and fabrication,2018,48,True
Japan,Belgium,Chip design and fabrication,2023,38,True
Japan,Belgium,Chip design and fabrication,2021,35,True
Japan,Belgium,Chip design and fabrication,2022,27,True
Japan,Belgium,Chip design and fabrication,2017,29,True
Japan,Belgium,Chip design and fabrication,2015,52,True
Japan,Belgium,Chip design and fabrication,2019,44,True
Netherlands,Belgium,Chip design and fabrication,2024,45,False
Netherlands,Belgium,Chip design and fabrication,2015,50,True
Netherlands,Belgium,Chip design and fabrication,2019,78,True
Netherlands,Belgium,Chip design and fabrication,2016,34,True
Netherlands,Belgium,Chip design and fabrication,2018,62,True
Netherlands,Belgium,Chip design and fabrication,2017,58,True
Netherlands,Belgium,Chip design and fabrication,2020,63,True
Netherlands,Belgium,Chip design and fabrication,2023,48,True
Netherlands,Belgium,Chip design and fabrication,2021,57,True
Netherlands,Belgium,Chip design and fabrication,2022,34,True
Switzerland,Belgium,Chip design and fabrication,2024,30,False
Switzerland,Belgium,Chip design and fabrication,2021,41,True
Switzerland,Belgium,Chip design and fabrication,2018,29,True
Switzerland,Belgium,Chip design and fabrication,2019,29,True
Switzerland,Belgium,Chip design and fabrication,2023,32,True
Switzerland,Belgium,Chip design and fabrication,2020,30,True
United Kingdom,Belgium,Chip design and fabrication,2017,37,True
United Kingdom,Belgium,Chip design and fabrication,2019,34,True
United Kingdom,Belgium,Chip design and fabrication,2021,26,True
United Kingdom,Belgium,Chip design and fabrication,2018,37,True
United Kingdom,Belgium,Chip design and fabrication,2015,36,True
United Kingdom,Belgium,Chip design and fabrication,2016,26,True
United Kingdom,Belgium,Chip design and fabrication,2023,29,True
United States,Belgium,Chip design and fabrication,2023,103,True
United States,Belgium,Chip design and fabrication,2021,90,True
United States,Belgium,Chip design and fabrication,2016,103,True
United States,Belgium,Chip design and fabrication,2020,86,True
United States,Belgium,Chip design and fabrication,2018,118,True
United States,Belgium,Chip design and fabrication,2025,36,False
United States,Belgium,Chip design and fabrication,2024,79,False
United States,Belgium,Chip design and fabrication,2019,101,True
United States,Belgium,Chip design and fabrication,2022,98,True
United States,Belgium,Chip design and fabrication,2017,96,True
United States,Belgium,Chip design and fabrication,2015,105,True
Belgium,Brazil,Chip design and fabrication,2015,34,True
Belgium,Brazil,Chip design and fabrication,2016,34,True
France,Brazil,Chip design and fabrication,2017,31,True
France,Brazil,Chip design and fabrication,2022,29,True
France,Brazil,Chip design and fabrication,2020,27,True
France,Brazil,Chip design and fabrication,2023,31,True
France,Brazil,Chip design and fabrication,2016,29,True
France,Brazil,Chip design and fabrication,2021,31,True
France,Brazil,Chip design and fabrication,2018,34,True
France,Brazil,Chip design and fabrication,2024,31,False
France,Brazil,Chip design and fabrication,2015,31,True
France,Brazil,Chip design and fabrication,2019,34,True
Germany,Brazil,Chip design and fabrication,2021,26,True
Germany,Brazil,Chip design and fabrication,2020,32,True
United States,Brazil,Chip design and fabrication,2015,45,True
United States,Brazil,Chip design and fabrication,2019,29,True
United States,Brazil,Chip design and fabrication,2022,26,True
United States,Brazil,Chip design and fabrication,2018,43,True
United States,Brazil,Chip design and fabrication,2016,32,True
United States,Brazil,Chip design and fabrication,2017,30,True
United States,Brazil,Chip design and fabrication,2020,41,True
United States,Brazil,Chip design and fabrication,2023,25,True
United States,Brazil,Chip design and fabrication,2021,33,True
Australia,Canada,Chip design and fabrication,2019,38,True
Australia,Canada,Chip design and fabrication,2020,37,True
Australia,Canada,Chip design and fabrication,2021,26,True
Australia,Canada,Chip design and fabrication,2023,33,True
Australia,Canada,Chip design and fabrication,2018,25,True
China,Canada,Chip design and fabrication,2019,154,True
China,Canada,Chip design and fabrication,2025,98,False
China,Canada,Chip design and fabrication,2016,111,True
China,Canada,Chip design and fabrication,2024,168,False
China,Canada,Chip design and fabrication,2018,132,True
China,Canada,Chip design and fabrication,2017,101,True
China,Canada,Chip design and fabrication,2021,169,True
China,Canada,Chip design and fabrication,2023,169,True
China,Canada,Chip design and fabrication,2022,159,True
China,Canada,Chip design and fabrication,2015,91,True
China,Canada,Chip design and fabrication,2020,190,True
Egypt,Canada,Chip design and fabrication,2019,28,True
France,Canada,Chip design and fabrication,2015,61,True
France,Canada,Chip design and fabrication,2020,62,True
France,Canada,Chip design and fabrication,2021,66,True
France,Canada,Chip design and fabrication,2022,59,True
France,Canada,Chip design and fabrication,2024,49,False
France,Canada,Chip design and fabrication,2019,69,True
France,Canada,Chip design and fabrication,2016,72,True
France,Canada,Chip design and fabrication,2017,53,True
France,Canada,Chip design and fabrication,2023,66,True
France,Canada,Chip design and fabrication,2018,71,True
Germany,Canada,Chip design and fabrication,2020,42,True
Germany,Canada,Chip design and fabrication,2017,33,True
Germany,Canada,Chip design and fabrication,2023,53,True
Germany,Canada,Chip design and fabrication,2024,40,False
Germany,Canada,Chip design and fabrication,2015,25,True
Germany,Canada,Chip design and fabrication,2016,28,True
Germany,Canada,Chip design and fabrication,2019,33,True
Germany,Canada,Chip design and fabrication,2022,37,True
Germany,Canada,Chip design and fabrication,2021,50,True
India,Canada,Chip design and fabrication,2023,27,True
India,Canada,Chip design and fabrication,2024,31,False
India,Canada,Chip design and fabrication,2021,27,True
India,Canada,Chip design and fabrication,2022,30,True
Iran,Canada,Chip design and fabrication,2015,30,True
Iran,Canada,Chip design and fabrication,2018,25,True
Iran,Canada,Chip design and fabrication,2023,25,True
Iran,Canada,Chip design and fabrication,2017,27,True
Iran,Canada,Chip design and fabrication,2022,29,True
Iran,Canada,Chip design and fabrication,2021,34,True
Iran,Canada,Chip design and fabrication,2019,29,True
Iran,Canada,Chip design and fabrication,2024,32,False
Iran,Canada,Chip design and fabrication,2020,51,True
Italy,Canada,Chip design and fabrication,2019,27,True
Japan,Canada,Chip design and fabrication,2023,27,True
Japan,Canada,Chip design and fabrication,2019,29,True
Japan,Canada,Chip design and fabrication,2018,27,True
Japan,Canada,Chip design and fabrication,2020,25,True
Romania,Canada,Chip design and fabrication,2018,42,True
Romania,Canada,Chip design and fabrication,2021,44,True
Romania,Canada,Chip design and fabrication,2019,46,True
Romania,Canada,Chip design and fabrication,2020,43,True
Romania,Canada,Chip design and fabrication,2016,40,True
Spain,Canada,Chip design and fabrication,2023,30,True
Spain,Canada,Chip design and fabrication,2018,25,True
Spain,Canada,Chip design and fabrication,2021,31,True
Spain,Canada,Chip design and fabrication,2016,25,True
Spain,Canada,Chip design and fabrication,2024,30,False
Spain,Canada,Chip design and fabrication,2019,26,True
United Kingdom,Canada,Chip design and fabrication,2024,40,False
United Kingdom,Canada,Chip design and fabrication,2019,44,True
United Kingdom,Canada,Chip design and fabrication,2023,45,True
United Kingdom,Canada,Chip design and fabrication,2018,35,True
United Kingdom,Canada,Chip design and fabrication,2022,37,True
United Kingdom,Canada,Chip design and fabrication,2021,36,True
United Kingdom,Canada,Chip design and fabrication,2015,31,True
United Kingdom,Canada,Chip design and fabrication,2017,31,True
United Kingdom,Canada,Chip design and fabrication,2016,36,True
United Kingdom,Canada,Chip design and fabrication,2020,45,True
United States,Canada,Chip design and fabrication,2024,152,False
United States,Canada,Chip design and fabrication,2020,185,True
United States,Canada,Chip design and fabrication,2018,184,True
United States,Canada,Chip design and fabrication,2016,190,True
United States,Canada,Chip design and fabrication,2017,189,True
United States,Canada,Chip design and fabrication,2022,164,True
United States,Canada,Chip design and fabrication,2023,153,True
United States,Canada,Chip design and fabrication,2021,154,True
United States,Canada,Chip design and fabrication,2019,178,True
United States,Canada,Chip design and fabrication,2025,62,False
United States,Canada,Chip design and fabrication,2015,145,True
Australia,China,Chip design and fabrication,2021,153,True
Australia,China,Chip design and fabrication,2023,156,True
Australia,China,Chip design and fabrication,2025,143,False
Australia,China,Chip design and fabrication,2015,44,True
Australia,China,Chip design and fabrication,2019,176,True
Australia,China,Chip design and fabrication,2017,86,True
Australia,China,Chip design and fabrication,2020,178,True
Australia,China,Chip design and fabrication,2016,73,True
Australia,China,Chip design and fabrication,2024,198,False
Australia,China,Chip design and fabrication,2022,188,True
Australia,China,Chip design and fabrication,2018,132,True
Belgium,China,Chip design and fabrication,2016,33,True
Belgium,China,Chip design and fabrication,2020,39,True
Belgium,China,Chip design and fabrication,2024,26,False
Belgium,China,Chip design and fabrication,2018,36,True
Belgium,China,Chip design and fabrication,2023,38,True
Belgium,China,Chip design and fabrication,2021,47,True
Belgium,China,Chip design and fabrication,2015,28,True
Belgium,China,Chip design and fabrication,2025,32,False
Belgium,China,Chip design and fabrication,2017,33,True
Belgium,China,Chip design and fabrication,2022,48,True
Belgium,China,Chip design and fabrication,2019,40,True
Canada,China,Chip design and fabrication,2019,154,True
Canada,China,Chip design and fabrication,2020,190,True
Canada,China,Chip design and fabrication,2022,159,True
Canada,China,Chip design and fabrication,2017,101,True
Canada,China,Chip design and fabrication,2023,169,True
Canada,China,Chip design and fabrication,2021,169,True
Canada,China,Chip design and fabrication,2018,132,True
Canada,China,Chip design and fabrication,2024,168,False
Canada,China,Chip design and fabrication,2025,98,False
Canada,China,Chip design and fabrication,2016,111,True
Canada,China,Chip design and fabrication,2015,91,True
Denmark,China,Chip design and fabrication,2020,34,True
Denmark,China,Chip design and fabrication,2018,31,True
Denmark,China,Chip design and fabrication,2024,41,False
Denmark,China,Chip design and fabrication,2017,27,True
Denmark,China,Chip design and fabrication,2023,47,True
Denmark,China,Chip design and fabrication,2022,48,True
Denmark,China,Chip design and fabrication,2021,44,True
Denmark,China,Chip design and fabrication,2016,28,True
Denmark,China,Chip design and fabrication,2019,37,True
France,China,Chip design and fabrication,2021,97,True
France,China,Chip design and fabrication,2015,86,True
France,China,Chip design and fabrication,2017,68,True
France,China,Chip design and fabrication,2023,93,True
France,China,Chip design and fabrication,2016,81,True
France,China,Chip design and fabrication,2025,59,False
France,China,Chip design and fabrication,2022,98,True
France,China,Chip design and fabrication,2024,92,False
France,China,Chip design and fabrication,2019,115,True
France,China,Chip design and fabrication,2020,99,True
France,China,Chip design and fabrication,2018,104,True
Germany,China,Chip design and fabrication,2017,92,True
Germany,China,Chip design and fabrication,2025,105,False
Germany,China,Chip design and fabrication,2024,171,False
Germany,China,Chip design and fabrication,2021,140,True
Germany,China,Chip design and fabrication,2018,108,True
Germany,China,Chip design and fabrication,2019,122,True
Germany,China,Chip design and fabrication,2016,85,True
Germany,China,Chip design and fabrication,2020,122,True
Germany,China,Chip design and fabrication,2015,53,True
Germany,China,Chip design and fabrication,2023,142,True
Germany,China,Chip design and fabrication,2022,163,True
India,China,Chip design and fabrication,2019,46,True
India,China,Chip design and fabrication,2018,26,True
India,China,Chip design and fabrication,2024,54,False
India,China,Chip design and fabrication,2022,52,True
India,China,Chip design and fabrication,2021,62,True
India,China,Chip design and fabrication,2023,43,True
India,China,Chip design and fabrication,2020,45,True
India,China,Chip design and fabrication,2025,25,False
Ireland,China,Chip design and fabrication,2024,29,False
Ireland,China,Chip design and fabrication,2023,27,True
Ireland,China,Chip design and fabrication,2020,32,True
Ireland,China,Chip design and fabrication,2019,29,True
Ireland,China,Chip design and fabrication,2022,26,True
Ireland,China,Chip design and fabrication,2021,29,True
Italy,China,Chip design and fabrication,2016,48,True
Italy,China,Chip design and fabrication,2025,58,False
Italy,China,Chip design and fabrication,2024,74,False
Italy,China,Chip design and fabrication,2021,57,True
Italy,China,Chip design and fabrication,2019,61,True
Italy,China,Chip design and fabrication,2018,49,True
Italy,China,Chip design and fabrication,2017,36,True
Italy,China,Chip design and fabrication,2022,54,True
Italy,China,Chip design and fabrication,2023,70,True
Italy,China,Chip design and fabrication,2020,40,True
Japan,China,Chip design and fabrication,2017,117,True
Japan,China,Chip design and fabrication,2025,153,False
Japan,China,Chip design and fabrication,2016,128,True
Japan,China,Chip design and fabrication,2019,154,True
Japan,China,Chip design and fabrication,2018,146,True
Japan,China,Chip design and fabrication,2024,183,False
Japan,China,Chip design and fabrication,2015,108,True
Japan,China,Chip design and fabrication,2021,186,True
Japan,China,Chip design and fabrication,2022,197,True
Japan,China,Chip design and fabrication,2020,167,True
Japan,China,Chip design and fabrication,2023,182,True
Malaysia,China,Chip design and fabrication,2024,45,False
Malaysia,China,Chip design and fabrication,2023,34,True
Netherlands,China,Chip design and fabrication,2020,62,True
Netherlands,China,Chip design and fabrication,2019,47,True
Netherlands,China,Chip design and fabrication,2022,84,True
Netherlands,China,Chip design and fabrication,2024,80,False
Netherlands,China,Chip design and fabrication,2018,36,True
Netherlands,China,Chip design and fabrication,2016,38,True
Netherlands,China,Chip design and fabrication,2023,108,True
Netherlands,China,Chip design and fabrication,2017,29,True
Netherlands,China,Chip design and fabrication,2021,85,True
Netherlands,China,Chip design and fabrication,2025,49,False
Pakistan,China,Chip design and fabrication,2022,29,True
Pakistan,China,Chip design and fabrication,2019,36,True
Pakistan,China,Chip design and fabrication,2021,26,True
Pakistan,China,Chip design and fabrication,2023,29,True
Pakistan,China,Chip design and fabrication,2020,28,True
Pakistan,China,Chip design and fabrication,2024,39,False
Portugal,China,Chip design and fabrication,2023,26,True
Portugal,China,Chip design and fabrication,2019,31,True
Portugal,China,Chip design and fabrication,2021,45,True
Portugal,China,Chip design and fabrication,2016,32,True
Portugal,China,Chip design and fabrication,2024,25,False
Portugal,China,Chip design and fabrication,2017,40,True
Portugal,China,Chip design and fabrication,2020,49,True
Russia,China,Chip design and fabrication,2022,39,True
Russia,China,Chip design and fabrication,2023,37,True
Russia,China,Chip design and fabrication,2018,26,True
Russia,China,Chip design and fabrication,2019,60,True
Russia,China,Chip design and fabrication,2024,34,False
Russia,China,Chip design and fabrication,2020,36,True
Saudi Arabia,China,Chip design and fabrication,2022,63,True
Saudi Arabia,China,Chip design and fabrication,2020,33,True
Saudi Arabia,China,Chip design and fabrication,2024,74,False
Saudi Arabia,China,Chip design and fabrication,2021,50,True
Saudi Arabia,China,Chip design and fabrication,2023,54,True
Saudi Arabia,China,Chip design and fabrication,2025,46,False
Saudi Arabia,China,Chip design and fabrication,2019,38,True
Saudi Arabia,China,Chip design and fabrication,2018,36,True
Singapore,China,Chip design and fabrication,2023,258,True
Singapore,China,Chip design and fabrication,2025,275,False
Singapore,China,Chip design and fabrication,2016,153,True
Singapore,China,Chip design and fabrication,2019,228,True
Singapore,China,Chip design and fabrication,2017,182,True
Singapore,China,Chip design and fabrication,2018,228,True
Singapore,China,Chip design and fabrication,2024,379,False
Singapore,China,Chip design and fabrication,2015,155,True
Singapore,China,Chip design and fabrication,2021,235,True
Singapore,China,Chip design and fabrication,2022,246,True
Singapore,China,Chip design and fabrication,2020,212,True
South Korea,China,Chip design and fabrication,2023,88,True
South Korea,China,Chip design and fabrication,2025,95,False
South Korea,China,Chip design and fabrication,2017,74,True
South Korea,China,Chip design and fabrication,2016,63,True
South Korea,China,Chip design and fabrication,2019,81,True
South Korea,China,Chip design and fabrication,2024,109,False
South Korea,China,Chip design and fabrication,2021,75,True
South Korea,China,Chip design and fabrication,2018,78,True
South Korea,China,Chip design and fabrication,2020,76,True
South Korea,China,Chip design and fabrication,2015,56,True
South Korea,China,Chip design and fabrication,2022,92,True
Spain,China,Chip design and fabrication,2023,54,True
Spain,China,Chip design and fabrication,2018,36,True
Spain,China,Chip design and fabrication,2020,44,True
Spain,China,Chip design and fabrication,2024,41,False
Spain,China,Chip design and fabrication,2021,44,True
Spain,China,Chip design and fabrication,2017,34,True
Spain,China,Chip design and fabrication,2019,39,True
Spain,China,Chip design and fabrication,2022,40,True
Sweden,China,Chip design and fabrication,2025,45,False
Sweden,China,Chip design and fabrication,2018,71,True
Sweden,China,Chip design and fabrication,2020,65,True
Sweden,China,Chip design and fabrication,2019,48,True
Sweden,China,Chip design and fabrication,2022,52,True
Sweden,China,Chip design and fabrication,2021,53,True
Sweden,China,Chip design and fabrication,2015,45,True
Sweden,China,Chip design and fabrication,2024,71,False
Sweden,China,Chip design and fabrication,2017,52,True
Sweden,China,Chip design and fabrication,2016,51,True
Sweden,China,Chip design and fabrication,2023,62,True
Switzerland,China,Chip design and fabrication,2024,51,False
Switzerland,China,Chip design and fabrication,2020,44,True
Switzerland,China,Chip design and fabrication,2021,37,True
Switzerland,China,Chip design and fabrication,2023,46,True
Switzerland,China,Chip design and fabrication,2022,47,True
Switzerland,China,Chip design and fabrication,2017,29,True
Switzerland,China,Chip design and fabrication,2016,38,True
Switzerland,China,Chip design and fabrication,2025,31,False
Taiwan,China,Chip design and fabrication,2022,179,True
Taiwan,China,Chip design and fabrication,2023,179,True
Taiwan,China,Chip design and fabrication,2020,222,True
Taiwan,China,Chip design and fabrication,2024,171,False
Taiwan,China,Chip design and fabrication,2025,106,False
Taiwan,China,Chip design and fabrication,2017,149,True
Taiwan,China,Chip design and fabrication,2021,195,True
Taiwan,China,Chip design and fabrication,2019,169,True
Taiwan,China,Chip design and fabrication,2015,122,True
Taiwan,China,Chip design and fabrication,2018,160,True
Taiwan,China,Chip design and fabrication,2016,140,True
United Arab Emirates,China,Chip design and fabrication,2024,35,False
United Kingdom,China,Chip design and fabrication,2019,331,True
United Kingdom,China,Chip design and fabrication,2021,358,True
United Kingdom,China,Chip design and fabrication,2023,367,True
United Kingdom,China,Chip design and fabrication,2022,353,True
United Kingdom,China,Chip design and fabrication,2015,152,True
United Kingdom,China,Chip design and fabrication,2017,230,True
United Kingdom,China,Chip design and fabrication,2020,315,True
United Kingdom,China,Chip design and fabrication,2018,267,True
United Kingdom,China,Chip design and fabrication,2016,213,True
United Kingdom,China,Chip design and fabrication,2025,306,False
United Kingdom,China,Chip design and fabrication,2024,399,False
United States,China,Chip design and fabrication,2017,872,True
United States,China,Chip design and fabrication,2022,746,True
United States,China,Chip design and fabrication,2024,716,False
United States,China,Chip design and fabrication,2015,614,True
United States,China,Chip design and fabrication,2023,721,True
United States,China,Chip design and fabrication,2016,774,True
United States,China,Chip design and fabrication,2020,1020,True
United States,China,Chip design and fabrication,2021,889,True
United States,China,Chip design and fabrication,2019,1076,True
United States,China,Chip design and fabrication,2018,953,True
United States,China,Chip design and fabrication,2025,449,False
China,Denmark,Chip design and fabrication,2018,31,True
China,Denmark,Chip design and fabrication,2021,44,True
China,Denmark,Chip design and fabrication,2022,48,True
China,Denmark,Chip design and fabrication,2017,27,True
China,Denmark,Chip design and fabrication,2020,34,True
China,Denmark,Chip design and fabrication,2023,47,True
China,Denmark,Chip design and fabrication,2016,28,True
China,Denmark,Chip design and fabrication,2024,41,False
China,Denmark,Chip design and fabrication,2019,37,True
Germany,Denmark,Chip design and fabrication,2020,26,True
Germany,Denmark,Chip design and fabrication,2023,27,True
Germany,Denmark,Chip design and fabrication,2024,29,False
Germany,Denmark,Chip design and fabrication,2017,28,True
United States,Denmark,Chip design and fabrication,2016,25,True
United States,Denmark,Chip design and fabrication,2015,28,True
United States,Denmark,Chip design and fabrication,2023,33,True
United States,Denmark,Chip design and fabrication,2017,27,True
United States,Denmark,Chip design and fabrication,2018,29,True
United States,Denmark,Chip design and fabrication,2022,29,True
United States,Denmark,Chip design and fabrication,2021,28,True
United States,Denmark,Chip design and fabrication,2024,33,False
Canada,Egypt,Chip design and fabrication,2019,28,True
Saudi Arabia,Egypt,Chip design and fabrication,2025,26,False
Saudi Arabia,Egypt,Chip design and fabrication,2020,28,True
Saudi Arabia,Egypt,Chip design and fabrication,2023,37,True
Saudi Arabia,Egypt,Chip design and fabrication,2021,40,True
Saudi Arabia,Egypt,Chip design and fabrication,2024,31,False
Saudi Arabia,Egypt,Chip design and fabrication,2022,31,True
United States,Egypt,Chip design and fabrication,2022,25,True
United States,Egypt,Chip design and fabrication,2017,26,True
United States,Egypt,Chip design and fabrication,2023,25,True
United States,Egypt,Chip design and fabrication,2020,26,True
United States,Egypt,Chip design and fabrication,2016,41,True
United States,Egypt,Chip design and fabrication,2015,42,True
United States,Egypt,Chip design and fabrication,2019,25,True
France,Finland,Chip design and fabrication,2017,25,True
Germany,Finland,Chip design and fabrication,2015,25,True
Germany,Finland,Chip design and fabrication,2019,25,True
Germany,Finland,Chip design and fabrication,2020,25,True
Germany,Finland,Chip design and fabrication,2017,32,True
Germany,Finland,Chip design and fabrication,2023,30,True
Germany,Finland,Chip design and fabrication,2024,25,False
United Kingdom,Finland,Chip design and fabrication,2019,32,True
United Kingdom,Finland,Chip design and fabrication,2017,25,True
United States,Finland,Chip design and fabrication,2021,26,True
United States,Finland,Chip design and fabrication,2020,29,True
United States,Finland,Chip design and fabrication,2015,35,True
United States,Finland,Chip design and fabrication,2019,26,True
United States,Finland,Chip design and fabrication,2022,27,True
United States,Finland,Chip design and fabrication,2017,43,True
United States,Finland,Chip design and fabrication,2018,30,True
United States,Finland,Chip design and fabrication,2016,42,True
Austria,France,Chip design and fabrication,2024,30,False
