country,field,year,num_patent_applications,num_patent_granted,complete,pillar,is_group
Argentina,Industry and Manufacturing,2021,0,,False,patents,False
Argentina,Industry and Manufacturing,2022,1,0.0,False,patents,False
Argentina,Life Sciences,2016,0,,False,patents,False
Argentina,Life Sciences,2017,0,0.0,True,patents,False
Argentina,Life Sciences,2018,2,1.0,True,patents,False
Argentina,Life Sciences,2019,1,1.0,False,patents,False
Argentina,Life Sciences,2020,2,1.0,False,patents,False
Argentina,Life Sciences,2021,0,,False,patents,False
Argentina,Life Sciences,2022,2,0.0,False,patents,False
Argentina,Personal Devices and Computing,2016,0,,False,patents,False
Argentina,Personal Devices and Computing,2017,0,0.0,True,patents,False
Argentina,Personal Devices and Computing,2018,4,4.0,True,patents,False
Argentina,Personal Devices and Computing,2019,0,0.0,False,patents,False
Argentina,Personal Devices and Computing,2020,1,1.0,False,patents,False
Argentina,Personal Devices and Computing,2021,1,,False,patents,False
Argentina,Personal Devices and Computing,2022,2,1.0,False,patents,False
Argentina,Physical Sciences and Engineering,2016,0,,False,patents,False
Argentina,Physical Sciences and Engineering,2017,1,1.0,True,patents,False
Argentina,Physical Sciences and Engineering,2018,3,3.0,True,patents,False
Argentina,Physical Sciences and Engineering,2019,3,2.0,False,patents,False
Argentina,Physical Sciences and Engineering,2020,2,0.0,False,patents,False
Argentina,Physical Sciences and Engineering,2021,0,,False,patents,False
Argentina,Physical Sciences and Engineering,2022,7,2.0,False,patents,False
Argentina,Security,2016,0,,False,patents,False
Argentina,Security,2017,0,0.0,True,patents,False
Argentina,Security,2018,0,0.0,True,patents,False
Argentina,Security,2019,1,0.0,False,patents,False
Argentina,Security,2020,0,0.0,False,patents,False
Argentina,Security,2021,0,,False,patents,False
Argentina,Security,2022,0,0.0,False,patents,False
Argentina,Telecommunications,2016,0,,False,patents,False
Argentina,Telecommunications,2017,0,0.0,True,patents,False
Argentina,Telecommunications,2018,0,0.0,True,patents,False
Argentina,Telecommunications,2019,1,1.0,False,patents,False
Argentina,Telecommunications,2020,1,1.0,False,patents,False
Argentina,Telecommunications,2021,2,,False,patents,False
Argentina,Telecommunications,2022,5,1.0,False,patents,False
Argentina,Transportation,2016,0,,False,patents,False
Argentina,Transportation,2017,0,0.0,True,patents,False
Argentina,Transportation,2018,0,0.0,True,patents,False
Argentina,Transportation,2019,1,1.0,False,patents,False
Argentina,Transportation,2020,0,0.0,False,patents,False
Argentina,Transportation,2021,0,,False,patents,False
Argentina,Transportation,2022,0,0.0,False,patents,False
Australia,Agriculture,2015,2,2.0,True,patents,False
Australia,Agriculture,2016,8,8.0,True,patents,False
Australia,Agriculture,2017,16,14.0,True,patents,False
Australia,Agriculture,2018,39,30.0,True,patents,False
Australia,Agriculture,2019,26,21.0,False,patents,False
Australia,Agriculture,2020,49,40.0,False,patents,False
Australia,Agriculture,2021,73,56.0,False,patents,False
Australia,Agriculture,2022,13,0.0,False,patents,False
Australia,Agriculture,2023,1,0.0,False,patents,False
Australia,All,2015,128,108.0,True,patents,False
Australia,All,2016,241,207.0,True,patents,False
Australia,All,2017,291,255.0,True,patents,False
Australia,All,2018,476,400.0,True,patents,False
Australia,All,2019,568,449.0,False,patents,False
Australia,All,2020,894,655.0,False,patents,False
Australia,All,2021,1445,1060.0,False,patents,False
Australia,All,2022,500,64.0,False,patents,False
Australia,All,2023,29,14.0,False,patents,False
Australia,Banking and Finance,2015,14,9.0,True,patents,False
Australia,Banking and Finance,2016,10,8.0,True,patents,False
Australia,Banking and Finance,2017,19,17.0,True,patents,False
Australia,Banking and Finance,2018,30,27.0,True,patents,False
Australia,Banking and Finance,2019,46,40.0,False,patents,False
Australia,Banking and Finance,2020,53,40.0,False,patents,False
Australia,Banking and Finance,2021,59,38.0,False,patents,False
Australia,Banking and Finance,2022,32,4.0,False,patents,False
Australia,Banking and Finance,2023,0,0.0,False,patents,False
Australia,Business,2015,32,22.0,True,patents,False
Australia,Business,2016,61,46.0,True,patents,False
Australia,Business,2017,41,33.0,True,patents,False
Australia,Business,2018,68,55.0,True,patents,False
Australia,Business,2019,99,74.0,False,patents,False
Australia,Business,2020,117,72.0,False,patents,False
Australia,Business,2021,155,110.0,False,patents,False
Australia,Business,2022,49,4.0,False,patents,False
Australia,Business,2023,0,0.0,False,patents,False
Australia,Energy Management,2015,4,3.0,True,patents,False
Australia,Energy Management,2016,18,14.0,True,patents,False
Australia,Energy Management,2017,9,8.0,True,patents,False
Australia,Energy Management,2018,14,12.0,True,patents,False
Australia,Energy Management,2019,18,16.0,False,patents,False
Australia,Energy Management,2020,27,26.0,False,patents,False
Australia,Energy Management,2021,57,46.0,False,patents,False
Australia,Energy Management,2022,13,2.0,False,patents,False
Australia,Energy Management,2023,1,0.0,False,patents,False
Australia,Industry and Manufacturing,2015,11,8.0,True,patents,False
Australia,Industry and Manufacturing,2016,19,16.0,True,patents,False
Australia,Industry and Manufacturing,2017,20,18.0,True,patents,False
Australia,Industry and Manufacturing,2018,29,24.0,True,patents,False
Australia,Industry and Manufacturing,2019,33,25.0,False,patents,False
Australia,Industry and Manufacturing,2020,60,47.0,False,patents,False
Australia,Industry and Manufacturing,2021,78,61.0,False,patents,False
Australia,Industry and Manufacturing,2022,25,4.0,False,patents,False
Australia,Industry and Manufacturing,2023,1,1.0,False,patents,False
Australia,Life Sciences,2015,39,34.0,True,patents,False
Australia,Life Sciences,2016,73,60.0,True,patents,False
Australia,Life Sciences,2017,105,89.0,True,patents,False
Australia,Life Sciences,2018,174,132.0,True,patents,False
Australia,Life Sciences,2019,223,173.0,False,patents,False
Australia,Life Sciences,2020,305,189.0,False,patents,False
Australia,Life Sciences,2021,470,274.0,False,patents,False
Australia,Life Sciences,2022,230,20.0,False,patents,False
Australia,Life Sciences,2023,8,2.0,False,patents,False
Australia,Personal Devices and Computing,2015,63,53.0,True,patents,False
Australia,Personal Devices and Computing,2016,121,110.0,True,patents,False
Australia,Personal Devices and Computing,2017,123,112.0,True,patents,False
Australia,Personal Devices and Computing,2018,214,183.0,True,patents,False
Australia,Personal Devices and Computing,2019,234,187.0,False,patents,False
Australia,Personal Devices and Computing,2020,326,259.0,False,patents,False
Australia,Personal Devices and Computing,2021,445,347.0,False,patents,False
Australia,Personal Devices and Computing,2022,115,17.0,False,patents,False
Australia,Personal Devices and Computing,2023,9,5.0,False,patents,False
Australia,Physical Sciences and Engineering,2015,15,13.0,True,patents,False
Australia,Physical Sciences and Engineering,2016,20,19.0,True,patents,False
Australia,Physical Sciences and Engineering,2017,16,15.0,True,patents,False
Australia,Physical Sciences and Engineering,2018,29,25.0,True,patents,False
Australia,Physical Sciences and Engineering,2019,45,41.0,False,patents,False
Australia,Physical Sciences and Engineering,2020,59,38.0,False,patents,False
Australia,Physical Sciences and Engineering,2021,89,65.0,False,patents,False
Australia,Physical Sciences and Engineering,2022,23,2.0,False,patents,False
Australia,Physical Sciences and Engineering,2023,4,1.0,False,patents,False
Australia,Security,2015,8,6.0,True,patents,False
Australia,Security,2016,24,23.0,True,patents,False
Australia,Security,2017,17,16.0,True,patents,False
Australia,Security,2018,39,32.0,True,patents,False
Australia,Security,2019,45,39.0,False,patents,False
Australia,Security,2020,74,56.0,False,patents,False
Australia,Security,2021,134,106.0,False,patents,False
Australia,Security,2022,29,5.0,False,patents,False
Australia,Security,2023,0,0.0,False,patents,False
Australia,Telecommunications,2015,21,17.0,True,patents,False
Australia,Telecommunications,2016,56,53.0,True,patents,False
Australia,Telecommunications,2017,52,48.0,True,patents,False
Australia,Telecommunications,2018,88,76.0,True,patents,False
Australia,Telecommunications,2019,112,92.0,False,patents,False
Australia,Telecommunications,2020,168,136.0,False,patents,False
Australia,Telecommunications,2021,218,162.0,False,patents,False
Australia,Telecommunications,2022,74,15.0,False,patents,False
Australia,Telecommunications,2023,5,2.0,False,patents,False
Australia,Transportation,2015,13,13.0,True,patents,False
Australia,Transportation,2016,19,18.0,True,patents,False
Australia,Transportation,2017,27,26.0,True,patents,False
Australia,Transportation,2018,41,39.0,True,patents,False
Australia,Transportation,2019,26,22.0,False,patents,False
Australia,Transportation,2020,46,37.0,False,patents,False
Australia,Transportation,2021,46,38.0,False,patents,False
Australia,Transportation,2022,13,4.0,False,patents,False
Australia,Transportation,2023,1,0.0,False,patents,False
Austria,Agriculture,2015,0,0.0,True,patents,False
Austria,Agriculture,2016,0,0.0,True,patents,False
Austria,Agriculture,2017,0,0.0,True,patents,False
Austria,Agriculture,2018,0,0.0,True,patents,False
Austria,Agriculture,2019,0,0.0,False,patents,False
Austria,Agriculture,2020,0,0.0,False,patents,False
Austria,Agriculture,2021,1,1.0,False,patents,False
Austria,Agriculture,2022,0,0.0,False,patents,False
Austria,Agriculture,2023,0,0.0,False,patents,False
Austria,All,2015,3,2.0,True,patents,False
Austria,All,2016,10,9.0,True,patents,False
Austria,All,2017,11,10.0,True,patents,False
Austria,All,2018,12,10.0,True,patents,False
Austria,All,2019,6,4.0,False,patents,False
Austria,All,2020,15,11.0,False,patents,False
Austria,All,2021,15,11.0,False,patents,False
Austria,All,2022,9,4.0,False,patents,False
Austria,All,2023,1,1.0,False,patents,False
Austria,Banking and Finance,2015,0,0.0,True,patents,False
Austria,Banking and Finance,2016,0,0.0,True,patents,False
Austria,Banking and Finance,2017,0,0.0,True,patents,False
Austria,Banking and Finance,2018,0,0.0,True,patents,False
Austria,Banking and Finance,2019,0,0.0,False,patents,False
Austria,Banking and Finance,2020,1,1.0,False,patents,False
Austria,Banking and Finance,2021,1,1.0,False,patents,False
Austria,Banking and Finance,2022,1,0.0,False,patents,False
Austria,Banking and Finance,2023,0,0.0,False,patents,False
Austria,Business,2015,0,0.0,True,patents,False
Austria,Business,2016,0,0.0,True,patents,False
Austria,Business,2017,1,1.0,True,patents,False
Austria,Business,2018,0,0.0,True,patents,False
Austria,Business,2019,0,0.0,False,patents,False
Austria,Business,2020,2,2.0,False,patents,False
Austria,Business,2021,1,1.0,False,patents,False
Austria,Business,2022,1,0.0,False,patents,False
Austria,Business,2023,0,0.0,False,patents,False
Austria,Energy Management,2015,2,2.0,True,patents,False
Austria,Energy Management,2016,2,2.0,True,patents,False
Austria,Energy Management,2017,4,4.0,True,patents,False
Austria,Energy Management,2018,3,1.0,True,patents,False
Austria,Energy Management,2019,2,2.0,False,patents,False
Austria,Energy Management,2020,3,1.0,False,patents,False
Austria,Energy Management,2021,4,2.0,False,patents,False
Austria,Energy Management,2022,2,2.0,False,patents,False
Austria,Energy Management,2023,1,1.0,False,patents,False
Austria,Industry and Manufacturing,2015,0,0.0,True,patents,False
Austria,Industry and Manufacturing,2016,1,0.0,True,patents,False
Austria,Industry and Manufacturing,2017,0,0.0,True,patents,False
Austria,Industry and Manufacturing,2018,0,0.0,True,patents,False
Austria,Industry and Manufacturing,2019,0,0.0,False,patents,False
Austria,Industry and Manufacturing,2020,3,2.0,False,patents,False
Austria,Industry and Manufacturing,2021,2,2.0,False,patents,False
Austria,Industry and Manufacturing,2022,1,0.0,False,patents,False
Austria,Industry and Manufacturing,2023,0,0.0,False,patents,False
Austria,Life Sciences,2015,0,0.0,True,patents,False
Austria,Life Sciences,2016,3,3.0,True,patents,False
Austria,Life Sciences,2017,3,3.0,True,patents,False
Austria,Life Sciences,2018,2,2.0,True,patents,False
Austria,Life Sciences,2019,0,0.0,False,patents,False
Austria,Life Sciences,2020,1,0.0,False,patents,False
Austria,Life Sciences,2021,1,0.0,False,patents,False
Austria,Life Sciences,2022,2,0.0,False,patents,False
Austria,Life Sciences,2023,0,0.0,False,patents,False
Austria,Personal Devices and Computing,2015,0,0.0,True,patents,False
Austria,Personal Devices and Computing,2016,6,5.0,True,patents,False
Austria,Personal Devices and Computing,2017,1,1.0,True,patents,False
Austria,Personal Devices and Computing,2018,3,3.0,True,patents,False
Austria,Personal Devices and Computing,2019,1,0.0,False,patents,False
Austria,Personal Devices and Computing,2020,6,5.0,False,patents,False
Austria,Personal Devices and Computing,2021,6,5.0,False,patents,False
Austria,Personal Devices and Computing,2022,2,1.0,False,patents,False
Austria,Personal Devices and Computing,2023,0,0.0,False,patents,False
Austria,Physical Sciences and Engineering,2015,1,0.0,True,patents,False
Austria,Physical Sciences and Engineering,2016,0,0.0,True,patents,False
Austria,Physical Sciences and Engineering,2017,3,2.0,True,patents,False
Austria,Physical Sciences and Engineering,2018,0,0.0,True,patents,False
Austria,Physical Sciences and Engineering,2019,1,0.0,False,patents,False
Austria,Physical Sciences and Engineering,2020,5,4.0,False,patents,False
Austria,Physical Sciences and Engineering,2021,1,1.0,False,patents,False
Austria,Physical Sciences and Engineering,2022,1,1.0,False,patents,False
Austria,Physical Sciences and Engineering,2023,0,0.0,False,patents,False
Austria,Security,2015,0,0.0,True,patents,False
Austria,Security,2016,1,1.0,True,patents,False
Austria,Security,2017,0,0.0,True,patents,False
Austria,Security,2018,0,0.0,True,patents,False
Austria,Security,2019,0,0.0,False,patents,False
Austria,Security,2020,1,0.0,False,patents,False
Austria,Security,2021,0,0.0,False,patents,False
Austria,Security,2022,2,0.0,False,patents,False
Austria,Security,2023,0,0.0,False,patents,False
Austria,Telecommunications,2015,1,1.0,True,patents,False
Austria,Telecommunications,2016,2,2.0,True,patents,False
Austria,Telecommunications,2017,0,0.0,True,patents,False
Austria,Telecommunications,2018,0,0.0,True,patents,False
Austria,Telecommunications,2019,0,0.0,False,patents,False
Austria,Telecommunications,2020,0,0.0,False,patents,False
Austria,Telecommunications,2021,2,2.0,False,patents,False
Austria,Telecommunications,2022,2,0.0,False,patents,False
Austria,Telecommunications,2023,0,0.0,False,patents,False
Austria,Transportation,2015,0,0.0,True,patents,False
Austria,Transportation,2016,3,3.0,True,patents,False
Austria,Transportation,2017,5,5.0,True,patents,False
Austria,Transportation,2018,5,4.0,True,patents,False
Austria,Transportation,2019,5,3.0,False,patents,False
Austria,Transportation,2020,3,3.0,False,patents,False
Austria,Transportation,2021,3,2.0,False,patents,False
Austria,Transportation,2022,4,1.0,False,patents,False
Austria,Transportation,2023,0,0.0,False,patents,False
Azerbaijan,Agriculture,2018,0,,False,patents,False
Azerbaijan,All,2018,1,,False,patents,False
Azerbaijan,Banking and Finance,2018,0,,False,patents,False
Azerbaijan,Business,2018,0,,False,patents,False
Azerbaijan,Energy Management,2018,0,,False,patents,False
Azerbaijan,Industry and Manufacturing,2018,0,,False,patents,False
Azerbaijan,Life Sciences,2018,0,,False,patents,False
Azerbaijan,Personal Devices and Computing,2018,1,,False,patents,False
Azerbaijan,Physical Sciences and Engineering,2018,0,,False,patents,False
Azerbaijan,Security,2018,0,,False,patents,False
Azerbaijan,Telecommunications,2018,0,,False,patents,False
Azerbaijan,Transportation,2018,0,,False,patents,False
Belgium,Agriculture,2016,0,0.0,True,patents,False
Belgium,Agriculture,2017,2,2.0,True,patents,False
Belgium,Agriculture,2018,2,2.0,True,patents,False
Belgium,Agriculture,2019,0,0.0,False,patents,False
Belgium,Agriculture,2020,0,0.0,False,patents,False
Belgium,Agriculture,2021,0,0.0,False,patents,False
Belgium,Agriculture,2022,0,0.0,False,patents,False
Belgium,Agriculture,2023,0,0.0,False,patents,False
Belgium,All,2016,2,2.0,True,patents,False
Belgium,All,2017,2,2.0,True,patents,False
Belgium,All,2018,8,8.0,True,patents,False
Belgium,All,2019,2,1.0,False,patents,False
Belgium,All,2020,6,6.0,False,patents,False
Belgium,All,2021,8,7.0,False,patents,False
Belgium,All,2022,8,6.0,False,patents,False
Belgium,All,2023,1,1.0,False,patents,False
Belgium,Banking and Finance,2016,0,0.0,True,patents,False
Belgium,Banking and Finance,2017,0,0.0,True,patents,False
Belgium,Banking and Finance,2018,0,0.0,True,patents,False
Belgium,Banking and Finance,2019,0,0.0,False,patents,False
Belgium,Banking and Finance,2020,0,0.0,False,patents,False
Belgium,Banking and Finance,2021,0,0.0,False,patents,False
Belgium,Banking and Finance,2022,0,0.0,False,patents,False
Belgium,Banking and Finance,2023,0,0.0,False,patents,False
Belgium,Business,2016,0,0.0,True,patents,False
Belgium,Business,2017,2,2.0,True,patents,False
Belgium,Business,2018,1,1.0,True,patents,False
Belgium,Business,2019,0,0.0,False,patents,False
Belgium,Business,2020,0,0.0,False,patents,False
Belgium,Business,2021,1,1.0,False,patents,False
Belgium,Business,2022,0,0.0,False,patents,False
Belgium,Business,2023,1,1.0,False,patents,False
Belgium,Energy Management,2016,1,1.0,True,patents,False
Belgium,Energy Management,2017,0,0.0,True,patents,False
Belgium,Energy Management,2018,0,0.0,True,patents,False
Belgium,Energy Management,2019,0,0.0,False,patents,False
Belgium,Energy Management,2020,1,1.0,False,patents,False
Belgium,Energy Management,2021,0,0.0,False,patents,False
Belgium,Energy Management,2022,0,0.0,False,patents,False
Belgium,Energy Management,2023,0,0.0,False,patents,False
Belgium,Industry and Manufacturing,2016,1,1.0,True,patents,False
Belgium,Industry and Manufacturing,2017,0,0.0,True,patents,False
Belgium,Industry and Manufacturing,2018,3,3.0,True,patents,False
Belgium,Industry and Manufacturing,2019,0,0.0,False,patents,False
Belgium,Industry and Manufacturing,2020,0,0.0,False,patents,False
Belgium,Industry and Manufacturing,2021,2,2.0,False,patents,False
Belgium,Industry and Manufacturing,2022,3,3.0,False,patents,False
Belgium,Industry and Manufacturing,2023,0,0.0,False,patents,False
Belgium,Life Sciences,2016,0,0.0,True,patents,False
Belgium,Life Sciences,2017,0,0.0,True,patents,False
Belgium,Life Sciences,2018,1,1.0,True,patents,False
Belgium,Life Sciences,2019,0,0.0,False,patents,False
Belgium,Life Sciences,2020,2,2.0,False,patents,False
Belgium,Life Sciences,2021,2,2.0,False,patents,False
Belgium,Life Sciences,2022,2,2.0,False,patents,False
Belgium,Life Sciences,2023,0,0.0,False,patents,False
Belgium,Personal Devices and Computing,2016,1,1.0,True,patents,False
Belgium,Personal Devices and Computing,2017,0,0.0,True,patents,False
Belgium,Personal Devices and Computing,2018,3,3.0,True,patents,False
Belgium,Personal Devices and Computing,2019,0,0.0,False,patents,False
Belgium,Personal Devices and Computing,2020,1,1.0,False,patents,False
Belgium,Personal Devices and Computing,2021,0,0.0,False,patents,False
Belgium,Personal Devices and Computing,2022,1,1.0,False,patents,False
Belgium,Personal Devices and Computing,2023,1,1.0,False,patents,False
Belgium,Physical Sciences and Engineering,2016,1,1.0,True,patents,False
Belgium,Physical Sciences and Engineering,2017,0,0.0,True,patents,False
Belgium,Physical Sciences and Engineering,2018,1,1.0,True,patents,False
Belgium,Physical Sciences and Engineering,2019,0,0.0,False,patents,False
Belgium,Physical Sciences and Engineering,2020,2,2.0,False,patents,False
Belgium,Physical Sciences and Engineering,2021,1,1.0,False,patents,False
Belgium,Physical Sciences and Engineering,2022,3,3.0,False,patents,False
Belgium,Physical Sciences and Engineering,2023,0,0.0,False,patents,False
Belgium,Security,2016,0,0.0,True,patents,False
Belgium,Security,2017,0,0.0,True,patents,False
Belgium,Security,2018,0,0.0,True,patents,False
Belgium,Security,2019,1,0.0,False,patents,False
Belgium,Security,2020,0,0.0,False,patents,False
Belgium,Security,2021,1,1.0,False,patents,False
Belgium,Security,2022,0,0.0,False,patents,False
Belgium,Security,2023,0,0.0,False,patents,False
Belgium,Telecommunications,2016,0,0.0,True,patents,False
Belgium,Telecommunications,2017,0,0.0,True,patents,False
Belgium,Telecommunications,2018,1,1.0,True,patents,False
Belgium,Telecommunications,2019,1,1.0,False,patents,False
Belgium,Telecommunications,2020,0,0.0,False,patents,False
Belgium,Telecommunications,2021,2,2.0,False,patents,False
Belgium,Telecommunications,2022,0,0.0,False,patents,False
Belgium,Telecommunications,2023,0,0.0,False,patents,False
Belgium,Transportation,2016,0,0.0,True,patents,False
Belgium,Transportation,2017,2,2.0,True,patents,False
Belgium,Transportation,2018,1,1.0,True,patents,False
Belgium,Transportation,2019,0,0.0,False,patents,False
Belgium,Transportation,2020,0,0.0,False,patents,False
Belgium,Transportation,2021,0,0.0,False,patents,False
Belgium,Transportation,2022,2,1.0,False,patents,False
Belgium,Transportation,2023,0,0.0,False,patents,False
Brazil,Agriculture,2015,1,1.0,True,patents,False
Brazil,Agriculture,2016,7,7.0,True,patents,False
Brazil,Agriculture,2017,12,11.0,True,patents,False
Brazil,Agriculture,2018,22,17.0,True,patents,False
Brazil,Agriculture,2019,20,15.0,False,patents,False
Brazil,Agriculture,2020,16,11.0,False,patents,False
Brazil,Agriculture,2021,10,2.0,False,patents,False
Brazil,Agriculture,2022,7,1.0,False,patents,False
Brazil,All,2015,58,50.0,True,patents,False
Brazil,All,2016,80,67.0,True,patents,False
Brazil,All,2017,83,72.0,True,patents,False
Brazil,All,2018,152,123.0,True,patents,False
Brazil,All,2019,199,147.0,False,patents,False
Brazil,All,2020,155,86.0,False,patents,False
Brazil,All,2021,107,40.0,False,patents,False
Brazil,All,2022,21,1.0,False,patents,False
Brazil,Banking and Finance,2015,1,1.0,True,patents,False
Brazil,Banking and Finance,2016,2,2.0,True,patents,False
Brazil,Banking and Finance,2017,3,2.0,True,patents,False
Brazil,Banking and Finance,2018,5,5.0,True,patents,False
Brazil,Banking and Finance,2019,13,9.0,False,patents,False
Brazil,Banking and Finance,2020,6,2.0,False,patents,False
Brazil,Banking and Finance,2021,4,4.0,False,patents,False
Brazil,Banking and Finance,2022,0,0.0,False,patents,False
Brazil,Business,2015,7,5.0,True,patents,False
Brazil,Business,2016,9,4.0,True,patents,False
Brazil,Business,2017,7,5.0,True,patents,False
Brazil,Business,2018,21,16.0,True,patents,False
Brazil,Business,2019,35,25.0,False,patents,False
Brazil,Business,2020,17,10.0,False,patents,False
Brazil,Business,2021,14,8.0,False,patents,False
Brazil,Business,2022,3,0.0,False,patents,False
Brazil,Energy Management,2015,3,3.0,True,patents,False
Brazil,Energy Management,2016,4,1.0,True,patents,False
Brazil,Energy Management,2017,3,2.0,True,patents,False
Brazil,Energy Management,2018,4,2.0,True,patents,False
Brazil,Energy Management,2019,8,6.0,False,patents,False
Brazil,Energy Management,2020,2,1.0,False,patents,False
Brazil,Energy Management,2021,3,2.0,False,patents,False
Brazil,Energy Management,2022,0,0.0,False,patents,False
Brazil,Industry and Manufacturing,2015,2,2.0,True,patents,False
Brazil,Industry and Manufacturing,2016,4,4.0,True,patents,False
Brazil,Industry and Manufacturing,2017,5,4.0,True,patents,False
Brazil,Industry and Manufacturing,2018,13,12.0,True,patents,False
Brazil,Industry and Manufacturing,2019,12,10.0,False,patents,False
Brazil,Industry and Manufacturing,2020,19,13.0,False,patents,False
Brazil,Industry and Manufacturing,2021,13,8.0,False,patents,False
Brazil,Industry and Manufacturing,2022,0,0.0,False,patents,False
Brazil,Life Sciences,2015,11,10.0,True,patents,False
Brazil,Life Sciences,2016,27,22.0,True,patents,False
Brazil,Life Sciences,2017,25,25.0,True,patents,False
Brazil,Life Sciences,2018,51,36.0,True,patents,False
Brazil,Life Sciences,2019,57,40.0,False,patents,False
Brazil,Life Sciences,2020,50,28.0,False,patents,False
Brazil,Life Sciences,2021,28,10.0,False,patents,False
Brazil,Life Sciences,2022,3,0.0,False,patents,False
Brazil,Personal Devices and Computing,2015,24,19.0,True,patents,False
Brazil,Personal Devices and Computing,2016,25,21.0,True,patents,False
Brazil,Personal Devices and Computing,2017,26,25.0,True,patents,False
Brazil,Personal Devices and Computing,2018,64,56.0,True,patents,False
Brazil,Personal Devices and Computing,2019,79,58.0,False,patents,False
Brazil,Personal Devices and Computing,2020,42,26.0,False,patents,False
Brazil,Personal Devices and Computing,2021,26,14.0,False,patents,False
Brazil,Personal Devices and Computing,2022,4,0.0,False,patents,False
Brazil,Physical Sciences and Engineering,2015,5,5.0,True,patents,False
Brazil,Physical Sciences and Engineering,2016,9,7.0,True,patents,False
Brazil,Physical Sciences and Engineering,2017,9,8.0,True,patents,False
Brazil,Physical Sciences and Engineering,2018,20,14.0,True,patents,False
Brazil,Physical Sciences and Engineering,2019,16,13.0,False,patents,False
Brazil,Physical Sciences and Engineering,2020,13,5.0,False,patents,False
Brazil,Physical Sciences and Engineering,2021,11,3.0,False,patents,False
Brazil,Physical Sciences and Engineering,2022,3,0.0,False,patents,False
Brazil,Security,2015,1,1.0,True,patents,False
Brazil,Security,2016,6,5.0,True,patents,False
Brazil,Security,2017,2,2.0,True,patents,False
Brazil,Security,2018,6,5.0,True,patents,False
Brazil,Security,2019,9,9.0,False,patents,False
Brazil,Security,2020,5,1.0,False,patents,False
Brazil,Security,2021,4,3.0,False,patents,False
Brazil,Security,2022,0,0.0,False,patents,False
Brazil,Telecommunications,2015,9,7.0,True,patents,False
Brazil,Telecommunications,2016,13,11.0,True,patents,False
Brazil,Telecommunications,2017,9,7.0,True,patents,False
Brazil,Telecommunications,2018,21,15.0,True,patents,False
Brazil,Telecommunications,2019,46,38.0,False,patents,False
Brazil,Telecommunications,2020,25,16.0,False,patents,False
Brazil,Telecommunications,2021,27,10.0,False,patents,False
Brazil,Telecommunications,2022,1,0.0,False,patents,False
Brazil,Transportation,2015,22,22.0,True,patents,False
Brazil,Transportation,2016,22,22.0,True,patents,False
Brazil,Transportation,2017,16,16.0,True,patents,False
Brazil,Transportation,2018,12,12.0,True,patents,False
Brazil,Transportation,2019,17,11.0,False,patents,False
Brazil,Transportation,2020,8,4.0,False,patents,False
Brazil,Transportation,2021,4,2.0,False,patents,False
Brazil,Transportation,2022,1,0.0,False,patents,False
Bulgaria,Agriculture,2015,0,0.0,True,patents,False
Bulgaria,Agriculture,2017,0,0.0,True,patents,False
Bulgaria,Agriculture,2018,0,0.0,True,patents,False
Bulgaria,Agriculture,2019,0,0.0,False,patents,False
Bulgaria,Agriculture,2020,0,0.0,False,patents,False
Bulgaria,Agriculture,2021,0,0.0,False,patents,False
