country,field,disclosed_investment,estimated_investment
South Africa,Speech Recognition,1,1
South Korea,Facial Recognition,1,2
Sri Lanka,Healthcare and Life Sciences,1,1
Sri Lanka,Privacy and Security,1,1
Sri Lanka,Cyber Security,1,1
Sri Lanka,Sports,1,1
Sri Lanka,Other,1,1
Sri Lanka,Real estate,1,1
Sri Lanka,Professional services,1,1
Sri Lanka,Manufacturing,1,1
Sri Lanka,Consumer goods,1,1
Sweden,Semiconductor,1,1
Taiwan,Sports,1,1
Thailand,Speech Recognition,1,1
Thailand,Other,1,4
Thailand,Computer Vision,1,1
Thailand,Agriculture,1,4
Thailand,Privacy and Security,1,1
Thailand,Hardware,1,1
Turkey,Navigation and mapping,1,1
Turkey,NLP,1,1
Turkey,Sports,1,1
Turkey,"Military, public safety and government",1,1
Ukraine,"Mobile, platforms & Internet services",1,28
Ukraine,Media and Entertainment,1,4
United Arab Emirates,Navigation and mapping,1,1
United Arab Emirates,Speech Recognition,1,1
United Arab Emirates,NLP,1,69
United Arab Emirates,Sports,1,1
United Kingdom,Facial Recognition,1,68
Uzbekistan,All,1,1
Venezuela,Information Technology,1,1
Venezuela,"Mobile, platforms & Internet services",1,1
Venezuela,Software,1,1
Venezuela,Transportation,1,1
Venezuela,Data and analytics,1,1
Venezuela,All,1,1
Venezuela,Real estate,1,1
Vietnam,Hardware,1,14
Vietnam,Education,1,4
Vietnam,Professional services,1,23
Vietnam,Biotechnology,1,1
Vietnam,Telecommunications,1,1
Vietnam,Privacy and Security,1,3
Zimbabwe,All,1,1
Zimbabwe,Software,1,1
Zimbabwe,Data and analytics,1,1
Zimbabwe,Professional services,1,1
Zimbabwe,Finance,1,1
Zimbabwe,Other,1,1
Zimbabwe,General purpose,1,1
Argentina,Professional services,2,356
Argentina,"Mobile, platforms & Internet services",2,356
Belarus,All,2,10
Belgium,Facial Recognition,2,2
Belgium,"Military, public safety and government",2,3
Botswana,All,2,2
Bulgaria,Finance,2,3
Bulgaria,Professional services,2,64
Bulgaria,Healthcare and Life Sciences,2,3
Chile,Agriculture,2,10
Chile,Real estate,2,4
Chile,Professional services,2,5
Colombia,Speech Recognition,2,7
Costa Rica,All,2,2
Croatia,"Mobile, platforms & Internet services",2,2
Croatia,Information Technology,2,361
Croatia,Other,2,2
Croatia,"Sales, retail, commerce, marketing",2,3
Cyprus,Facial Recognition,2,2
Cyprus,Media and Entertainment,2,4
Czechia,Telecommunications,2,20
Czechia,Real estate,2,2
Denmark,NLP,2,99
Dominican Republic,Transportation,2,2
Dominican Republic,All,2,2
Egypt,Education,2,2
Estonia,Community and Lifestyle,2,2
Estonia,Robotics,2,2
Estonia,Computer Vision,2,2
Estonia,Healthcare and Life Sciences,2,6
Estonia,Gaming,2,8
Finland,Telecommunications,2,2
Georgia,All,2,6
Germany,Speech Recognition,2,3
Ghana,General purpose,2,18
Ghana,Biotechnology,2,2
Ghana,Healthcare and Life Sciences,2,2
Ghana,Data and analytics,2,18
Hungary,Privacy and Security,2,2
Hungary,Agriculture,2,8
Hungary,Community and Lifestyle,2,2
Hungary,Cyber Security,2,2
Hungary,Sports,2,3
Iceland,"Mobile, platforms & Internet services",2,5
India,Cyber Security,2,80
Indonesia,Healthcare and Life Sciences,2,11
Indonesia,"Sales, retail, commerce, marketing",2,35
Indonesia,NLP,2,39
Ireland,Lending and Investments,2,78
Ireland,Agriculture,2,48
Japan,Gaming,2,16
Kazakhstan,"Mobile, platforms & Internet services",2,2
Kenya,General purpose,2,24
Latvia,Transportation,2,2
Latvia,Other,2,2
Lebanon,Software,2,2
Lithuania,Other,2,4
Lithuania,Computer Vision,2,5
Luxembourg,Transportation,2,2
Luxembourg,Navigation and mapping,2,2
Luxembourg,"Sales, retail, commerce, marketing",2,274
Malaysia,Media and Entertainment,2,7
Malta,Community and Lifestyle,2,2
Malta,Gaming,2,2
Malta,Education,2,2
Mexico,Privacy and Security,2,31
New Zealand,Finance,2,8
New Zealand,Manufacturing,2,75
New Zealand,Professional services,2,110
Norway,Sports,2,9
Norway,Community and Lifestyle,2,3
Norway,Media and Entertainment,2,10
Norway,Lending and Investments,2,2
Philippines,Information Technology,2,8
Portugal,Cyber Security,2,7
Qatar,Lending and Investments,2,3
Romania,Media and Entertainment,2,3
Romania,Professional services,2,2
Russia,Computer Vision,2,4
Russia,Manufacturing,2,28
Russia,Other,2,4
Saudi Arabia,Sports,2,15
Serbia,Data and analytics,2,46
Seychelles,Data and analytics,2,37
Seychelles,General purpose,2,37
Slovakia,"Military, public safety and government",2,2
Slovakia,Consumer goods,2,2
Slovakia,Professional services,2,3
Slovakia,Navigation and mapping,2,2
Slovenia,Hardware,2,2
Slovenia,Robotics,2,2
South Africa,Navigation and mapping,2,54
South Africa,Community and Lifestyle,2,54
South Africa,Transportation,2,56
South Africa,Real estate,2,125
Spain,Navigation and mapping,2,100
Sri Lanka,Education,2,2
Sweden,Cyber Security,2,2
Taiwan,Agriculture,2,15
Tajikistan,General purpose,2,2
Tajikistan,Software,2,2
Tajikistan,Data and analytics,2,2
Tunisia,"Mobile, platforms & Internet services",2,2
Turkey,Lending and Investments,2,3
Ukraine,Robotics,2,3
Ukraine,Transportation,2,4
Ukraine,Manufacturing,2,3
United Arab Emirates,Robotics,2,2
Uruguay,Biotechnology,2,2
Uruguay,Healthcare and Life Sciences,2,5
Uruguay,Energy and natural resources,2,2
Argentina,Other,3,348
Bangladesh,Education,3,7
Belgium,Education,3,84
Brazil,Sports,3,6
Chile,Energy and natural resources,3,56
Colombia,Other,3,3
Colombia,Education,3,5
Cyprus,Education,3,3
Czechia,NLP,3,3
Czechia,Education,3,3
Czechia,Manufacturing,3,10
Denmark,Gaming,3,3
Denmark,Real estate,3,95
Denmark,Cyber Security,3,113
Denmark,Computer Vision,3,8
Denmark,Privacy and Security,3,113
Denmark,Community and Lifestyle,3,9
Egypt,Community and Lifestyle,3,4
Egypt,Information Technology,3,4
Egypt,Semiconductor,3,3
Egypt,Hardware,3,5
Estonia,Media and Entertainment,3,7
Estonia,Consumer goods,3,13
Finland,Navigation and mapping,3,499
Finland,NLP,3,37
Ghana,Software,3,24
Greece,Cyber Security,3,3
Iceland,Professional services,3,5
Iceland,Lending and Investments,3,5
Ireland,Energy and natural resources,3,51
Japan,Navigation and mapping,3,4
Japan,Simulation,3,3
Kenya,Sports,3,24
Lebanon,All,3,4
Lithuania,"Mobile, platforms & Internet services",3,11
Malaysia,NLP,3,10
Malaysia,Telecommunications,3,3
Malta,All,3,5444
Mexico,Consumer goods,3,10
New Zealand,Biotechnology,3,263
New Zealand,NLP,3,3
New Zealand,Consumer goods,3,5
Nigeria,Privacy and Security,3,7
Norway,Education,3,60
Oman,Transportation,3,3
Oman,Community and Lifestyle,3,3
Pakistan,Media and Entertainment,3,3
Pakistan,"Sales, retail, commerce, marketing",3,7
Poland,Community and Lifestyle,3,5
Portugal,Manufacturing,3,14
Portugal,Community and Lifestyle,3,20
Romania,Energy and natural resources,3,3
Romania,"Military, public safety and government",3,3
Romania,"Sales, retail, commerce, marketing",3,7
Romania,Consumer goods,3,3
Romania,Robotics,3,3
Russia,Community and Lifestyle,3,3
Saint Kitts and Nevis,All,3,4
Saudi Arabia,Energy and natural resources,3,7
Saudi Arabia,Biotechnology,3,3
Saudi Arabia,Manufacturing,3,5
Seychelles,Finance,3,38
Seychelles,Software,3,38
Singapore,Telecommunications,3,33
Spain,Sports,3,320
Spain,Simulation,3,3
Spain,Speech Recognition,3,1044
Spain,Telecommunications,3,326
Sri Lanka,Robotics,3,3
Sri Lanka,Gaming,3,3
Switzerland,Lending and Investments,3,567
Switzerland,Gaming,3,3
Tajikistan,All,3,3
Thailand,Biotechnology,3,3
Tunisia,"Sales, retail, commerce, marketing",3,3
Turkey,Community and Lifestyle,3,8
Turkey,Gaming,3,5
Turkey,Robotics,3,3
Turkey,Media and Entertainment,3,9
Ukraine,Hardware,3,11
Ukraine,Finance,3,4
United Arab Emirates,Manufacturing,3,18
United Arab Emirates,Education,3,11
United Arab Emirates,Gaming,3,9
Uruguay,Information Technology,3,103
Armenia,Software,4,8
Armenia,Media and Entertainment,4,5
Armenia,Data and analytics,4,7
Armenia,Information Technology,4,5
Armenia,General purpose,4,7
Australia,Lending and Investments,4,425
Bangladesh,Data and analytics,4,16
Bangladesh,General purpose,4,16
Bangladesh,Software,4,16
Brazil,"Military, public safety and government",4,5
Bulgaria,"Sales, retail, commerce, marketing",4,34
Chile,NLP,4,5
Chile,Finance,4,6
Colombia,Consumer goods,4,4
Cyprus,Computer Vision,4,6
Czechia,Gaming,4,4
Czechia,Robotics,4,12
Denmark,Sports,4,7
Egypt,Professional services,4,6
Estonia,Transportation,4,24
Hungary,NLP,4,5
Ireland,Navigation and mapping,4,39
Ireland,Speech Recognition,4,44
Italy,Agriculture,4,8
Italy,Sports,4,6
Italy,Community and Lifestyle,4,15
Japan,Facial Recognition,4,8
Kazakhstan,General purpose,4,5
Kenya,"Mobile, platforms & Internet services",4,32
Kuwait,Hardware,4,4
Kuwait,Professional services,4,4
Kuwait,Software,4,11
Kuwait,Data and analytics,4,11
Kuwait,Robotics,4,4
Kuwait,Transportation,4,4
Kuwait,General purpose,4,11
Latvia,General purpose,4,7
Latvia,Data and analytics,4,7
Lithuania,"Sales, retail, commerce, marketing",4,14
Malaysia,Transportation,4,10
Mexico,Education,4,7
Netherlands,Sports,4,631
Netherlands,Telecommunications,4,21
New Zealand,Computer Vision,4,9
New Zealand,Education,4,18
New Zealand,Media and Entertainment,4,12
Norway,Cyber Security,4,5
Oman,All,4,4
Oman,Software,4,4
Pakistan,Information Technology,4,7
Peru,Education,4,4
Qatar,"Sales, retail, commerce, marketing",4,4
Qatar,Transportation,4,4
Qatar,Data and analytics,4,6
Qatar,General purpose,4,6
Romania,Cyber Security,4,4
Serbia,Media and Entertainment,4,4
Serbia,"Sales, retail, commerce, marketing",4,4
South Africa,Robotics,4,56
South Africa,Biotechnology,4,4
Sri Lanka,Media and Entertainment,4,4
Sri Lanka,"Mobile, platforms & Internet services",4,4
Sweden,NLP,4,21
Tunisia,Software,4,6
Tunisia,General purpose,4,5
Tunisia,Data and analytics,4,5
Turkey,Education,4,5
Ukraine,"Sales, retail, commerce, marketing",4,6
Ukraine,Information Technology,4,316
Vietnam,Lending and Investments,4,5
Brazil,Biotechnology,5,11
Bulgaria,"Mobile, platforms & Internet services",5,8
Bulgaria,Information Technology,5,82
Colombia,"Mobile, platforms & Internet services",5,7
Cyprus,Manufacturing,5,5
Cyprus,Biotechnology,5,5
Czechia,Consumer goods,5,23
Czechia,Community and Lifestyle,5,23
El Salvador,Information Technology,5,5
El Salvador,Professional services,5,5
Germany,Simulation,5,211
Hungary,Education,5,7
Hungary,Real estate,5,5
Iceland,Healthcare and Life Sciences,5,5
India,Sports,5,85
Italy,Robotics,5,9
Japan,Agriculture,5,23
Japan,Cyber Security,5,6
Lithuania,Hardware,5,10
Luxembourg,Finance,5,12
Netherlands,Navigation and mapping,5,41
Norway,Privacy and Security,5,6
Norway,Transportation,5,6
Pakistan,General purpose,5,12
Pakistan,Data and analytics,5,12
Pakistan,Software,5,13
Panama,"Mobile, platforms & Internet services",5,5
Panama,Other,5,5
Peru,Software,5,9
Peru,Data and analytics,5,9
Peru,General purpose,5,9
Poland,Telecommunications,5,6
Poland,Energy and natural resources,5,25
Romania,Real estate,5,7
Romania,Education,5,9
Saudi Arabia,Consumer goods,5,9
Seychelles,All,5,65
Slovenia,Agriculture,5,5
Slovenia,"Mobile, platforms & Internet services",5,5
Slovenia,Computer Vision,5,5
South Africa,Education,5,22
Spain,"Military, public safety and government",5,46
Sri Lanka,Hardware,5,5
Sweden,Sports,5,2373
Tunisia,Information Technology,5,5
Turkey,Telecommunications,5,5
United Arab Emirates,Computer Vision,5,8
Australia,Telecommunications,6,8
Australia,Facial Recognition,6,12
Austria,Education,6,10
Belgium,Consumer goods,6,171
Belgium,Semiconductor,6,6
Brazil,Robotics,6,18
Bulgaria,Transportation,6,6
Canada,Simulation,6,944
Canada,Sports,6,57
Chile,Hardware,6,81
Chile,Education,6,7
Chile,Transportation,6,9
Colombia,Professional services,6,13
Colombia,Hardware,6,8
Denmark,Consumer goods,6,99
Egypt,Finance,6,14
El Salvador,General purpose,6,7
El Salvador,Data and analytics,6,7
El Salvador,Software,6,7
France,Simulation,6,63
Greece,Media and Entertainment,6,6
Greece,"Sales, retail, commerce, marketing",6,6
Hungary,Robotics,6,10
Hungary,Professional services,6,6
Iceland,Privacy and Security,6,10
Indonesia,Biotechnology,6,11
Ireland,Cyber Security,6,47
Ireland,Robotics,6,115
Italy,Real estate,6,98
Italy,Energy and natural resources,6,9
Kenya,Healthcare and Life Sciences,6,29
Luxembourg,Community and Lifestyle,6,6
Luxembourg,Privacy and Security,6,6
Malaysia,Community and Lifestyle,6,10
Mexico,Other,6,29
Nigeria,Media and Entertainment,6,7
Nigeria,Hardware,6,9
Nigeria,"Sales, retail, commerce, marketing",6,13
Norway,Biotechnology,6,23
Peru,All,6,11
Philippines,Other,6,6
Poland,Real estate,6,45
Poland,"Military, public safety and government",6,6
Portugal,Gaming,6,15
Portugal,Sports,6,17
Qatar,Finance,6,7
Russia,Transportation,6,31
Saudi Arabia,Computer Vision,6,512
South Africa,Healthcare and Life Sciences,6,12
South Korea,Lending and Investments,6,29
Sri Lanka,"Sales, retail, commerce, marketing",6,6
Sweden,Lending and Investments,6,9
Switzerland,NLP,6,6
United Arab Emirates,Healthcare and Life Sciences,6,205
Argentina,Healthcare and Life Sciences,7,10
Australia,Speech Recognition,7,7
Austria,"Military, public safety and government",7,9
Austria,Navigation and mapping,7,10
Brazil,Manufacturing,7,56
Bulgaria,Other,7,37
Chile,Healthcare and Life Sciences,7,12
Chile,"Mobile, platforms & Internet services",7,9
Czechia,Sports,7,7
Egypt,"Sales, retail, commerce, marketing",7,11
Estonia,Agriculture,7,14
Estonia,"Sales, retail, commerce, marketing",7,11
Hungary,Consumer goods,7,7
Italy,Gaming,7,7
Italy,"Military, public safety and government",7,8
Kuwait,All,7,14
Lithuania,Healthcare and Life Sciences,7,16
Malaysia,Healthcare and Life Sciences,7,8
Norway,Navigation and mapping,7,7
Poland,Cyber Security,7,32
Portugal,Energy and natural resources,7,20
Romania,Privacy and Security,7,7
Romania,Hardware,7,14
Russia,Energy and natural resources,7,7
Switzerland,Telecommunications,7,11
Thailand,Manufacturing,7,22
Thailand,Healthcare and Life Sciences,7,7
United Arab Emirates,Media and Entertainment,7,20
United Arab Emirates,Energy and natural resources,7,93
Uruguay,"Sales, retail, commerce, marketing",7,7
Vietnam,Other,7,19
Vietnam,"Sales, retail, commerce, marketing",7,9
Argentina,Privacy and Security,8,8
Austria,Manufacturing,8,295
Brazil,Energy and natural resources,8,19
Chile,"Sales, retail, commerce, marketing",8,11
Denmark,Transportation,8,325
Finland,Consumer goods,8,546
Finland,Agriculture,8,8
Hungary,Other,8,9
Kazakhstan,Data and analytics,8,10
Nigeria,Lending and Investments,8,9
Portugal,Consumer goods,8,28
Portugal,Media and Entertainment,8,147
Saudi Arabia,Speech Recognition,8,513
South Korea,Gaming,8,15
Taiwan,Media and Entertainment,8,67
Turkey,Healthcare and Life Sciences,8,15
Turkey,Manufacturing,8,10
Turkey,Agriculture,8,11
Ukraine,Data and analytics,8,321
Ukraine,General purpose,8,322
Vietnam,NLP,8,8
Argentina,Biotechnology,9,9
Argentina,Finance,9,10
Belgium,NLP,9,91
Brazil,Computer Vision,9,100
Colombia,Energy and natural resources,9,54
Czechia,Healthcare and Life Sciences,9,73
Egypt,Other,9,14
France,Speech Recognition,9,9
Iceland,Finance,9,10
India,"Military, public safety and government",9,77
Italy,Computer Vision,9,14
Italy,Navigation and mapping,9,100
Kazakhstan,Information Technology,9,11
Netherlands,Education,9,234
Nigeria,"Mobile, platforms & Internet services",9,14
Norway,Computer Vision,9,11
Norway,NLP,9,62
Pakistan,All,9,21
Poland,Gaming,9,11
Saudi Arabia,NLP,9,522
Slovakia,Manufacturing,9,10
Switzerland,Semiconductor,9,33
Switzerland,Education,9,35
Taiwan,Education,9,38
Taiwan,Robotics,9,17
Turkey,Transportation,9,13
United Arab Emirates,Lending and Investments,9,616
Uruguay,General purpose,9,113
Uruguay,Data and analytics,9,114
Uruguay,Software,9,115
Argentina,Information Technology,10,368
Argentina,Software,10,931
Austria,Lending and Investments,10,10
Belgium,Media and Entertainment,10,354
China (mainland),"Military, public safety and government",10,79
Colombia,Transportation,10,14
Colombia,"Sales, retail, commerce, marketing",10,15
Estonia,Energy and natural resources,10,35
Ghana,Lending and Investments,10,10
Greece,Privacy and Security,10,10
Hungary,Media and Entertainment,10,11
Iceland,Other,10,13
Iceland,Information Technology,10,15
Israel,Education,10,17
Italy,Education,10,110
Kazakhstan,Software,10,12
Nigeria,Information Technology,10,18
Panama,Finance,10,11
Poland,Privacy and Security,10,35
Poland,Computer Vision,10,32
Poland,Manufacturing,10,83
Portugal,Computer Vision,10,26
Saudi Arabia,Media and Entertainment,10,12
Singapore,Speech Recognition,10,26
Slovakia,"Mobile, platforms & Internet services",10,33
Slovakia,Telecommunications,10,32
Slovakia,Transportation,10,12
Slovakia,Other,10,32
South Korea,Cyber Security,10,10
Sweden,Navigation and mapping,10,24
Tunisia,All,10,11
Turkey,Computer Vision,10,14
United Arab Emirates,Privacy and Security,10,13
Vietnam,Finance,10,16
Austria,Robotics,11,12
Austria,Simulation,11,12
Belgium,Biotechnology,11,173
Belgium,Lending and Investments,11,12
Chile,Information Technology,11,1024
Estonia,Education,11,24
Estonia,Other,11,21
Finland,Energy and natural resources,11,38
France,"Military, public safety and government",11,15
Germany,Gaming,11,14
Japan,Sports,11,29
Mexico,Healthcare and Life Sciences,11,15
Netherlands,Community and Lifestyle,11,26
Netherlands,"Military, public safety and government",11,14
Netherlands,Speech Recognition,11,15
New Zealand,"Sales, retail, commerce, marketing",11,59
Poland,Other,11,79
Qatar,Software,11,16
Russia,Facial Recognition,11,11
Russia,"Mobile, platforms & Internet services",11,12
Spain,Agriculture,11,44
Sweden,Privacy and Security,11,17
Ukraine,Software,11,325
Vietnam,"Mobile, platforms & Internet services",11,26
Belgium,Transportation,12,13
El Salvador,All,12,12
France,Lending and Investments,12,12
Germany,Sports,12,20
Hungary,Biotechnology,12,16
New Zealand,Privacy and Security,12,15
Portugal,Real estate,12,117
Portugal,NLP,12,14
Saudi Arabia,Professional services,12,1030
Saudi Arabia,Agriculture,12,14
Singapore,"Military, public safety and government",12,17
Slovakia,Hardware,12,34
South Africa,Agriculture,12,12
Spain,Gaming,12,18
Taiwan,Biotechnology,12,71
United Arab Emirates,Real estate,12,34
Australia,NLP,13,21
Austria,Consumer goods,13,54
Bulgaria,Data and analytics,13,97
Colombia,Finance,13,15
Ghana,Finance,13,29
Hungary,Transportation,13,17
Hungary,Healthcare and Life Sciences,13,18
Indonesia,Professional services,13,274
Italy,Telecommunications,13,14
Italy,Other,13,15
New Zealand,Gaming,13,163
Russia,"Sales, retail, commerce, marketing",13,34
Slovakia,"Sales, retail, commerce, marketing",13,36
South Africa,Manufacturing,13,145
Spain,Robotics,13,40
Sweden,Consumer goods,13,14
Taiwan,Energy and natural resources,13,20
Albania,All,14,19
Albania,"Mobile, platforms & Internet services",14,19
Albania,"Sales, retail, commerce, marketing",14,19
Albania,Media and Entertainment,14,19
Belgium,Robotics,14,15
Belgium,Agriculture,14,96
Bulgaria,General purpose,14,99
Czechia,Other,14,35
Denmark,Finance,14,267
Egypt,Data and analytics,14,27
Egypt,General purpose,14,26
Greece,Information Technology,14,64
Hungary,Computer Vision,14,18
India,Biotechnology,14,55
Israel,Facial Recognition,14,16
Latvia,Hardware,14,14
Latvia,Consumer goods,14,14
Poland,Consumer goods,14,38
Russia,Hardware,14,21
Singapore,Sports,14,19
South Korea,Sports,14,97
Sri Lanka,Information Technology,14,14
Sweden,Agriculture,14,31
Sweden,Computer Vision,14,40
Switzerland,Navigation and mapping,14,167
Argentina,General purpose,15,934
Bangladesh,All,15,29
Chile,Other,15,20
Colombia,Information Technology,15,22
Finland,Professional services,15,1390
Latvia,Information Technology,15,18
New Zealand,Healthcare and Life Sciences,15,310
Panama,General purpose,15,16
Panama,Software,15,16
Panama,Data and analytics,15,16
Portugal,Biotechnology,15,20
Portugal,"Mobile, platforms & Internet services",15,159
Romania,Other,15,17
Slovakia,Finance,15,15
South Korea,Agriculture,15,80
Spain,Lending and Investments,15,85
Taiwan,Computer Vision,15,38
Taiwan,Community and Lifestyle,15,38
Thailand,Finance,15,17
Turkey,Biotechnology,15,16
Turkey,Other,15,19
United Arab Emirates,Community and Lifestyle,15,48
Argentina,Data and analytics,16,937
Brazil,Consumer goods,16,43
Finland,Media and Entertainment,16,406
Hungary,"Sales, retail, commerce, marketing",16,16
Indonesia,Finance,16,37
Malaysia,Professional services,16,41
Mexico,"Mobile, platforms & Internet services",16,77
Panama,All,16,17
Portugal,Healthcare and Life Sciences,16,115
Portugal,Professional services,16,37
Saudi Arabia,Healthcare and Life Sciences,16,303
Spain,Transportation,16,73
Turkey,Energy and natural resources,16,18
Turkey,Professional services,16,27
Czechia,"Mobile, platforms & Internet services",17,149
Finland,Computer Vision,17,54
France,Sports,17,111
Poland,Sports,17,18
Portugal,Transportation,17,25
Russia,Healthcare and Life Sciences,17,133
Slovakia,Energy and natural resources,17,17
South Africa,Consumer goods,17,17
Sri Lanka,General purpose,17,18
Sri Lanka,Data and analytics,17,17
Sri Lanka,Software,17,17
Taiwan,Professional services,17,81
Turkey,Cyber Security,17,17
Turkey,Consumer goods,17,18
Austria,Professional services,18,218
Austria,Other,18,62
Belgium,Healthcare and Life Sciences,18,133
Brazil,Lending and Investments,18,137
Bulgaria,Software,18,106
Cyprus,Other,18,20
Cyprus,Information Technology,18,18
Denmark,Education,18,102
Estonia,Manufacturing,18,18
France,Telecommunications,18,307
Ireland,"Military, public safety and government",18,18
Kazakhstan,All,18,21
Latvia,Software,18,25
Russia,Finance,18,18
Russia,Information Technology,18,152
South Korea,"Military, public safety and government",18,37
Spain,Cyber Security,18,193
Taiwan,Manufacturing,18,27
Austria,Media and Entertainment,19,62
Austria,Energy and natural resources,19,195
Canada,Gaming,19,1093
Czechia,Transportation,19,25
Denmark,Biotechnology,19,62
Israel,Telecommunications,19,79
Poland,NLP,19,59
Poland,Education,19,41
Poland,Professional services,19,173
Romania,Finance,19,22
Spain,Consumer goods,19,49
Spain,Education,19,2080
Austria,NLP,20,27
Belize,General purpose,20,30
Belize,Other,20,20
Belize,Finance,20,20
Belize,Data and analytics,20,30
Belize,Agriculture,20,20
Belize,Software,20,30
Belize,All,20,30
Cyprus,Healthcare and Life Sciences,20,22
Cyprus,Community and Lifestyle,20,22
Cyprus,Gaming,20,22
France,Agriculture,20,28
Hungary,Information Technology,20,40
Indonesia,Other,20,58
Malaysia,Computer Vision,20,41
Netherlands,Transportation,20,374
Philippines,"Mobile, platforms & Internet services",20,25
Philippines,Lending and Investments,20,20
Poland,Biotechnology,20,23
Qatar,All,20,24
Singapore,NLP,20,155
Slovenia,Healthcare and Life Sciences,20,20
Australia,Computer Vision,21,88
Austria,"Sales, retail, commerce, marketing",21,67
Denmark,Agriculture,21,25
Estonia,Real estate,21,23
Iceland,Hardware,21,21
Ireland,Computer Vision,21,67
Israel,Speech Recognition,21,32
Italy,Media and Entertainment,21,31
Lithuania,General purpose,21,39
Lithuania,Data and analytics,21,45
Malaysia,Manufacturing,21,32
New Zealand,Community and Lifestyle,21,214
Poland,Robotics,21,447
Singapore,Real estate,21,27
Armenia,All,22,26
Cyprus,Sports,22,24
Cyprus,NLP,22,23
Egypt,Software,22,35
Estonia,Professional services,22,34
Finland,Other,22,1615
Finland,Education,22,32
Iceland,Manufacturing,22,22
Israel,Lending and Investments,22,621
Mauritius,Real estate,22,34
Mauritius,Software,22,86
Mauritius,General purpose,22,86
Mauritius,Data and analytics,22,86
Netherlands,NLP,22,40
Romania,"Mobile, platforms & Internet services",22,31
Sweden,Biotechnology,22,33
Ukraine,All,22,344
