country,field,year,num_patent_granted,complete
Jordan,Personal Devices and Computing,2021,0,False
Australia,Personal Devices and Computing,2023,5,False
Mexico,Physical Sciences and Engineering,2015,2,True
Slovenia,Physical Sciences and Engineering,2018,1,True
Hungary,Physical Sciences and Engineering,2019,1,False
Canada,Physical Sciences and Engineering,2019,49,False
Austria,Physical Sciences and Engineering,2021,1,False
Argentina,Physical Sciences and Engineering,2018,3,True
Uruguay,Physical Sciences and Engineering,2020,0,False
Luxembourg,Physical Sciences and Engineering,2022,5,False
Russia,Security,2015,3,True
Morocco,Security,2018,0,True
Portugal,Security,2022,0,False
China (mainland),Security,2022,1175,False
Israel,Security,2016,1,True
Lithuania,Security,2016,1,True
Germany,Security,2021,13,False
Bulgaria,Security,2019,0,False
Croatia,Telecommunications,2019,0,False
San Marino,Telecommunications,2015,0,True
Israel,Telecommunications,2019,4,False
Israel,Telecommunications,2020,8,False
Greece,Telecommunications,2015,0,True
Hungary,Telecommunications,2019,1,False
Netherlands,Telecommunications,2023,1,False
Brazil,Telecommunications,2016,11,True
South Korea,Telecommunications,2022,615,False
South Korea,Telecommunications,2024,2,False
Latvia,Telecommunications,2020,1,False
New Zealand,Telecommunications,2016,0,True
New Zealand,Telecommunications,2021,1,False
Russia,Telecommunications,2019,23,False
Mexico,Transportation,2018,8,True
Bulgaria,Transportation,2018,0,True
Spain,Transportation,2019,8,False
Israel,Transportation,2015,1,True
United States,Transportation,2017,1089,True
European Patent Organization,Transportation,2022,34,False
Portugal,Transportation,2022,0,False
Philippines,Agriculture,2018,0,True
South Africa,Agriculture,2018,0,True
Netherlands,Agriculture,2021,4,False
European Patent Organization,Agriculture,2015,2,True
Morocco,Agriculture,2020,1,False
Colombia,All,2015,1,True
Netherlands,All,2023,3,False
Romania,All,2022,1,False
Lithuania,All,2020,4,False
Belgium,All,2021,7,False
Morocco,All,2016,1,True
Costa Rica,All,2020,1,False
Norway,All,2018,5,True
Norway,All,2019,5,False
Australia,Banking and Finance,2021,38,False
Netherlands,Banking and Finance,2024,0,False
United States,Banking and Finance,2016,223,True
Morocco,Banking and Finance,2016,0,True
Denmark,Banking and Finance,2015,2,True
Greece,Banking and Finance,2023,0,False
Switzerland,Banking and Finance,2017,0,True
Germany,Banking and Finance,2020,13,False
Mexico,Banking and Finance,2021,3,False
South Korea,Banking and Finance,2023,23,False
Ukraine,Banking and Finance,2016,0,True
Ukraine,Banking and Finance,2023,0,False
Colombia,Banking and Finance,2015,0,True
Hungary,Business,2019,0,False
Italy,Business,2020,2,False
India,Business,2021,0,False
Austria,Business,2021,1,False
Finland,Business,2022,0,False
Australia,Business,2023,0,False
Lithuania,Energy Management,2018,1,True
Finland,Energy Management,2015,0,True
Denmark,Energy Management,2017,0,True
Portugal,Industry and Manufacturing,2017,1,True
Netherlands,Industry and Manufacturing,2018,0,True
Turkey,Industry and Manufacturing,2015,0,True
Philippines,Industry and Manufacturing,2020,0,False
Hungary,Industry and Manufacturing,2020,1,False
Luxembourg,Industry and Manufacturing,2021,3,False
Denmark,Industry and Manufacturing,2017,0,True
Sweden,Life Sciences,2019,5,False
Australia,Life Sciences,2019,173,False
South Africa,Life Sciences,2022,0,False
France,Life Sciences,2017,18,True
France,Life Sciences,2020,23,False
Philippines,Life Sciences,2017,0,True
Italy,Life Sciences,2019,10,False
Spain,Life Sciences,2016,24,True
Romania,Life Sciences,2016,1,True
Greece,Personal Devices and Computing,2018,4,True
Peru,Personal Devices and Computing,2018,2,True
Israel,Personal Devices and Computing,2019,6,False
Sweden,Personal Devices and Computing,2017,2,True
South Africa,Personal Devices and Computing,2020,1,False
South Africa,Personal Devices and Computing,2022,0,False
Argentina,Personal Devices and Computing,2022,1,False
Morocco,Personal Devices and Computing,2021,0,False
Luxembourg,Personal Devices and Computing,2019,5,False
Luxembourg,Personal Devices and Computing,2020,7,False
Colombia,Physical Sciences and Engineering,2019,0,False
Netherlands,Physical Sciences and Engineering,2019,0,False
European Patent Organization,Physical Sciences and Engineering,2015,2,True
Australia,Physical Sciences and Engineering,2023,1,False
Austria,Physical Sciences and Engineering,2018,0,True
Argentina,Physical Sciences and Engineering,2020,0,False
Spain,Physical Sciences and Engineering,2024,0,False
Singapore,Physical Sciences and Engineering,2016,4,True
Singapore,Physical Sciences and Engineering,2018,12,True
United States,Physical Sciences and Engineering,2018,295,True
United States,Physical Sciences and Engineering,2023,14,False
Russia,Security,2020,17,False
Finland,Security,2015,0,True
Romania,Security,2021,0,False
Turkey,Security,2018,0,True
Romania,Telecommunications,2019,1,False
Italy,Telecommunications,2018,5,True
Denmark,Telecommunications,2019,7,False
Peru,Telecommunications,2017,0,True
Singapore,Telecommunications,2021,1,False
United States,Telecommunications,2019,3221,False
Singapore,Transportation,2019,8,False
Romania,Transportation,2015,0,True
Malaysia,Transportation,2015,6,True
South Africa,Transportation,2023,0,False
Japan,Transportation,2016,252,True
European Patent Organization,Transportation,2020,51,False
Taiwan,Transportation,2017,2,True
Greece,Transportation,2022,1,False
World Intellectual Property Organization (WIPO),Transportation,2016,2,True
Canada,Transportation,2015,31,True
China (mainland),Agriculture,2017,90,True
Sweden,Agriculture,2021,1,False
Russia,Agriculture,2018,0,True
Romania,Agriculture,2016,0,True
World Intellectual Property Organization (WIPO),Agriculture,2021,1,False
Hungary,Agriculture,2017,1,True
Canada,Agriculture,2016,8,True
Ukraine,All,2018,4,True
Mexico,All,2020,74,False
Slovakia,All,2023,2,False
Taiwan,All,2020,534,False
South Korea,All,2023,1177,False
San Marino,All,2015,1,True
Croatia,Banking and Finance,2015,0,True
Greece,Banking and Finance,2016,0,True
Portugal,Banking and Finance,2019,0,False
Sweden,Banking and Finance,2018,1,True
South Africa,Banking and Finance,2021,0,False
Ukraine,Banking and Finance,2022,0,False
United Kingdom,Banking and Finance,2020,11,False
Israel,Banking and Finance,2015,0,True
Brazil,Business,2016,4,True
Sweden,Business,2018,0,True
Serbia,Business,2020,0,False
Denmark,Business,2018,2,True
Italy,Business,2018,2,True
Switzerland,Business,2018,0,True
United Kingdom,Business,2016,24,True
United Kingdom,Business,2022,11,False
India,Energy Management,2021,0,False
Denmark,Energy Management,2020,0,False
Czechia,Energy Management,2017,0,True
Switzerland,Energy Management,2020,0,False
Ukraine,Energy Management,2022,0,False
Italy,Energy Management,2017,1,True
Israel,Energy Management,2018,0,True
India,Industry and Manufacturing,2020,0,False
Lithuania,Industry and Manufacturing,2019,0,False
Eurasian Patent Organization,Industry and Manufacturing,2015,0,True
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2017,0,True
Luxembourg,Industry and Manufacturing,2018,0,True
Taiwan,Life Sciences,2021,54,False
South Korea,Life Sciences,2017,295,True
Germany,Life Sciences,2020,62,False
Peru,Personal Devices and Computing,2016,0,True
Israel,Personal Devices and Computing,2023,1,False
Eurasian Patent Organization,Personal Devices and Computing,2016,1,True
Malaysia,Personal Devices and Computing,2018,8,True
Japan,Personal Devices and Computing,2015,226,True
Luxembourg,Personal Devices and Computing,2018,4,True
Finland,Personal Devices and Computing,2015,2,True
Israel,Physical Sciences and Engineering,2022,0,False
European Patent Organization,Physical Sciences and Engineering,2021,22,False
Peru,Physical Sciences and Engineering,2015,1,True
Norway,Physical Sciences and Engineering,2023,1,False
Poland,Physical Sciences and Engineering,2019,1,False
Portugal,Physical Sciences and Engineering,2022,0,False
Poland,Security,2021,2,False
Sweden,Security,2016,0,True
Canada,Security,2017,27,True
Singapore,Security,2021,1,False
European Patent Organization,Security,2021,19,False
Philippines,Security,2021,0,False
Peru,Security,2018,0,True
United Kingdom,Security,2016,17,True
Australia,Security,2016,23,True
Australia,Security,2017,16,True
France,Security,2022,7,False
South Africa,Security,2017,0,True
United States,Security,2019,1018,False
Lithuania,Security,2018,0,True
Denmark,Security,2015,0,True
Romania,Telecommunications,2018,0,True
Czechia,Telecommunications,2021,0,False
Norway,Telecommunications,2020,1,False
Italy,Telecommunications,2021,4,False
South Africa,Telecommunications,2023,0,False
Luxembourg,Telecommunications,2024,1,False
Philippines,Telecommunications,2017,0,True
Russia,Telecommunications,2018,30,True
Austria,Transportation,2019,3,False
Philippines,Transportation,2018,0,True
International Bureau of WIPO,Transportation,2015,0,True
Romania,Transportation,2021,0,False
France,Transportation,2017,12,True
Finland,Transportation,2018,0,True
Morocco,Transportation,2015,0,True
Ireland,Transportation,2023,0,False
Hungary,Transportation,2020,2,False
Germany,Transportation,2023,11,False
Portugal,Transportation,2016,1,True
Estonia,Agriculture,2022,0,False
United Kingdom,Agriculture,2024,0,False
Poland,Agriculture,2022,0,False
Ukraine,Agriculture,2015,1,True
Jordan,Agriculture,2021,0,False
Greece,Agriculture,2020,1,False
Mexico,Agriculture,2020,11,False
Luxembourg,Agriculture,2018,0,True
Japan,Agriculture,2018,34,True
Spain,Agriculture,2021,1,False
Taiwan,Agriculture,2023,0,False
Poland,All,2020,16,False
United Kingdom,All,2023,46,False
Australia,All,2019,449,False
Austria,All,2016,9,True
Austria,All,2017,10,True
Austria,All,2019,4,False
Slovakia,All,2021,1,False
Australia,Banking and Finance,2018,27,True
Netherlands,Banking and Finance,2016,0,True
Austria,Banking and Finance,2019,0,False
Austria,Banking and Finance,2021,1,False
Sweden,Banking and Finance,2015,0,True
European Patent Organization,Banking and Finance,2023,0,False
Spain,Banking and Finance,2018,3,True
Japan,Banking and Finance,2015,17,True
Brazil,Banking and Finance,2020,2,False
Luxembourg,Business,2017,0,True
Denmark,Business,2022,0,False
Hungary,Business,2022,0,False
China (mainland),Business,2023,2828,False
India,Business,2020,0,False
Portugal,Business,2016,0,True
International Bureau of WIPO,Energy Management,2016,0,True
Peru,Energy Management,2015,0,True
Lithuania,Energy Management,2016,0,True
Canada,Energy Management,2019,11,False
Switzerland,Energy Management,2017,0,True
Ukraine,Energy Management,2021,0,False
Philippines,Energy Management,2016,0,True
Cuba,Energy Management,2020,1,False
Japan,Industry and Manufacturing,2016,98,True
Belgium,Industry and Manufacturing,2022,3,False
Brazil,Industry and Manufacturing,2021,8,False
Latvia,Industry and Manufacturing,2020,0,False
Taiwan,Industry and Manufacturing,2015,3,True
United States,Industry and Manufacturing,2022,83,False
Canada,Industry and Manufacturing,2016,22,True
Czechia,Industry and Manufacturing,2017,0,True
Denmark,Industry and Manufacturing,2015,2,True
Malaysia,Industry and Manufacturing,2016,0,True
Sweden,Life Sciences,2018,3,True
Australia,Life Sciences,2022,20,False
European Patent Organization,Life Sciences,2018,132,True
France,Life Sciences,2022,7,False
Argentina,Life Sciences,2020,1,False
San Marino,Life Sciences,2015,1,True
Japan,Life Sciences,2017,335,True
Finland,Life Sciences,2023,0,False
South Korea,Personal Devices and Computing,2020,1801,False
South Korea,Personal Devices and Computing,2024,3,False
France,Personal Devices and Computing,2021,34,False
Malaysia,Personal Devices and Computing,2015,1,True
Bulgaria,Personal Devices and Computing,2017,0,True
Japan,Personal Devices and Computing,2016,448,True
India,Personal Devices and Computing,2017,138,True
Australia,Personal Devices and Computing,2019,187,False
Mexico,Physical Sciences and Engineering,2017,3,True
Brazil,Physical Sciences and Engineering,2016,7,True
Brazil,Physical Sciences and Engineering,2021,3,False
Russia,Physical Sciences and Engineering,2016,4,True
Japan,Physical Sciences and Engineering,2023,3,False
Greece,Physical Sciences and Engineering,2015,0,True
South Africa,Physical Sciences and Engineering,2023,0,False
Czechia,Physical Sciences and Engineering,2022,0,False
Singapore,Physical Sciences and Engineering,2021,0,False
Costa Rica,Physical Sciences and Engineering,2020,0,False
Serbia,Security,2017,0,True
Peru,Security,2022,0,False
Morocco,Security,2022,0,False
Hungary,Security,2019,1,False
New Zealand,Security,2022,0,False
Malaysia,Security,2015,0,True
Argentina,Security,2019,0,False
Czechia,Security,2017,0,True
Switzerland,Telecommunications,2021,0,False
Finland,Telecommunications,2016,1,True
Brazil,Telecommunications,2017,7,True
Japan,Telecommunications,2024,0,False
Taiwan,Telecommunications,2019,46,False
Belgium,Telecommunications,2021,2,False
Philippines,Telecommunications,2016,0,True
Philippines,Transportation,2015,0,True
Serbia,Transportation,2020,0,False
Iran,Transportation,2018,0,True
International Bureau of WIPO,Transportation,2018,3,True
Spain,Transportation,2016,7,True
Spain,Transportation,2017,10,True
Slovenia,Transportation,2022,0,False
Poland,Agriculture,2019,0,False
Finland,Agriculture,2016,0,True
South Africa,Agriculture,2022,0,False
Romania,Agriculture,2022,0,False
Mexico,Agriculture,2017,4,True
United States,Agriculture,2018,130,True
Germany,Agriculture,2023,1,False
Canada,Agriculture,2022,2,False
Taiwan,Agriculture,2022,5,False
Malaysia,All,2021,5,False
Peru,All,2019,2,False
Turkey,All,2018,5,True
Sweden,All,2017,9,True
Sweden,All,2021,14,False
South Korea,All,2021,5964,False
World Intellectual Property Organization (WIPO),Banking and Finance,2021,6,False
Greece,Banking and Finance,2017,0,True
Russia,Banking and Finance,2016,2,True
European Patent Organization,Banking and Finance,2022,3,False
Slovenia,Banking and Finance,2018,0,True
Slovenia,Banking and Finance,2022,0,False
Germany,Banking and Finance,2023,4,False
Taiwan,Banking and Finance,2019,3,False
South Korea,Banking and Finance,2022,154,False
Argentina,Banking and Finance,2019,0,False
San Marino,Business,2015,0,True
Austria,Business,2018,0,True
Colombia,Business,2015,0,True
Eurasian Patent Organization,Business,2016,0,True
United States,Business,2023,53,False
Denmark,Energy Management,2019,1,False
Turkey,Energy Management,2016,0,True
China (mainland),Energy Management,2023,2087,False
Sweden,Energy Management,2021,0,False
Spain,Energy Management,2018,4,True
Portugal,Energy Management,2022,0,False
Saudi Arabia,Energy Management,2021,0,False
Finland,Industry and Manufacturing,2019,5,False
Bulgaria,Industry and Manufacturing,2018,0,True
Japan,Industry and Manufacturing,2023,8,False
Italy,Industry and Manufacturing,2016,2,True
United Kingdom,Life Sciences,2024,0,False
Israel,Life Sciences,2019,0,False
China (mainland),Life Sciences,2024,1199,False
United States,Life Sciences,2018,1471,True
Taiwan,Life Sciences,2022,52,False
Norway,Life Sciences,2018,0,True
Germany,Life Sciences,2016,31,True
Brazil,Life Sciences,2020,28,False
Lithuania,Personal Devices and Computing,2020,1,False
Peru,Personal Devices and Computing,2015,0,True
Peru,Personal Devices and Computing,2023,0,False
Croatia,Personal Devices and Computing,2019,1,False
Germany,Personal Devices and Computing,2015,18,True
Japan,Personal Devices and Computing,2022,216,False
Romania,Personal Devices and Computing,2015,0,True
Romania,Personal Devices and Computing,2022,0,False
Canada,Personal Devices and Computing,2017,164,True
Canada,Personal Devices and Computing,2018,273,True
Brazil,Personal Devices and Computing,2022,0,False
Hungary,Personal Devices and Computing,2015,3,True
Denmark,Personal Devices and Computing,2015,7,True
Slovakia,Physical Sciences and Engineering,2023,0,False
China (mainland),Physical Sciences and Engineering,2015,44,True
Japan,Physical Sciences and Engineering,2015,26,True
United Kingdom,Physical Sciences and Engineering,2023,6,False
Canada,Physical Sciences and Engineering,2016,21,True
Greece,Physical Sciences and Engineering,2016,0,True
Bulgaria,Physical Sciences and Engineering,2015,0,True
Taiwan,Physical Sciences and Engineering,2018,8,True
Luxembourg,Physical Sciences and Engineering,2024,0,False
Luxembourg,Security,2023,7,False
Spain,Security,2016,1,True
Switzerland,Security,2020,0,False
Slovakia,Security,2021,0,False
Brazil,Security,2022,0,False
South Korea,Security,2016,48,True
India,Security,2018,15,True
Denmark,Security,2019,1,False
Croatia,Security,2019,0,False
Czechia,Security,2021,0,False
Poland,Telecommunications,2017,3,True
World Intellectual Property Organization (WIPO),Telecommunications,2019,30,False
Japan,Telecommunications,2020,403,False
Spain,Telecommunications,2015,7,True
Argentina,Telecommunications,2017,0,True
Kenya,Telecommunications,2016,0,True
China (mainland),Telecommunications,2018,1719,True
Portugal,Telecommunications,2019,1,False
Sweden,Transportation,2016,3,True
Uruguay,Transportation,2020,0,False
South Korea,Transportation,2015,75,True
South Korea,Transportation,2024,0,False
Spain,Transportation,2024,0,False
Malaysia,Transportation,2021,0,False
United States,Transportation,2019,1365,False
World Intellectual Property Organization (WIPO),Transportation,2019,6,False
Luxembourg,Transportation,2024,0,False
Croatia,Transportation,2015,0,True
United Kingdom,Agriculture,2015,0,True
Poland,Agriculture,2015,1,True
China (mainland),Agriculture,2024,320,False
Czechia,Agriculture,2018,0,True
Chile,Agriculture,2015,0,True
Mexico,Agriculture,2021,3,False
Germany,Agriculture,2018,3,True
Canada,Agriculture,2020,27,False
Taiwan,Agriculture,2016,1,True
United Kingdom,All,2020,246,False
Netherlands,All,2019,24,False
Peru,All,2017,1,True
Argentina,All,2020,7,False
Philippines,All,2021,22,False
Netherlands,Banking and Finance,2021,1,False
Portugal,Banking and Finance,2022,0,False
Belgium,Banking and Finance,2019,0,False
Germany,Banking and Finance,2017,11,True
Bulgaria,Banking and Finance,2017,0,True
South Korea,Banking and Finance,2024,1,False
United Kingdom,Banking and Finance,2015,2,True
Finland,Banking and Finance,2023,0,False
South Korea,Business,2019,809,False
Morocco,Business,2016,0,True
Spain,Business,2015,3,True
Russia,Business,2017,19,True
Lithuania,Business,2017,1,True
Russia,Energy Management,2018,1,True
Russia,Energy Management,2020,0,False
Netherlands,Energy Management,2015,0,True
China (mainland),Energy Management,2024,1165,False
Sri Lanka,Energy Management,2016,0,True
United States,Energy Management,2017,158,True
South Africa,Energy Management,2016,0,True
France,Energy Management,2019,5,False
Norway,Energy Management,2021,0,False
Bulgaria,Energy Management,2018,0,True
Luxembourg,Energy Management,2021,2,False
India,Industry and Manufacturing,2018,9,True
Serbia,Industry and Manufacturing,2020,1,False
Germany,Industry and Manufacturing,2021,45,False
New Zealand,Industry and Manufacturing,2020,0,False
Jordan,Industry and Manufacturing,2021,1,False
France,Industry and Manufacturing,2017,1,True
Greece,Industry and Manufacturing,2018,1,True
Peru,Industry and Manufacturing,2015,0,True
Denmark,Industry and Manufacturing,2020,1,False
European Patent Organization,Life Sciences,2016,15,True
Kenya,Life Sciences,2016,0,True
South Africa,Life Sciences,2024,0,False
Taiwan,Life Sciences,2024,0,False
France,Life Sciences,2018,23,True
Ukraine,Life Sciences,2016,0,True
Philippines,Life Sciences,2020,1,False
Greece,Life Sciences,2020,0,False
Italy,Life Sciences,2023,0,False
Germany,Life Sciences,2019,71,False
Uruguay,Life Sciences,2020,0,False
Czechia,Life Sciences,2019,0,False
Denmark,Life Sciences,2016,3,True
United Kingdom,Personal Devices and Computing,2022,40,False
International Bureau of WIPO,Personal Devices and Computing,2015,0,True
Sweden,Personal Devices and Computing,2016,4,True
South Africa,Personal Devices and Computing,2021,0,False
Taiwan,Personal Devices and Computing,2020,142,False
Norway,Personal Devices and Computing,2023,1,False
Bulgaria,Personal Devices and Computing,2020,0,False
Slovakia,Personal Devices and Computing,2023,0,False
Romania,Personal Devices and Computing,2017,0,True
Switzerland,Personal Devices and Computing,2016,1,True
Russia,Physical Sciences and Engineering,2018,5,True
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2023,0,False
Peru,Physical Sciences and Engineering,2022,0,False
Ireland,Physical Sciences and Engineering,2023,0,False
Switzerland,Physical Sciences and Engineering,2017,0,True
Spain,Physical Sciences and Engineering,2016,5,True
Spain,Physical Sciences and Engineering,2020,3,False
Poland,Physical Sciences and Engineering,2016,1,True
Poland,Physical Sciences and Engineering,2018,0,True
Poland,Security,2022,1,False
Philippines,Security,2020,0,False
Peru,Security,2023,0,False
Uruguay,Security,2017,0,True
Croatia,Security,2015,0,True
Turkey,Security,2016,0,True
Serbia,Telecommunications,2020,0,False
Italy,Telecommunications,2020,5,False
Israel,Telecommunications,2018,4,True
South Africa,Telecommunications,2016,0,True
Malaysia,Telecommunications,2019,5,False
Belgium,Telecommunications,2016,0,True
Canada,Telecommunications,2018,91,True
Uruguay,Telecommunications,2017,0,True
United States,Telecommunications,2022,871,False
Bulgaria,Transportation,2023,0,False
India,Transportation,2018,11,True
China (mainland),Transportation,2021,4170,False
Belgium,Transportation,2018,1,True
Israel,Transportation,2017,5,True
United Kingdom,Agriculture,2020,12,False
Philippines,Agriculture,2015,0,True
Argentina,Agriculture,2020,3,False
New Zealand,Agriculture,2015,0,True
Peru,Agriculture,2016,0,True
Spain,Agriculture,2015,1,True
Spain,Agriculture,2020,6,False
Germany,Agriculture,2021,7,False
Taiwan,Agriculture,2021,3,False
World Intellectual Property Organization (WIPO),All,2018,39,True
Ukraine,All,2022,1,False
India,All,2016,111,True
International Bureau of WIPO,All,2017,12,True
Sri Lanka,All,2016,1,True
Malaysia,All,2016,11,True
South Africa,All,2021,22,False
Lithuania,All,2016,3,True
Japan,All,2020,3271,False
Germany,All,2015,98,True
Czechia,All,2022,2,False
Chile,All,2018,1,True
United States,All,2024,8,False
Israel,All,2016,3,True
Israel,All,2021,6,False
Denmark,Banking and Finance,2021,0,False
Austria,Banking and Finance,2018,0,True
Sweden,Banking and Finance,2020,0,False
Singapore,Banking and Finance,2018,16,True
South Africa,Banking and Finance,2024,0,False
International Bureau of WIPO,Banking and Finance,2018,0,True
Brazil,Banking and Finance,2021,4,False
Norway,Banking and Finance,2023,0,False
Peru,Business,2015,0,True
Croatia,Business,2018,0,True
World Intellectual Property Organization (WIPO),Business,2016,1,True
World Intellectual Property Organization (WIPO),Business,2017,3,True
New Zealand,Business,2015,2,True
Indonesia,Business,2016,1,True
Sri Lanka,Business,2016,0,True
United Kingdom,Business,2018,34,True
Mexico,Business,2017,6,True
Canada,Business,2022,4,False
Malaysia,Business,2018,3,True
Colombia,Energy Management,2019,0,False
New Zealand,Energy Management,2017,1,True
New Zealand,Energy Management,2022,0,False
European Patent Organization,Energy Management,2021,22,False
Portugal,Energy Management,2016,0,True
United Kingdom,Energy Management,2015,4,True
Luxembourg,Energy Management,2017,0,True
Argentina,Industry and Manufacturing,2020,0,False
United Kingdom,Industry and Manufacturing,2023,3,False
Taiwan,Industry and Manufacturing,2016,8,True
Taiwan,Industry and Manufacturing,2017,11,True
Ukraine,Industry and Manufacturing,2017,0,True
Czechia,Industry and Manufacturing,2023,1,False
Canada,Life Sciences,2018,169,True
Malaysia,Life Sciences,2022,0,False
Luxembourg,Life Sciences,2021,3,False
European Patent Organization,Life Sciences,2023,2,False
Slovakia,Life Sciences,2021,0,False
South Africa,Life Sciences,2016,0,True
France,Life Sciences,2016,11,True
Bulgaria,Life Sciences,2022,0,False
Peru,Life Sciences,2016,0,True
India,Life Sciences,2021,1,False
Brazil,Life Sciences,2019,40,False
Austria,Personal Devices and Computing,2018,3,True
Italy,Personal Devices and Computing,2017,5,True
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2018,20,True
Romania,Personal Devices and Computing,2021,0,False
New Zealand,Personal Devices and Computing,2018,6,True
Mexico,Physical Sciences and Engineering,2021,8,False
Netherlands,Physical Sciences and Engineering,2017,0,True
Eurasian Patent Organization,Physical Sciences and Engineering,2016,0,True
New Zealand,Physical Sciences and Engineering,2017,1,True
Portugal,Physical Sciences and Engineering,2017,0,True
Philippines,Physical Sciences and Engineering,2017,0,True
Poland,Security,2020,1,False
Switzerland,Security,2021,0,False
United Kingdom,Security,2023,0,False
South Korea,Security,2023,20,False
Israel,Security,2021,2,False
Bulgaria,Security,2015,0,True
Bulgaria,Security,2021,0,False
International Bureau of WIPO,Telecommunications,2017,2,True
Denmark,Telecommunications,2018,9,True
Hungary,Telecommunications,2018,1,True
Peru,Telecommunications,2018,0,True
Japan,Telecommunications,2022,117,False
South Korea,Telecommunications,2021,884,False
Taiwan,Telecommunications,2024,0,False
Spain,Telecommunications,2016,11,True
Turkey,Telecommunications,2021,1,False
Mexico,Telecommunications,2021,10,False
Belgium,Telecommunications,2017,0,True
Russia,Telecommunications,2016,28,True
Singapore,Transportation,2020,4,False
Austria,Transportation,2016,3,True
Mexico,Transportation,2015,12,True
United Kingdom,Transportation,2019,32,False
Turkey,Transportation,2018,0,True
Hungary,Transportation,2017,0,True
Hungary,Transportation,2018,0,True
Denmark,Transportation,2018,7,True
Japan,Transportation,2020,229,False
Czechia,Transportation,2022,1,False
Croatia,Agriculture,2019,0,False
United Kingdom,Agriculture,2018,5,True
Greece,Agriculture,2021,1,False
Bulgaria,Agriculture,2018,0,True
World Intellectual Property Organization (WIPO),Agriculture,2020,1,False
South Korea,Agriculture,2018,49,True
European Patent Organization,Agriculture,2022,1,False
Ireland,Agriculture,2023,0,False
World Intellectual Property Organization (WIPO),All,2019,125,False
Romania,All,2019,1,False
Peru,All,2021,1,False
Morocco,All,2017,2,True
Portugal,All,2020,8,False
Serbia,All,2020,1,False
United States,Banking and Finance,2023,18,False
Chile,Banking and Finance,2015,0,True
Taiwan,Banking and Finance,2023,0,False
Spain,Banking and Finance,2021,1,False
Turkey,Banking and Finance,2019,0,False
Romania,Banking and Finance,2015,0,True
Israel,Banking and Finance,2022,0,False
Sri Lanka,Banking and Finance,2016,0,True
Saudi Arabia,Business,2021,0,False
Peru,Business,2018,0,True
Netherlands,Business,2018,0,True
Singapore,Business,2021,1,False
Bulgaria,Business,2017,0,True
Malaysia,Business,2020,4,False
Lithuania,Business,2016,0,True
India,Energy Management,2017,1,True
Russia,Energy Management,2017,0,True
South Africa,Energy Management,2022,0,False
Estonia,Energy Management,2022,0,False
United Kingdom,Energy Management,2021,5,False
Bulgaria,Energy Management,2019,0,False
International Bureau of WIPO,Industry and Manufacturing,2016,0,True
Saudi Arabia,Industry and Manufacturing,2022,1,False
Sri Lanka,Industry and Manufacturing,2016,0,True
