country,field,year,num_articles,complete
Quad,Large language models,2023,7501,True
Turkey,Natural Language Processing,2015,79,True
Oceania,Natural Language Processing,2018,398,True
Malaysia,Natural Language Processing,2018,139,True
Bosnia and Herzegovina,Natural Language Processing,2018,4,True
Bosnia and Herzegovina,Natural Language Processing,2020,8,True
ASEAN,Natural Language Processing,2017,708,True
ASEAN,Natural Language Processing,2024,1991,False
Austria,Natural Language Processing,2024,169,False
Austria,Natural Language Processing,2025,70,False
Oman,Natural Language Processing,2021,12,True
Nigeria,Natural Language Processing,2015,10,True
Hungary,Natural Language Processing,2019,64,True
Nepal,Natural Language Processing,2015,2,True
Nepal,Natural Language Processing,2019,12,True
Taiwan,Natural Language Processing,2017,135,True
Lithuania,Natural Language Processing,2020,27,True
Bhutan,Natural Language Processing,2021,1,True
Bhutan,Natural Language Processing,2024,1,False
United Kingdom,Natural Language Processing,2023,1969,True
Panama,Natural Language Processing,2021,1,True
Australia,Natural Language Processing,2020,502,True
Serbia,Natural Language Processing,2017,25,True
Serbia,Natural Language Processing,2019,33,True
Albania,Natural Language Processing,2020,3,True
South and Central America,Natural Language Processing,2024,375,False
Lebanon,Natural Language Processing,2022,15,True
Pakistan,Natural Language Processing,2022,259,True
Chile,Natural Language Processing,2020,58,True
Global Partnership on Artificial Intelligence,Natural Language Processing,2016,9387,True
Montenegro,Natural Language Processing,2019,2,True
Kazakhstan,Natural Language Processing,2016,17,True
Philippines,Natural Language Processing,2019,44,True
Afghanistan,Natural Language Processing,2023,3,True
Portugal,Natural Language Processing,2015,135,True
Cambodia,Natural Language Processing,2024,8,False
Eritrea,Robotics,2023,1,True
Philippines,Robotics,2025,32,False
Niger,Robotics,2025,1,False
Egypt,Robotics,2018,145,True
Cyprus,Robotics,2018,26,True
Paraguay,Robotics,2024,2,False
Serbia,Robotics,2018,61,True
Honduras,Robotics,2022,18,True
Iraq,Robotics,2020,147,True
Belgium,Robotics,2023,350,True
Quad,Robotics,2024,13967,False
Morocco,Robotics,2020,47,True
Peru,Robotics,2021,84,True
Uruguay,Robotics,2019,9,True
Austria,Robotics,2023,336,True
Albania,Robotics,2020,2,True
Tanzania,Robotics,2016,1,True
Bahrain,Robotics,2016,5,True
Zimbabwe,Robotics,2024,1,False
Nicaragua,Robotics,2020,2,True
Pakistan,Robotics,2019,174,True
Tunisia,AI Safety,2021,7,True
Nigeria,AI Safety,2020,2,True
Nigeria,AI Safety,2023,17,True
Norway,AI Safety,2020,34,True
New Zealand,AI Safety,2025,15,False
Switzerland,AI Safety,2015,20,True
Switzerland,AI Safety,2016,23,True
Switzerland,AI Safety,2021,131,True
Portugal,AI Safety,2018,11,True
Indonesia,AI Safety,2019,2,True
Jordan,AI Safety,2019,1,True
Brunei Darussalam,AI Safety,2024,9,False
Hungary,AI Safety,2023,7,True
Lithuania,AI Safety,2019,1,True
Canada,AI Safety,2018,119,True
Global Partnership on Artificial Intelligence,AI Safety,2017,1461,True
Poland,AI Safety,2024,49,False
Kuwait,AI Safety,2019,1,True
Quad,AI Safety,2024,4358,False
Chile,AI Safety,2025,8,False
Bangladesh,AI Safety,2023,33,True
Bahrain,AI Safety,2020,2,True
Malaysia,AI Safety,2018,5,True
Asia,AI Safety,2017,373,True
Vietnam,AI Safety,2016,1,True
India,AI Safety,2025,645,False
Croatia,AI Safety,2020,5,True
Ghana,AI Safety,2018,2,True
Ghana,AI Safety,2019,2,True
Uruguay,AI Safety,2023,1,True
Saudi Arabia,AI Safety,2023,43,True
Egypt,All,2018,880,True
Panama,All,2017,13,True
Mali,All,2020,4,True
Chile,All,2022,460,True
Eritrea,All,2021,1,True
Vatican City,All,2019,1,True
Niger,All,2022,5,True
Asia,All,2024,228417,False
Australia,All,2025,3704,False
Saudi Arabia,All,2019,1544,True
Senegal,All,2025,23,False
Djibouti,All,2024,1,False
Ireland,All,2015,454,True
Germany,All,2019,9519,True
Taiwan,All,2015,1644,True
Gabon,All,2023,10,True
Bulgaria,All,2024,479,False
Afghanistan,All,2017,1,True
Afghanistan,All,2025,72,False
EU,All,2018,33877,True
Colombia,All,2023,718,True
Argentina,All,2016,216,True
Kosovo,All,2021,23,True
Kosovo,All,2024,54,False
Czechia,All,2015,822,True
Nepal,All,2025,85,False
Belgium,All,2025,889,False
China (mainland),All,2024,115061,False
Portugal,All,2024,1909,False
Azerbaijan,All,2016,34,True
Jamaica,All,2023,8,True
Sri Lanka,All,2016,124,True
Vietnam,All,2019,1066,True
Hungary,All,2018,442,True
Belarus,All,2022,103,True
Europe,All,2016,38326,True
San Marino,All,2018,1,True
Cape Verde,All,2024,3,False
Singapore,All,2025,2077,False
Yemen,All,2021,173,True
France,All,2022,7336,True
Brazil,All,2023,3592,True
Trinidad and Tobago,All,2023,34,True
United Arab Emirates,All,2016,279,True
Austria,All,2022,1888,True
Algeria,All,2023,924,True
Jordan,All,2018,275,True
Cameroon,All,2016,10,True
Papua New Guinea,Computer Vision,2019,2,True
Romania,Computer Vision,2017,235,True
Liberia,Computer Vision,2025,3,False
Bulgaria,Computer Vision,2025,65,False
Maldives,Computer Vision,2025,2,False
Uzbekistan,Computer Vision,2023,59,True
Europe,Computer Vision,2015,9359,True
Libya,Computer Vision,2019,7,True
Brazil,Computer Vision,2021,1012,True
Russia,Computer Vision,2017,478,True
Kosovo,Computer Vision,2016,1,True
Croatia,Computer Vision,2016,83,True
Ireland,Computer Vision,2015,58,True
Gambia,Computer Vision,2021,3,True
NATO,Computer Vision,2016,13829,True
Estonia,Computer Vision,2025,10,False
Tunisia,Computer Vision,2021,297,True
Yemen,Computer Vision,2017,12,True
Global Partnership on Artificial Intelligence,Computer Vision,2023,50999,True
Cuba,Computer Vision,2016,25,True
Bosnia and Herzegovina,Computer Vision,2016,15,True
Greece,Computer Vision,2015,221,True
Greece,Computer Vision,2020,318,True
Lebanon,Computer Vision,2015,48,True
Africa,Computer Vision,2019,1354,True
South and Central America,Computer Vision,2025,632,False
Nicaragua,Computer Vision,2015,1,True
Venezuela,Computer Vision,2018,10,True
Saudi Arabia,Computer Vision,2017,246,True
Portugal,Computer Vision,2016,204,True
Germany,Computer Vision,2021,3335,True
Sweden,Computer Vision,2023,520,True
North America and the Caribbean,Large language models,2023,5886,True
ASEAN,Large language models,2024,1462,False
Uganda,Large language models,2020,1,True
Estonia,Large language models,2023,14,True
Estonia,Large language models,2025,8,False
Sri Lanka,Large language models,2024,30,False
Switzerland,Large language models,2019,93,True
Kazakhstan,Large language models,2020,4,True
Oceania,Large language models,2018,56,True
China (mainland),Large language models,2018,702,True
Iran,Large language models,2017,4,True
Croatia,Large language models,2022,6,True
Russia,Large language models,2024,127,False
Syria,Large language models,2024,6,False
Austria,Large language models,2017,1,True
Austria,Large language models,2021,56,True
Austria,Large language models,2023,100,True
Nigeria,Large language models,2025,14,False
Belarus,Large language models,2021,2,True
Bulgaria,Large language models,2018,1,True
New Zealand,Large language models,2018,4,True
Five Eyes,Large language models,2017,515,True
Mongolia,Natural Language Processing,2021,10,True
Costa Rica,Natural Language Processing,2018,3,True
Czechia,Natural Language Processing,2016,145,True
Eritrea,Natural Language Processing,2024,2,False
Croatia,Natural Language Processing,2021,43,True
Uruguay,Natural Language Processing,2021,10,True
Canada,Natural Language Processing,2015,337,True
Benin,Natural Language Processing,2022,1,True
Japan,Natural Language Processing,2025,345,False
Cameroon,Natural Language Processing,2017,2,True
Cuba,Natural Language Processing,2017,3,True
New Zealand,Natural Language Processing,2018,47,True
Belgium,Natural Language Processing,2024,164,False
Australia,Natural Language Processing,2023,751,True
Venezuela,Natural Language Processing,2023,1,True
Mauritius,Natural Language Processing,2015,3,True
Mauritius,Natural Language Processing,2023,7,True
Mauritius,Natural Language Processing,2025,3,False
Europe,Natural Language Processing,2020,7656,True
Five Eyes,Natural Language Processing,2022,7257,True
Kenya,Natural Language Processing,2018,5,True
Namibia,Natural Language Processing,2022,1,True
Spain,Natural Language Processing,2020,547,True
Albania,Natural Language Processing,2021,6,True
Albania,Natural Language Processing,2023,11,True
Poland,Natural Language Processing,2019,188,True
Kuwait,Natural Language Processing,2025,19,False
Ethiopia,Natural Language Processing,2019,13,True
Algeria,Natural Language Processing,2018,62,True
Quad,Natural Language Processing,2024,9796,False
Tunisia,Natural Language Processing,2019,72,True
Germany,Natural Language Processing,2019,1272,True
Netherlands,Natural Language Processing,2018,475,True
Dominican Republic,Natural Language Processing,2025,1,False
Myanmar,Natural Language Processing,2016,10,True
South Africa,Natural Language Processing,2024,90,False
Syria,Robotics,2017,2,True
Syria,Robotics,2025,3,False
Sudan,Robotics,2021,16,True
Grenada,Robotics,2023,2,True
Cameroon,Robotics,2024,2,False
Myanmar,Robotics,2015,1,True
United Kingdom,Robotics,2016,1283,True
Hungary,Robotics,2015,73,True
Slovakia,Robotics,2023,93,True
Yemen,Robotics,2018,1,True
Netherlands,Robotics,2021,620,True
Netherlands,Robotics,2025,302,False
Cyprus,Robotics,2021,50,True
Chile,Robotics,2017,47,True
Iraq,Robotics,2017,58,True
Japan,Robotics,2020,3237,True
Peru,Robotics,2018,38,True
Australia,Robotics,2020,789,True
Thailand,Robotics,2024,173,False
Iran,Robotics,2017,429,True
Guatemala,Robotics,2022,1,True
Malaysia,Robotics,2020,313,True
Malta,Robotics,2016,7,True
Côte d'Ivoire,Robotics,2022,1,True
Zimbabwe,Robotics,2022,1,True
Bulgaria,Robotics,2020,64,True
Oman,Robotics,2024,43,False
OECD,Robotics,2021,24179,True
Botswana,Robotics,2016,2,True
Libya,Robotics,2025,5,False
Kazakhstan,AI Safety,2017,1,True
Kazakhstan,AI Safety,2023,6,True
Armenia,AI Safety,2025,1,False
Uzbekistan,AI Safety,2023,4,True
Norway,AI Safety,2025,39,False
Bulgaria,AI Safety,2024,10,False
Switzerland,AI Safety,2019,84,True
Philippines,AI Safety,2024,26,False
Lithuania,AI Safety,2020,2,True
Sri Lanka,AI Safety,2020,5,True
United Kingdom,AI Safety,2016,134,True
Argentina,AI Safety,2022,2,True
Albania,AI Safety,2024,1,False
Chile,AI Safety,2021,10,True
Pakistan,AI Safety,2024,71,False
Colombia,AI Safety,2020,4,True
Ghana,AI Safety,2020,1,True
Finland,All,2016,675,True
Five Eyes,All,2024,76148,False
Zimbabwe,All,2015,2,True
Zimbabwe,All,2020,14,True
Bolivia,All,2022,8,True
Qatar,All,2019,295,True
Qatar,All,2025,395,False
Benin,All,2023,32,True
Saudi Arabia,All,2016,654,True
Senegal,All,2022,43,True
Italy,All,2016,4008,True
Italy,All,2024,9010,False
Gabon,All,2022,18,True
Kenya,All,2020,94,True
Gambia,All,2019,1,True
Malta,All,2021,110,True
Latvia,All,2023,128,True
New Zealand,All,2015,427,True
Uruguay,All,2020,57,True
Uruguay,All,2025,36,False
Montenegro,All,2024,44,False
Venezuela,All,2024,44,False
Moldova,All,2015,10,True
India,All,2017,11554,True
Slovakia,All,2018,293,True
Syria,All,2021,51,True
Timor-Leste,All,2019,2,True
Canada,All,2018,4605,True
Canada,All,2020,7369,True
Sierra Leone,All,2019,3,True
Russia,All,2023,3641,True
Jordan,All,2022,712,True
Tanzania,Computer Vision,2022,27,True
Cyprus,Computer Vision,2021,111,True
Trinidad and Tobago,Computer Vision,2024,3,False
Singapore,Computer Vision,2015,572,True
Bangladesh,Computer Vision,2017,184,True
Oman,Computer Vision,2024,122,False
Oman,Computer Vision,2025,63,False
Five Eyes,Computer Vision,2017,9576,True
Five Eyes,Computer Vision,2024,17776,False
Romania,Computer Vision,2024,319,False
Myanmar,Computer Vision,2025,9,False
Finland,Computer Vision,2016,213,True
Panama,Computer Vision,2015,5,True
Maldives,Computer Vision,2023,2,True
Rwanda,Computer Vision,2019,4,True
Libya,Computer Vision,2023,28,True
Bahrain,Computer Vision,2016,6,True
Mozambique,Computer Vision,2025,1,False
Brazil,Computer Vision,2016,488,True
South Africa,Computer Vision,2025,104,False
Kosovo,Computer Vision,2017,3,True
Belarus,Computer Vision,2015,5,True
Kenya,Computer Vision,2016,9,True
Equatorial Guinea,Computer Vision,2021,1,True
Canada,Computer Vision,2020,1887,True
Tunisia,Computer Vision,2017,263,True
Kyrgyzstan,Computer Vision,2025,6,False
Sudan,Computer Vision,2019,26,True
OECD,Computer Vision,2015,17320,True
Mexico,Computer Vision,2017,239,True
Montenegro,Computer Vision,2017,3,True
Barbados,Computer Vision,2024,2,False
Algeria,Computer Vision,2024,379,False
Chad,Computer Vision,2024,3,False
Guatemala,Computer Vision,2018,1,True
Luxembourg,Computer Vision,2017,13,True
Nepal,Computer Vision,2021,36,True
Botswana,Computer Vision,2018,1,True
Laos,Computer Vision,2020,1,True
Laos,Computer Vision,2022,1,True
Saudi Arabia,Computer Vision,2023,1529,True
Saudi Arabia,Computer Vision,2025,1028,False
Morocco,Computer Vision,2020,252,True
Gabon,Computer Vision,2023,6,True
Sweden,Computer Vision,2016,220,True
Lebanon,Large language models,2020,3,True
South Korea,Large language models,2022,530,True
Ukraine,Large language models,2020,5,True
Ukraine,Large language models,2022,16,True
Turkey,Large language models,2016,5,True
Rwanda,Large language models,2021,1,True
Croatia,Large language models,2024,21,False
Mexico,Large language models,2016,1,True
Europe,Large language models,2017,308,True
Indonesia,Large language models,2015,1,True
Myanmar,Large language models,2023,6,True
Australia,Large language models,2017,29,True
Germany,Large language models,2021,622,True
Ireland,Large language models,2018,23,True
Libya,Large language models,2024,2,False
Five Eyes,Large language models,2023,7669,True
Quad,Large language models,2017,493,True
Senegal,Natural Language Processing,2024,6,False
Sri Lanka,Natural Language Processing,2019,52,True
Yemen,Natural Language Processing,2016,13,True
United States,Natural Language Processing,2020,5697,True
Italy,Natural Language Processing,2019,433,True
Italy,Natural Language Processing,2024,586,False
Cyprus,Natural Language Processing,2015,8,True
Ghana,Natural Language Processing,2015,2,True
Oman,Natural Language Processing,2017,7,True
EU,Natural Language Processing,2018,4263,True
Ecuador,Natural Language Processing,2016,8,True
Hungary,Natural Language Processing,2021,71,True
Hungary,Natural Language Processing,2023,102,True
Benin,Natural Language Processing,2015,1,True
Uzbekistan,Natural Language Processing,2018,5,True
Belarus,Natural Language Processing,2016,9,True
Lithuania,Natural Language Processing,2022,39,True
Sudan,Natural Language Processing,2025,5,False
Europe,Natural Language Processing,2015,4705,True
Greece,Natural Language Processing,2016,88,True
Russia,Natural Language Processing,2016,249,True
South and Central America,Natural Language Processing,2016,335,True
Egypt,Natural Language Processing,2019,148,True
Barbados,Natural Language Processing,2024,2,False
Ethiopia,Natural Language Processing,2015,11,True
Slovenia,Natural Language Processing,2017,28,True
Argentina,Natural Language Processing,2023,26,True
Thailand,Natural Language Processing,2020,85,True
Moldova,Natural Language Processing,2023,1,True
China (mainland),Natural Language Processing,2025,3372,False
Bahamas,Robotics,2021,1,True
Panama,Robotics,2022,8,True
Turkmenistan,Robotics,2024,1,False
Moldova,Robotics,2022,3,True
Armenia,Robotics,2017,1,True
Armenia,Robotics,2024,3,False
Lebanon,Robotics,2025,25,False
Benin,Robotics,2020,1,True
United States,Robotics,2016,5351,True
Chile,Robotics,2016,50,True
Chile,Robotics,2023,71,True
Chile,Robotics,2025,50,False
Kazakhstan,Robotics,2024,71,False
Norway,Robotics,2017,128,True
Norway,Robotics,2019,174,True
Jamaica,Robotics,2023,1,True
Saint Vincent and the Grenadines,Robotics,2023,1,True
Oceania,Robotics,2025,523,False
Finland,Robotics,2019,189,True
Saudi Arabia,Robotics,2023,270,True
Israel,Robotics,2019,183,True
Nigeria,Robotics,2022,79,True
Luxembourg,Robotics,2025,25,False
Greece,Robotics,2017,164,True
Bolivia,Robotics,2018,2,True
Malaysia,Robotics,2023,345,True
Malaysia,Robotics,2024,367,False
Brunei Darussalam,Robotics,2016,7,True
Ethiopia,Robotics,2025,22,False
Estonia,Robotics,2022,47,True
Romania,Robotics,2018,274,True
Libya,Robotics,2016,1,True
Barbados,Robotics,2023,2,True
Romania,AI Safety,2019,15,True
Thailand,AI Safety,2020,4,True
EU,AI Safety,2025,1149,False
Norway,AI Safety,2021,40,True
Bulgaria,AI Safety,2019,2,True
South Africa,AI Safety,2022,10,True
Lebanon,AI Safety,2016,1,True
Ecuador,AI Safety,2015,2,True
Ecuador,AI Safety,2019,2,True
Iceland,AI Safety,2019,1,True
Philippines,AI Safety,2016,1,True
Malta,AI Safety,2022,3,True
Global Partnership on Artificial Intelligence,AI Safety,2025,3995,False
Brazil,AI Safety,2020,57,True
Kuwait,AI Safety,2024,7,False
Belgium,AI Safety,2018,19,True
United Arab Emirates,AI Safety,2017,2,True
Malaysia,AI Safety,2019,6,True
Cuba,AI Safety,2016,1,True
Latvia,AI Safety,2025,1,False
Denmark,AI Safety,2024,84,False
Mexico,AI Safety,2022,9,True
India,AI Safety,2018,68,True
Morocco,AI Safety,2015,2,True
Czechia,AI Safety,2019,11,True
Egypt,AI Safety,2023,26,True
Uzbekistan,All,2015,5,True
Uzbekistan,All,2022,177,True
Denmark,All,2015,631,True
Bolivia,All,2016,2,True
Qatar,All,2017,215,True
Iceland,All,2018,57,True
Lesotho,All,2017,1,True
Mexico,All,2025,791,False
Pakistan,All,2025,1802,False
North Korea,All,2018,8,True
Saint Kitts and Nevis,All,2024,11,False
Sweden,All,2016,1100,True
Gambia,All,2020,1,True
Lebanon,All,2020,189,True
Malta,All,2020,82,True
Malta,All,2025,53,False
Czechia,All,2024,853,False
Ukraine,All,2016,422,True
Ukraine,All,2021,1064,True
Dominican Republic,All,2015,2,True
Morocco,All,2015,335,True
Morocco,All,2018,661,True
Haiti,All,2020,1,True
Jamaica,All,2020,4,True
Madagascar,All,2019,11,True
NATO,All,2025,58344,False
Malaysia,All,2023,3900,True
Fiji,All,2018,18,True
Fiji,All,2019,25,True
Moldova,All,2023,17,True
Zambia,All,2015,1,True
Syria,All,2024,75,False
Canada,All,2015,3396,True
Canada,All,2025,4212,False
Indonesia,All,2019,3295,True
Indonesia,All,2024,6727,False
Senegal,Computer Vision,2025,7,False
Malaysia,Computer Vision,2024,1235,False
Malaysia,Computer Vision,2025,573,False
Slovakia,Computer Vision,2016,61,True
Slovakia,Computer Vision,2024,92,False
Czechia,Computer Vision,2020,248,True
Philippines,Computer Vision,2019,196,True
Panama,Computer Vision,2023,4,True
Maldives,Computer Vision,2020,1,True
Egypt,Computer Vision,2015,270,True
Egypt,Computer Vision,2016,254,True
Egypt,Computer Vision,2023,877,True
Belgium,Computer Vision,2019,299,True
Belgium,Computer Vision,2022,468,True
Zambia,Computer Vision,2020,6,True
Zambia,Computer Vision,2022,6,True
Jordan,Computer Vision,2017,51,True
Zimbabwe,Computer Vision,2016,1,True
Yemen,Computer Vision,2025,33,False
Iceland,Computer Vision,2021,25,True
Cuba,Computer Vision,2018,21,True
Bosnia and Herzegovina,Computer Vision,2017,22,True
Austria,Computer Vision,2025,180,False
Burkina Faso,Computer Vision,2022,3,True
Mexico,Computer Vision,2021,342,True
Africa,Computer Vision,2017,1134,True
Mauritius,Computer Vision,2015,4,True
Australia,Computer Vision,2019,1507,True
Oceania,Computer Vision,2024,2308,False
Kazakhstan,Computer Vision,2017,27,True
Georgia,Computer Vision,2017,1,True
Sweden,Computer Vision,2024,487,False
Liechtenstein,Computer Vision,2020,2,True
Czechia,Large language models,2022,59,True
Czechia,Large language models,2025,25,False
EU,Large language models,2021,1897,True
South Africa,Large language models,2018,4,True
OECD,Large language models,2020,5285,True
OECD,Large language models,2021,7637,True
Taiwan,Large language models,2016,10,True
Turkey,Large language models,2022,83,True
Tunisia,Large language models,2023,27,True
Russia,Large language models,2019,38,True
Russia,Large language models,2020,75,True
Slovakia,Large language models,2016,1,True
Pakistan,Large language models,2017,2,True
Pakistan,Large language models,2018,3,True
Australia,Large language models,2018,52,True
Papua New Guinea,Large language models,2025,1,False
Sweden,Large language models,2024,138,False
Hungary,Large language models,2017,4,True
Libya,Large language models,2023,4,True
New Zealand,Large language models,2019,7,True
New Zealand,Large language models,2020,16,True
Five Eyes,Large language models,2019,2214,True
India,Large language models,2020,313,True
India,Large language models,2024,1309,False
Malaysia,Large language models,2015,1,True
ASEAN,Natural Language Processing,2018,950,True
Switzerland,Natural Language Processing,2018,230,True
Switzerland,Natural Language Processing,2024,332,False
Kosovo,Natural Language Processing,2024,5,False
United States,Natural Language Processing,2023,6267,True
France,Natural Language Processing,2016,736,True
Cyprus,Natural Language Processing,2021,15,True
Armenia,Natural Language Processing,2020,10,True
Czechia,Natural Language Processing,2020,167,True
Oman,Natural Language Processing,2019,9,True
Croatia,Natural Language Processing,2022,42,True
Colombia,Natural Language Processing,2018,26,True
Botswana,Natural Language Processing,2015,2,True
Rwanda,Natural Language Processing,2021,2,True
Kenya,Natural Language Processing,2025,4,False
South and Central America,Natural Language Processing,2020,653,True
Egypt,Natural Language Processing,2021,156,True
Estonia,Natural Language Processing,2019,29,True
Bahrain,Natural Language Processing,2021,8,True
Kuwait,Natural Language Processing,2016,6,True
Ethiopia,Natural Language Processing,2022,56,True
Argentina,Natural Language Processing,2019,40,True
Mauritania,Natural Language Processing,2024,1,False
Norway,Natural Language Processing,2023,180,True
Cambodia,Natural Language Processing,2017,1,True
Cambodia,Natural Language Processing,2018,1,True
Germany,Natural Language Processing,2022,1288,True
Dominican Republic,Natural Language Processing,2015,2,True
Myanmar,Natural Language Processing,2018,22,True
Myanmar,Natural Language Processing,2022,3,True
Myanmar,Natural Language Processing,2025,8,False
Thailand,Natural Language Processing,2019,88,True
Costa Rica,Robotics,2017,4,True
Costa Rica,Robotics,2023,8,True
Cameroon,Robotics,2023,4,True
Sweden,Robotics,2015,253,True
Sweden,Robotics,2017,334,True
United Kingdom,Robotics,2021,2066,True
Hungary,Robotics,2017,83,True
Spain,Robotics,2015,699,True
South and Central America,Robotics,2022,938,True
Mongolia,Robotics,2016,3,True
Iceland,Robotics,2019,7,True
Argentina,Robotics,2024,50,False
United States,Robotics,2025,3927,False
Bangladesh,Robotics,2023,105,True
Azerbaijan,Robotics,2019,7,True
Georgia,Robotics,2022,2,True
Chile,Robotics,2022,59,True
Asia,Robotics,2015,11501,True
Morocco,Robotics,2023,77,True
Liechtenstein,Robotics,2022,2,True
Iran,Robotics,2025,100,False
Global Partnership on Artificial Intelligence,Robotics,2025,13246,False
Albania,Robotics,2017,1,True
Albania,Robotics,2023,2,True
Sri Lanka,Robotics,2017,46,True
Mexico,Robotics,2016,276,True
New Zealand,Robotics,2016,141,True
United Arab Emirates,Robotics,2024,302,False
Malta,Robotics,2023,12,True
Ecuador,Robotics,2017,82,True
Côte d'Ivoire,Robotics,2023,1,True
Poland,Robotics,2023,369,True
Barbados,Robotics,2022,3,True
Spain,AI Safety,2018,53,True
Bulgaria,AI Safety,2025,7,False
Lebanon,AI Safety,2022,6,True
Australia,AI Safety,2017,87,True
Cyprus,AI Safety,2025,15,False
South Korea,AI Safety,2019,68,True
Myanmar,AI Safety,2024,2,False
Bahrain,AI Safety,2022,1,True
Cuba,AI Safety,2017,1,True
Zimbabwe,AI Safety,2023,1,True
Taiwan,AI Safety,2018,19,True
Colombia,AI Safety,2016,3,True
Ethiopia,AI Safety,2023,2,True
Egypt,AI Safety,2025,36,False
Mali,All,2021,3,True
Rwanda,All,2025,64,False
Finland,All,2023,1599,True
Oman,All,2018,73,True
Costa Rica,All,2016,22,True
Tanzania,All,2018,4,True
Liechtenstein,All,2018,9,True
Five Eyes,All,2015,31413,True
Zimbabwe,All,2017,6,True
Poland,All,2015,1730,True
Poland,All,2023,2574,True
Benin,All,2017,7,True
Angola,All,2017,2,True
Bhutan,All,2016,1,True
Bhutan,All,2023,9,True
Taiwan,All,2019,2599,True
Cambodia,All,2019,9,True
Laos,All,2017,1,True
Congo,All,2022,15,True
Paraguay,All,2015,11,True
Slovenia,All,2018,254,True
Nepal,All,2021,86,True
Dominican Republic,All,2024,17,False
Netherlands,All,2017,1947,True
