country,field,year,estimated_investment,complete
Ireland,Energy and natural resources,2024,2,True
Australia,Energy and natural resources,2015,44,True
Chile,Energy and natural resources,2019,0,True
Tunisia,Energy and natural resources,2019,0,True
Norway,Energy and natural resources,2015,0,True
Luxembourg,Facial Recognition,2015,0,True
Israel,Facial Recognition,2019,0,True
Spain,Finance,2018,1,True
Tunisia,Finance,2020,0,True
Canada,Finance,2019,52,True
Guatemala,Finance,2019,5,True
Thailand,Finance,2015,0,True
Finland,Finance,2018,2,True
Mexico,Finance,2022,32,True
Norway,Finance,2021,60,True
Ireland,Finance,2022,17,True
El Salvador,Finance,2021,0,True
Austria,Finance,2025,25,False
Sweden,Finance,2025,1169,False
Italy,Finance,2015,3,True
Estonia,Finance,2021,41,True
Estonia,Finance,2023,0,True
China (mainland),Gaming,2020,32,True
Finland,Gaming,2017,0,True
South Korea,Gaming,2022,2,True
New Zealand,Gaming,2021,149,True
Greece,General purpose,2020,3,True
Austria,General purpose,2020,29,True
France,General purpose,2019,956,True
Portugal,General purpose,2021,75,True
Spain,General purpose,2024,417,True
Italy,General purpose,2023,167,True
Peru,General purpose,2017,0,True
Hungary,General purpose,2019,4,True
Netherlands,General purpose,2017,227,True
Lithuania,General purpose,2022,2,True
Czechia,General purpose,2017,45,True
Czechia,General purpose,2020,27,True
Zimbabwe,General purpose,2019,0,True
Canada,General purpose,2024,1726,True
United States,General purpose,2017,12618,True
United States,General purpose,2024,72638,True
New Zealand,General purpose,2018,92,True
China (mainland),General purpose,2018,3278,True
Thailand,General purpose,2024,43,True
Kazakhstan,General purpose,2023,1,True
Russia,General purpose,2024,130,True
Bulgaria,General purpose,2019,2,True
Iceland,Hardware,2023,3,True
Armenia,Hardware,2021,0,True
Austria,Hardware,2022,2,True
Spain,Hardware,2022,25,True
Sri Lanka,Hardware,2025,0,False
Czechia,Hardware,2023,1,True
Denmark,Healthcare and Life Sciences,2015,0,True
Poland,Healthcare and Life Sciences,2021,11,True
Kenya,Healthcare and Life Sciences,2019,2,True
Thailand,Healthcare and Life Sciences,2019,3,True
Sweden,Healthcare and Life Sciences,2016,1,True
Switzerland,Healthcare and Life Sciences,2025,429,False
Lithuania,Healthcare and Life Sciences,2023,2,True
Singapore,Healthcare and Life Sciences,2025,21,False
Georgia,Healthcare and Life Sciences,2022,2,True
Netherlands,Healthcare and Life Sciences,2019,9,True
Ireland,Information Technology,2017,13,True
Finland,Information Technology,2019,20,True
Finland,Information Technology,2021,1599,True
Colombia,Information Technology,2024,1,True
New Zealand,Information Technology,2020,0,True
South Korea,Information Technology,2017,31,True
Germany,Information Technology,2023,1324,True
Taiwan,Information Technology,2023,25,True
Sweden,Information Technology,2025,3373,False
China (mainland),Information Technology,2022,1366,True
Kazakhstan,Information Technology,2022,1,True
Hungary,Information Technology,2019,1,True
South Africa,Lending and Investments,2018,15,True
France,Lending and Investments,2018,1,True
Mexico,Lending and Investments,2024,1,True
Switzerland,Lending and Investments,2021,6,True
Russia,Lending and Investments,2021,0,True
Germany,Lending and Investments,2020,18,True
Taiwan,Manufacturing,2021,1,True
Portugal,Manufacturing,2024,2,True
China (mainland),Manufacturing,2017,99,True
Norway,Manufacturing,2025,25,False
United States,Manufacturing,2024,6649,True
Australia,Manufacturing,2025,3,False
Finland,Media and Entertainment,2023,0,True
Japan,Media and Entertainment,2016,60,True
Netherlands,Media and Entertainment,2015,2,True
United Arab Emirates,Media and Entertainment,2024,0,True
Germany,Media and Entertainment,2019,10,True
Indonesia,Media and Entertainment,2019,1,True
Australia,"Military, public safety and government",2022,3,True
Norway,"Military, public safety and government",2021,0,True
Ukraine,"Mobile, platforms & Internet services",2021,20,True
South Korea,"Mobile, platforms & Internet services",2025,44,False
Chile,"Mobile, platforms & Internet services",2021,2,True
Egypt,"Mobile, platforms & Internet services",2024,2,True
Brazil,"Mobile, platforms & Internet services",2020,142,True
Spain,"Mobile, platforms & Internet services",2024,36,True
Saudi Arabia,"Mobile, platforms & Internet services",2021,7,True
Luxembourg,"Mobile, platforms & Internet services",2024,20,True
Turkey,"Mobile, platforms & Internet services",2016,9,True
Zambia,"Mobile, platforms & Internet services",2021,0,True
Sri Lanka,"Mobile, platforms & Internet services",2017,0,True
Italy,"Mobile, platforms & Internet services",2022,7,True
Sweden,"Mobile, platforms & Internet services",2021,3486,True
Vietnam,"Mobile, platforms & Internet services",2019,1,True
Vietnam,"Mobile, platforms & Internet services",2022,6,True
Denmark,"Mobile, platforms & Internet services",2018,151,True
Russia,"Mobile, platforms & Internet services",2017,3,True
Czechia,"Mobile, platforms & Internet services",2019,1,True
Norway,"Mobile, platforms & Internet services",2018,1,True
Mongolia,NLP,2019,0,True
Indonesia,NLP,2017,10,True
Taiwan,NLP,2022,13,True
Vietnam,NLP,2022,3,True
Portugal,NLP,2022,0,True
Egypt,NLP,2025,0,False
Germany,NLP,2015,1,True
Germany,NLP,2019,8,True
Cyprus,NLP,2022,1,True
Belgium,NLP,2024,87,True
Belarus,Navigation and mapping,2017,4,True
Germany,Navigation and mapping,2022,82,True
Singapore,Navigation and mapping,2019,7,True
South Africa,Other,2020,0,True
Saudi Arabia,Other,2025,36,False
Malaysia,Other,2024,4,True
India,Other,2015,42,True
Turkey,Other,2020,2,True
Sri Lanka,Other,2023,0,True
Bulgaria,Other,2019,2,True
Nigeria,Other,2022,0,True
Czechia,Other,2017,0,True
United States,Other,2018,10891,True
New Zealand,Other,2024,10,True
Colombia,Other,2023,0,True
Mexico,Privacy and Security,2020,2,True
Germany,Privacy and Security,2021,17,True
Switzerland,Privacy and Security,2024,134,True
Australia,Privacy and Security,2020,11,True
Australia,Privacy and Security,2023,6,True
United States,Privacy and Security,2016,678,True
Ireland,Privacy and Security,2021,2,True
Estonia,Privacy and Security,2017,0,True
Spain,Professional services,2017,15,True
Spain,Professional services,2020,4,True
Chile,Professional services,2019,0,True
Indonesia,Professional services,2022,10,True
Austria,Professional services,2025,109,False
Ireland,Professional services,2025,8,False
United States,Professional services,2025,17887,False
Saudi Arabia,Professional services,2020,2,True
United Arab Emirates,Professional services,2022,89,True
United Arab Emirates,Professional services,2025,46,False
Slovenia,Professional services,2017,0,True
Czechia,Professional services,2021,2,True
Lebanon,Professional services,2016,0,True
Turkey,Real estate,2022,0,True
Mexico,Real estate,2019,1,True
Switzerland,Real estate,2017,2,True
Chile,Real estate,2019,0,True
Chile,Real estate,2024,2,True
Germany,Real estate,2021,147,True
Mauritius,Real estate,2021,22,True
United States,Robotics,2020,3544,True
United Kingdom,Robotics,2023,44,True
Italy,Robotics,2025,5,False
Czechia,Robotics,2022,1,True
Finland,Robotics,2022,0,True
Bosnia and Herzegovina,"Sales, retail, commerce, marketing",2016,0,True
Saudi Arabia,"Sales, retail, commerce, marketing",2024,39,True
Mexico,"Sales, retail, commerce, marketing",2017,8,True
Belgium,"Sales, retail, commerce, marketing",2018,9,True
Colombia,"Sales, retail, commerce, marketing",2017,0,True
Lithuania,"Sales, retail, commerce, marketing",2023,0,True
Finland,"Sales, retail, commerce, marketing",2024,40,True
Netherlands,"Sales, retail, commerce, marketing",2024,113,True
Russia,"Sales, retail, commerce, marketing",2024,0,True
Mauritius,"Sales, retail, commerce, marketing",2021,1,True
Slovakia,"Sales, retail, commerce, marketing",2022,23,True
Croatia,"Sales, retail, commerce, marketing",2021,0,True
Estonia,"Sales, retail, commerce, marketing",2018,0,True
India,"Sales, retail, commerce, marketing",2025,47,False
Chile,"Sales, retail, commerce, marketing",2022,1,True
France,"Sales, retail, commerce, marketing",2024,162,True
Germany,Semiconductor,2017,5,True
Germany,Semiconductor,2023,2,True
Switzerland,Semiconductor,2021,0,True
Ukraine,Simulation,2015,0,True
Russia,Software,2023,117,True
France,Software,2022,2823,True
Luxembourg,Software,2021,283,True
Thailand,Software,2020,3,True
Brazil,Software,2021,375,True
Brazil,Software,2023,864,True
Botswana,Software,2015,1,True
United States,Software,2021,95549,True
Kenya,Software,2017,2,True
Kenya,Software,2018,3,True
Jordan,Software,2023,1,True
Austria,Software,2018,32,True
South Africa,Software,2016,52,True
Serbia,Software,2024,43,True
Switzerland,Software,2019,812,True
Philippines,Software,2022,28,True
Ukraine,Software,2017,0,True
Canada,Software,2023,2184,True
Ireland,Software,2018,113,True
New Zealand,Software,2025,96,False
Uzbekistan,Software,2024,0,True
Denmark,Speech Recognition,2018,2,True
Canada,Speech Recognition,2019,1,True
Saudi Arabia,Speech Recognition,2021,3,True
Denmark,Sports,2022,1,True
Poland,Sports,2021,4,True
United States,Sports,2019,227,True
United States,Sports,2024,620,True
Sweden,Sports,2016,0,True
Switzerland,Sports,2024,11,True
United States,Telecommunications,2015,179,True
United States,Telecommunications,2021,2229,True
Russia,Transportation,2020,3,True
Netherlands,Transportation,2025,21,False
Greece,Transportation,2020,10,True
Slovenia,Transportation,2016,0,True
United Kingdom,Transportation,2019,147,True
Brazil,Transportation,2019,2,True
Mexico,Transportation,2023,2,True
Estonia,Transportation,2018,0,True
China (mainland),Agriculture,2020,30,True
Netherlands,Agriculture,2018,1,True
Japan,Agriculture,2016,1,True
Denmark,All,2024,835,True
Malta,All,2025,5361,False
Australia,All,2022,1094,True
Ghana,All,2021,3,True
Pakistan,All,2020,0,True
Brazil,All,2020,614,True
Brazil,All,2022,1737,True
Panama,All,2021,1,True
Bulgaria,All,2017,1,True
Singapore,All,2025,1223,False
Poland,All,2015,18,True
China (mainland),All,2021,18442,True
Nigeria,All,2021,6,True
Kuwait,All,2025,7,False
Indonesia,All,2019,23,True
Canada,Biotechnology,2016,8,True
Spain,Biotechnology,2023,33,True
France,Biotechnology,2021,27,True
France,Biotechnology,2025,85,False
Denmark,Biotechnology,2020,2,True
Austria,Biotechnology,2022,1,True
Slovakia,Biotechnology,2016,1,True
Israel,Biotechnology,2021,37,True
Israel,Biotechnology,2024,70,True
Singapore,Biotechnology,2022,6,True
Italy,Biotechnology,2025,4,False
China (mainland),Biotechnology,2025,96,False
New Zealand,Community and Lifestyle,2023,13,True
China (mainland),Community and Lifestyle,2018,106,True
United Kingdom,Community and Lifestyle,2016,20,True
France,Community and Lifestyle,2017,1,True
Ireland,Community and Lifestyle,2017,1,True
Singapore,Community and Lifestyle,2018,13,True
Singapore,Community and Lifestyle,2021,7,True
Netherlands,Community and Lifestyle,2016,0,True
Netherlands,Community and Lifestyle,2023,0,True
Turkey,Community and Lifestyle,2020,0,True
Austria,Computer Vision,2015,0,True
United Arab Emirates,Computer Vision,2019,3,True
Germany,Computer Vision,2018,18,True
Germany,Computer Vision,2022,158,True
France,Computer Vision,2018,105,True
Portugal,Computer Vision,2018,1,True
Ireland,Computer Vision,2018,38,True
Denmark,Computer Vision,2019,0,True
United States,Computer Vision,2016,300,True
United States,Computer Vision,2017,484,True
Colombia,Consumer goods,2023,3,True
Netherlands,Consumer goods,2022,17,True
Romania,Consumer goods,2023,1,True
Austria,Consumer goods,2016,1,True
Ghana,Consumer goods,2018,1,True
Switzerland,Consumer goods,2023,44,True
Canada,Cyber Security,2016,31,True
United Kingdom,Cyber Security,2020,85,True
India,Cyber Security,2020,1,True
Estonia,Cyber Security,2019,0,True
United States,Cyber Security,2016,218,True
United States,Cyber Security,2020,1301,True
Switzerland,Cyber Security,2025,228,False
Philippines,Data and analytics,2015,2,True
Ecuador,Data and analytics,2024,0,True
Argentina,Data and analytics,2019,2,True
Latvia,Data and analytics,2023,0,True
Malaysia,Data and analytics,2023,78,True
South Korea,Data and analytics,2025,308,False
Sri Lanka,Data and analytics,2024,6,True
Australia,Data and analytics,2016,65,True
Australia,Data and analytics,2021,2218,True
United States,Data and analytics,2016,11757,True
Portugal,Data and analytics,2016,5,True
New Zealand,Data and analytics,2022,93,True
Indonesia,Data and analytics,2019,13,True
Morocco,Data and analytics,2024,1,True
Nigeria,Data and analytics,2016,50,True
Nigeria,Data and analytics,2019,8,True
Canada,Data and analytics,2024,1757,True
Ireland,Data and analytics,2017,49,True
France,Data and analytics,2024,4046,True
Uruguay,Data and analytics,2025,3,False
Hungary,Data and analytics,2024,27,True
Brazil,Education,2017,2,True
Norway,Education,2022,3,True
Hungary,Education,2019,1,True
Israel,Education,2020,1,True
United Arab Emirates,Education,2022,1,True
Switzerland,Energy and natural resources,2023,11,True
Ireland,Energy and natural resources,2017,1,True
Portugal,Energy and natural resources,2025,0,False
Australia,Energy and natural resources,2024,44,True
Chile,Energy and natural resources,2021,1,True
Norway,Energy and natural resources,2019,3,True
Norway,Energy and natural resources,2021,1,True
Lebanon,Energy and natural resources,2021,0,True
United States,Facial Recognition,2025,3,False
India,Facial Recognition,2020,2,True
India,Facial Recognition,2023,1,True
Chile,Finance,2019,1,True
Japan,Finance,2023,1,True
Israel,Finance,2019,67,True
Finland,Finance,2022,995,True
Bulgaria,Finance,2024,1,True
Austria,Finance,2015,1,True
South Korea,Finance,2023,36,True
Netherlands,Finance,2024,157,True
Egypt,Finance,2020,0,True
Estonia,Finance,2022,28,True
Denmark,Finance,2024,2,True
Netherlands,Gaming,2022,5,True
Morocco,General purpose,2022,0,True
Switzerland,General purpose,2020,1755,True
Austria,General purpose,2025,543,False
Finland,General purpose,2021,1678,True
Egypt,General purpose,2022,3,True
Italy,General purpose,2018,242,True
Italy,General purpose,2019,9,True
Tanzania,General purpose,2017,0,True
Canada,General purpose,2017,287,True
Zambia,General purpose,2019,1,True
Turkey,General purpose,2021,84,True
South Africa,General purpose,2018,5,True
South Africa,General purpose,2023,20,True
Kazakhstan,General purpose,2020,1,True
Algeria,General purpose,2022,0,True
India,General purpose,2020,325,True
Israel,General purpose,2025,2140,False
Iceland,Hardware,2017,1,True
Iceland,Hardware,2020,3,True
Italy,Hardware,2023,30,True
United States,Hardware,2016,2961,True
Germany,Hardware,2022,676,True
Germany,Hardware,2023,756,True
Netherlands,Hardware,2017,137,True
Netherlands,Hardware,2022,220,True
Sweden,Hardware,2015,5,True
Chile,Hardware,2018,72,True
Vietnam,Hardware,2016,2,True
Norway,Hardware,2024,109,True
Japan,Hardware,2016,48,True
Estonia,Hardware,2019,2,True
Israel,Hardware,2015,64,True
Finland,Healthcare and Life Sciences,2018,4,True
Turkey,Healthcare and Life Sciences,2024,2,True
Australia,Healthcare and Life Sciences,2018,7,True
Estonia,Healthcare and Life Sciences,2025,0,False
China (mainland),Healthcare and Life Sciences,2016,196,True
China (mainland),Healthcare and Life Sciences,2020,382,True
United Kingdom,Healthcare and Life Sciences,2015,25,True
Norway,Healthcare and Life Sciences,2019,19,True
Tunisia,Information Technology,2019,0,True
Bangladesh,Information Technology,2023,0,True
Finland,Information Technology,2015,3,True
Kenya,Information Technology,2022,6,True
Indonesia,Information Technology,2017,20,True
New Zealand,Information Technology,2019,1,True
United Kingdom,Information Technology,2023,1725,True
Italy,Information Technology,2021,66,True
Armenia,Information Technology,2021,1,True
Vietnam,Information Technology,2023,2,True
Japan,Information Technology,2022,92,True
Turkey,Information Technology,2015,0,True
Sweden,Information Technology,2020,3441,True
Switzerland,Information Technology,2018,89,True
Kazakhstan,Information Technology,2023,3,True
Argentina,Information Technology,2021,2,True
Jordan,Information Technology,2023,0,True
Netherlands,Lending and Investments,2025,22,False
United Kingdom,Lending and Investments,2025,178,False
Iceland,Lending and Investments,2016,1,True
Vietnam,Lending and Investments,2020,1,True
Canada,Lending and Investments,2021,38,True
Canada,Lending and Investments,2024,4,True
Germany,Manufacturing,2023,371,True
Japan,Manufacturing,2015,7,True
Singapore,Manufacturing,2023,4,True
Spain,Manufacturing,2023,4,True
Cyprus,Manufacturing,2024,3,True
Sweden,Manufacturing,2015,2,True
Australia,Manufacturing,2017,2,True
Lithuania,Media and Entertainment,2019,0,True
Saudi Arabia,Media and Entertainment,2017,10,True
Jordan,Media and Entertainment,2023,1,True
Sweden,Media and Entertainment,2020,16,True
Georgia,Media and Entertainment,2025,0,False
Norway,Media and Entertainment,2021,1,True
New Zealand,Media and Entertainment,2016,8,True
Peru,Media and Entertainment,2021,1,True
Hungary,Media and Entertainment,2022,1,True
France,Media and Entertainment,2019,29,True
France,Media and Entertainment,2022,419,True
France,Media and Entertainment,2025,256,False
Switzerland,Media and Entertainment,2018,145,True
Spain,Media and Entertainment,2015,1,True
Spain,Media and Entertainment,2020,54,True
South Korea,"Military, public safety and government",2022,8,True
Israel,"Military, public safety and government",2019,6,True
Ireland,"Military, public safety and government",2017,0,True
Finland,"Mobile, platforms & Internet services",2015,86,True
Saudi Arabia,"Mobile, platforms & Internet services",2020,27,True
Turkey,"Mobile, platforms & Internet services",2019,1,True
Malaysia,"Mobile, platforms & Internet services",2018,1,True
India,"Mobile, platforms & Internet services",2025,358,False
Croatia,"Mobile, platforms & Internet services",2025,0,False
Belgium,"Mobile, platforms & Internet services",2022,14,True
Belgium,"Mobile, platforms & Internet services",2024,185,True
Hungary,"Mobile, platforms & Internet services",2023,7,True
Sweden,NLP,2021,3,True
Switzerland,NLP,2021,4,True
Indonesia,NLP,2018,0,True
Ireland,NLP,2023,88,True
Ireland,NLP,2024,55,True
Iceland,NLP,2021,0,True
Mexico,NLP,2024,1,True
Cyprus,NLP,2015,1,True
China (mainland),NLP,2019,28,True
China (mainland),Navigation and mapping,2025,1,False
Estonia,Navigation and mapping,2021,1,True
Germany,Navigation and mapping,2024,21,True
Singapore,Navigation and mapping,2020,7,True
France,Navigation and mapping,2019,6,True
United Arab Emirates,Other,2022,16,True
Saudi Arabia,Other,2020,8,True
Saudi Arabia,Other,2023,6,True
South Korea,Other,2015,1,True
South Korea,Other,2024,319,True
Germany,Other,2015,684,True
Netherlands,Other,2024,331,True
Bosnia and Herzegovina,Other,2016,0,True
Italy,Other,2018,1,True
Bulgaria,Other,2018,0,True
Kenya,Other,2022,0,True
Finland,Other,2024,669,True
Israel,Other,2015,8,True
Taiwan,Other,2019,20,True
Hungary,Other,2022,1,True
Portugal,Other,2023,5,True
Argentina,Other,2023,344,True
Sweden,Other,2021,35,True
Lithuania,Privacy and Security,2025,0,False
Germany,Privacy and Security,2024,16,True
Russia,Privacy and Security,2019,0,True
Portugal,Privacy and Security,2022,4,True
China (mainland),Privacy and Security,2020,50,True
Israel,Professional services,2016,6,True
Turkey,Professional services,2021,7,True
Denmark,Professional services,2018,2,True
Colombia,Professional services,2024,2,True
Greece,Professional services,2021,0,True
United Kingdom,Professional services,2023,357,True
Ireland,Professional services,2020,40,True
Pakistan,Professional services,2022,0,True
Russia,Professional services,2018,1,True
United States,Professional services,2020,4883,True
South Korea,Professional services,2017,7,True
South Korea,Professional services,2018,5,True
Nigeria,Professional services,2023,1,True
China (mainland),Real estate,2019,27,True
Switzerland,Real estate,2015,2,True
Lithuania,Real estate,2024,0,True
Saudi Arabia,Real estate,2021,0,True
Hungary,Real estate,2023,3,True
Italy,Real estate,2021,1,True
Netherlands,Real estate,2019,13,True
Australia,Robotics,2024,2,True
Netherlands,Robotics,2016,6,True
Austria,Robotics,2020,9,True
Taiwan,Robotics,2024,3,True
Czechia,Robotics,2021,1,True
Malaysia,Robotics,2021,1,True
China (mainland),"Sales, retail, commerce, marketing",2018,374,True
Malaysia,"Sales, retail, commerce, marketing",2020,4,True
Serbia,"Sales, retail, commerce, marketing",2022,4,True
Cyprus,"Sales, retail, commerce, marketing",2020,1,True
Austria,"Sales, retail, commerce, marketing",2021,17,True
Brazil,"Sales, retail, commerce, marketing",2021,77,True
Panama,"Sales, retail, commerce, marketing",2023,0,True
Australia,"Sales, retail, commerce, marketing",2020,103,True
Netherlands,Semiconductor,2025,68,False
Israel,Semiconductor,2024,263,True
United States,Semiconductor,2018,107,True
Slovenia,Simulation,2018,0,True
Russia,Software,2025,1,False
Norway,Software,2015,1,True
Peru,Software,2018,0,True
Japan,Software,2019,464,True
Ghana,Software,2015,1,True
Kenya,Software,2024,7,True
Bulgaria,Software,2022,2,True
Serbia,Software,2019,0,True
El Salvador,Software,2025,6,False
Denmark,Speech Recognition,2021,10,True
United States,Speech Recognition,2017,72,True
Italy,Sports,2022,0,True
Nigeria,Sports,2024,1,True
Germany,Telecommunications,2019,1,True
Canada,Telecommunications,2018,8,True
China (mainland),Telecommunications,2022,5,True
Hungary,Transportation,2019,0,True
Italy,Transportation,2024,2,True
Egypt,Transportation,2022,0,True
South Africa,Transportation,2018,0,True
Slovakia,Transportation,2015,1,True
Brazil,Transportation,2025,2,False
India,Agriculture,2016,3,True
South Korea,Agriculture,2023,7,True
Turkey,Agriculture,2018,0,True
Spain,Agriculture,2015,1,True
Israel,Agriculture,2021,491,True
Saudi Arabia,Agriculture,2017,0,True
Saudi Arabia,Agriculture,2018,0,True
United States,Agriculture,2015,17,True
South Africa,Agriculture,2017,0,True
Italy,Agriculture,2017,1,True
Philippines,Agriculture,2025,22,False
Germany,Agriculture,2023,136,True
Denmark,All,2018,674,True
Denmark,All,2021,366,True
Venezuela,All,2019,1,True
Belize,All,2022,20,True
Morocco,All,2020,1,True
Colombia,All,2016,1,True
Bahrain,All,2020,0,True
United Kingdom,All,2022,7235,True
Austria,All,2020,86,True
Austria,All,2024,830,True
Chile,All,2025,1004,False
Tanzania,All,2025,0,False
Bulgaria,All,2018,13,True
India,All,2015,1048,True
Lebanon,All,2016,0,True
Vietnam,All,2018,0,True
Vietnam,All,2019,17,True
Cyprus,All,2025,69,False
Estonia,All,2024,83,True
Portugal,All,2025,273,False
Nigeria,All,2023,18,True
Azerbaijan,All,2022,0,True
Kazakhstan,All,2023,5,True
Poland,Biotechnology,2019,1,True
Portugal,Biotechnology,2018,0,True
Israel,Biotechnology,2016,16,True
New Zealand,Biotechnology,2019,206,True
Ghana,Biotechnology,2022,1,True
Italy,Biotechnology,2022,1,True
South Korea,Biotechnology,2015,0,True
Portugal,Community and Lifestyle,2018,0,True
Portugal,Community and Lifestyle,2019,1,True
South Korea,Community and Lifestyle,2020,2,True
Italy,Community and Lifestyle,2018,2,True
China (mainland),Community and Lifestyle,2024,103,True
Czechia,Community and Lifestyle,2018,0,True
France,Community and Lifestyle,2024,513,True
Australia,Community and Lifestyle,2024,2,True
Iceland,Community and Lifestyle,2022,1,True
Saudi Arabia,Community and Lifestyle,2015,0,True
Poland,Community and Lifestyle,2025,1,False
Mexico,Computer Vision,2022,1,True
Slovenia,Computer Vision,2020,1,True
Indonesia,Computer Vision,2017,1,True
Poland,Computer Vision,2019,0,True
Finland,Computer Vision,2019,2,True
Saudi Arabia,Computer Vision,2022,2,True
Singapore,Computer Vision,2022,5,True
France,Computer Vision,2017,110,True
Brazil,Computer Vision,2016,0,True
India,Computer Vision,2025,8,False
Hungary,Consumer goods,2016,0,True
Netherlands,Consumer goods,2020,3,True
Singapore,Consumer goods,2016,0,True
United Kingdom,Consumer goods,2017,27,True
Japan,Consumer goods,2025,0,False
Germany,Consumer goods,2015,186,True
India,Consumer goods,2024,43,True
France,Cyber Security,2020,9,True
Romania,Cyber Security,2021,4,True
Australia,Cyber Security,2021,50,True
Israel,Cyber Security,2020,95,True
Ireland,Cyber Security,2022,4,True
China (mainland),Cyber Security,2017,35,True
Kazakhstan,Data and analytics,2022,1,True
Philippines,Data and analytics,2025,127,False
Mongolia,Data and analytics,2021,0,True
Finland,Data and analytics,2022,2223,True
Russia,Data and analytics,2022,1,True
Czechia,Data and analytics,2018,4,True
Serbia,Data and analytics,2018,0,True
Egypt,Data and analytics,2016,0,True
Norway,Data and analytics,2015,0,True
United Arab Emirates,Data and analytics,2019,39,True
Chile,Data and analytics,2024,58,True
Canada,Data and analytics,2020,1205,True
Pakistan,Data and analytics,2017,0,True
Pakistan,Data and analytics,2022,3,True
South Africa,Data and analytics,2024,211,True
Saudi Arabia,Data and analytics,2018,1054,True
Greece,Data and analytics,2020,11,True
Ghana,Data and analytics,2025,0,False
Hungary,Data and analytics,2015,344,True
Italy,Data and analytics,2021,202,True
Jordan,Data and analytics,2019,0,True
Singapore,Education,2018,1,True
Norway,Education,2021,54,True
United Kingdom,Education,2025,145,False
Australia,Education,2023,2,True
China (mainland),Education,2022,160,True
China (mainland),Education,2024,134,True
South Korea,Education,2020,46,True
Estonia,Education,2018,6,True
Romania,Education,2023,1,True
Chile,Education,2019,0,True
France,Education,2017,2,True
Japan,Education,2021,126,True
Belgium,Energy and natural resources,2024,160,True
Austria,Energy and natural resources,2019,0,True
China (mainland),Energy and natural resources,2018,6,True
Spain,Energy and natural resources,2020,23,True
Lithuania,Energy and natural resources,2023,0,True
United States,Energy and natural resources,2025,3981,False
Poland,Facial Recognition,2019,0,True
United Kingdom,Facial Recognition,2025,66,False
Canada,Finance,2021,209,True
Lebanon,Finance,2019,0,True
Thailand,Finance,2020,2,True
Thailand,Finance,2021,5,True
Mexico,Finance,2018,2,True
Portugal,Finance,2021,54,True
Qatar,Finance,2023,1,True
Saudi Arabia,Finance,2021,226,True
Uruguay,Finance,2020,0,True
Hungary,Finance,2022,0,True
Iceland,Finance,2019,3,True
United States,Finance,2018,2180,True
Malaysia,Finance,2018,0,True
Italy,Finance,2020,1,True
New Zealand,Finance,2022,0,True
Switzerland,Finance,2023,3,True
