country,field,year,disclosed_investment,complete
Russia,"Sales, retail, commerce, marketing",2023,0,True
United States,"Sales, retail, commerce, marketing",2022,7349,True
Malta,"Sales, retail, commerce, marketing",2020,1,True
India,"Sales, retail, commerce, marketing",2021,135,True
Colombia,"Sales, retail, commerce, marketing",2017,0,True
Taiwan,"Sales, retail, commerce, marketing",2025,1,False
Italy,"Sales, retail, commerce, marketing",2019,1,True
Mexico,"Sales, retail, commerce, marketing",2020,25,True
Taiwan,Semiconductor,2023,12,True
Taiwan,Semiconductor,2024,2,True
Slovenia,Simulation,2017,0,True
Zimbabwe,Software,2019,0,True
Russia,Software,2015,1,True
El Salvador,Software,2025,6,False
Germany,Software,2017,307,True
United Kingdom,Software,2025,4071,False
Japan,Software,2020,424,True
Lithuania,Software,2016,0,True
Portugal,Software,2020,5,True
Malaysia,Software,2022,22,True
Chile,Software,2021,35,True
Taiwan,Software,2015,12,True
Taiwan,Software,2021,72,True
Poland,Software,2018,13,True
Indonesia,Software,2016,2,True
Ireland,Software,2025,134,False
Singapore,Software,2017,128,True
United Kingdom,Speech Recognition,2025,1,False
Hungary,Sports,2020,1,True
Netherlands,Sports,2021,1,True
United Kingdom,Sports,2016,1,True
United Kingdom,Sports,2025,4,False
Germany,Telecommunications,2019,1,True
Nigeria,Telecommunications,2019,0,True
India,Telecommunications,2019,107,True
Japan,Transportation,2016,5,True
United Arab Emirates,Transportation,2022,6,True
Netherlands,Transportation,2023,4,True
Saudi Arabia,Transportation,2025,70,False
Brazil,Agriculture,2020,1,True
Hungary,Agriculture,2018,0,True
Netherlands,Agriculture,2016,0,True
Sweden,Agriculture,2025,1,False
Japan,Agriculture,2022,0,True
Canada,Agriculture,2016,4,True
Estonia,Agriculture,2023,2,True
Zambia,Agriculture,2023,0,True
Egypt,All,2023,9,True
Ghana,All,2025,0,False
Zimbabwe,All,2024,1,True
New Zealand,All,2019,7,True
Belgium,All,2016,4,True
Jordan,All,2025,0,False
Sri Lanka,All,2020,0,True
Sri Lanka,All,2023,5,True
Ukraine,All,2021,1,True
Slovakia,All,2022,4,True
Dominican Republic,All,2022,0,True
Luxembourg,All,2022,3,True
Turkey,All,2017,179,True
Turkey,All,2020,8,True
Switzerland,All,2025,1073,False
Ireland,Biotechnology,2017,6,True
Austria,Biotechnology,2016,2,True
Netherlands,Biotechnology,2020,1,True
Sri Lanka,Biotechnology,2025,0,False
Poland,Biotechnology,2019,1,True
South Korea,Biotechnology,2023,42,True
Denmark,Biotechnology,2024,5,True
Portugal,Community and Lifestyle,2021,0,True
Turkey,Community and Lifestyle,2021,2,True
Romania,Community and Lifestyle,2018,0,True
France,Community and Lifestyle,2024,1,True
Belgium,Community and Lifestyle,2023,0,True
United Arab Emirates,Community and Lifestyle,2019,0,True
Netherlands,Community and Lifestyle,2024,2,True
Poland,Community and Lifestyle,2025,1,False
China (mainland),Computer Vision,2017,177,True
Estonia,Computer Vision,2021,0,True
India,Computer Vision,2019,3,True
Mexico,Computer Vision,2022,1,True
South Korea,Consumer goods,2017,3,True
Brazil,Consumer goods,2015,0,True
Japan,Consumer goods,2024,1,True
China (mainland),Consumer goods,2023,164,True
Norway,Consumer goods,2021,7,True
Netherlands,Consumer goods,2016,2,True
Sweden,Consumer goods,2022,1,True
France,Cyber Security,2023,9,True
Saudi Arabia,Cyber Security,2022,40,True
India,Cyber Security,2025,0,False
Switzerland,Cyber Security,2015,0,True
Japan,Cyber Security,2019,1,True
India,Data and analytics,2019,280,True
Italy,Data and analytics,2022,23,True
Belarus,Data and analytics,2022,0,True
Jordan,Data and analytics,2016,0,True
Mexico,Data and analytics,2025,60,False
Spain,Data and analytics,2015,11,True
Spain,Data and analytics,2022,370,True
Lebanon,Data and analytics,2022,0,True
Czechia,Data and analytics,2019,14,True
Bulgaria,Data and analytics,2023,5,True
Luxembourg,Data and analytics,2015,0,True
Saudi Arabia,Education,2025,65,False
New Zealand,Education,2015,3,True
North Macedonia,Education,2024,0,True
Argentina,Education,2018,0,True
Chile,Education,2015,0,True
Lithuania,Education,2021,0,True
Canada,Education,2018,4,True
Turkey,Energy and natural resources,2015,0,True
Sweden,Energy and natural resources,2018,0,True
Finland,Energy and natural resources,2023,2,True
Singapore,Energy and natural resources,2018,1,True
Hungary,Energy and natural resources,2018,0,True
Chile,Energy and natural resources,2015,0,True
Chile,Energy and natural resources,2020,1,True
Austria,Energy and natural resources,2021,2,True
United States,Facial Recognition,2021,157,True
Singapore,Finance,2019,38,True
Brazil,Finance,2018,1,True
Colombia,Finance,2022,4,True
United States,Finance,2017,438,True
United Arab Emirates,Finance,2022,19,True
South Africa,Finance,2020,18,True
Sweden,Finance,2022,6,True
Armenia,Finance,2024,0,True
Russia,Finance,2021,2,True
Lebanon,Finance,2017,0,True
Thailand,Finance,2022,5,True
Uganda,Finance,2020,0,True
Jordan,Finance,2022,0,True
Cyprus,Gaming,2018,1,True
China (mainland),General purpose,2015,315,True
South Africa,General purpose,2017,6,True
United States,General purpose,2015,5853,True
Costa Rica,General purpose,2022,0,True
Netherlands,General purpose,2020,31,True
Bosnia and Herzegovina,General purpose,2016,0,True
Colombia,General purpose,2020,2,True
New Zealand,General purpose,2021,1064,True
Egypt,General purpose,2023,2,True
Mexico,General purpose,2016,1,True
Croatia,General purpose,2024,54,True
Turkey,General purpose,2025,14,False
Brazil,General purpose,2017,6,True
South Korea,General purpose,2022,847,True
Finland,General purpose,2017,8,True
Romania,Hardware,2025,3,False
Kenya,Hardware,2023,0,True
Japan,Hardware,2025,12,False
Ukraine,Hardware,2020,0,True
Estonia,Hardware,2022,4,True
Malaysia,Hardware,2019,7,True
Spain,Hardware,2024,6,True
Japan,Healthcare and Life Sciences,2025,34,False
Ireland,Healthcare and Life Sciences,2022,4,True
Singapore,Healthcare and Life Sciences,2017,6,True
Singapore,Healthcare and Life Sciences,2024,1,True
Poland,Healthcare and Life Sciences,2024,2,True
Slovenia,Healthcare and Life Sciences,2016,0,True
France,Healthcare and Life Sciences,2020,20,True
Hungary,Healthcare and Life Sciences,2020,0,True
Norway,Healthcare and Life Sciences,2021,2,True
United States,Healthcare and Life Sciences,2022,2503,True
Cyprus,Healthcare and Life Sciences,2023,0,True
Taiwan,Healthcare and Life Sciences,2022,14,True
Vietnam,Healthcare and Life Sciences,2022,0,True
United Arab Emirates,Information Technology,2021,803,True
China (mainland),Information Technology,2022,853,True
Slovakia,Information Technology,2024,5,True
Germany,Information Technology,2018,87,True
Bosnia and Herzegovina,Information Technology,2016,0,True
El Salvador,Information Technology,2025,5,False
Colombia,Information Technology,2021,0,True
Colombia,Information Technology,2022,3,True
South Korea,Information Technology,2021,192,True
Sri Lanka,Information Technology,2017,2,True
Estonia,Information Technology,2023,1,True
United States,Lending and Investments,2021,2475,True
Belgium,Lending and Investments,2022,2,True
Czechia,Lending and Investments,2023,11,True
Netherlands,Lending and Investments,2020,1,True
India,Lending and Investments,2019,4,True
United Arab Emirates,Lending and Investments,2022,0,True
Mexico,Lending and Investments,2024,1,True
Israel,Manufacturing,2024,30,True
Denmark,Manufacturing,2023,1,True
Australia,Media and Entertainment,2025,3,False
Belgium,Media and Entertainment,2024,0,True
India,Media and Entertainment,2017,1,True
France,Media and Entertainment,2019,24,True
Norway,Media and Entertainment,2023,0,True
India,"Military, public safety and government",2018,0,True
United States,"Military, public safety and government",2023,1096,True
China (mainland),"Military, public safety and government",2018,8,True
Poland,"Mobile, platforms & Internet services",2018,1,True
Singapore,"Mobile, platforms & Internet services",2019,1482,True
Belgium,"Mobile, platforms & Internet services",2017,89,True
Latvia,"Mobile, platforms & Internet services",2021,0,True
Canada,"Mobile, platforms & Internet services",2025,118,False
Kazakhstan,"Mobile, platforms & Internet services",2021,1,True
Italy,"Mobile, platforms & Internet services",2015,1,True
Japan,"Mobile, platforms & Internet services",2024,72,True
Serbia,"Mobile, platforms & Internet services",2022,0,True
Russia,"Mobile, platforms & Internet services",2016,3,True
Bulgaria,"Mobile, platforms & Internet services",2024,3,True
United Arab Emirates,"Mobile, platforms & Internet services",2019,0,True
Austria,"Mobile, platforms & Internet services",2019,1,True
Austria,"Mobile, platforms & Internet services",2022,1,True
Portugal,NLP,2016,1,True
Switzerland,NLP,2022,0,True
Japan,NLP,2024,30,True
Serbia,NLP,2020,0,True
Czechia,NLP,2024,1,True
Malaysia,NLP,2023,0,True
Singapore,NLP,2018,0,True
Israel,Navigation and mapping,2024,19,True
United States,Navigation and mapping,2017,43,True
Saudi Arabia,Navigation and mapping,2018,0,True
Brazil,Other,2021,10,True
France,Other,2022,35,True
Colombia,Other,2023,0,True
Japan,Other,2016,18,True
Latvia,Other,2025,0,False
Philippines,Other,2022,0,True
Mexico,Other,2021,4,True
Croatia,Other,2021,1,True
Sweden,Other,2023,7,True
South Korea,Other,2024,21,True
Sri Lanka,Other,2024,1,True
Seychelles,Privacy and Security,2017,1,True
Chile,Privacy and Security,2023,0,True
Belgium,Privacy and Security,2018,2,True
Ireland,Privacy and Security,2024,1,True
India,Privacy and Security,2025,12,False
South Korea,Privacy and Security,2023,4,True
Czechia,Professional services,2022,18,True
Canada,Professional services,2016,4,True
Brazil,Professional services,2022,145,True
Mexico,Professional services,2021,0,True
Mexico,Professional services,2023,0,True
Netherlands,Professional services,2019,9,True
Denmark,Professional services,2023,6,True
Portugal,Professional services,2017,0,True
South Korea,Professional services,2023,50,True
United States,Real estate,2017,95,True
Norway,Real estate,2024,3,True
Netherlands,Robotics,2018,1,True
Czechia,Robotics,2019,2,True
Mauritius,"Sales, retail, commerce, marketing",2021,0,True
Portugal,"Sales, retail, commerce, marketing",2022,1,True
Portugal,"Sales, retail, commerce, marketing",2025,1,False
South Korea,"Sales, retail, commerce, marketing",2020,7,True
Russia,"Sales, retail, commerce, marketing",2019,5,True
United Kingdom,"Sales, retail, commerce, marketing",2020,129,True
China (mainland),"Sales, retail, commerce, marketing",2021,224,True
Hungary,"Sales, retail, commerce, marketing",2021,2,True
Ireland,"Sales, retail, commerce, marketing",2023,63,True
Colombia,"Sales, retail, commerce, marketing",2023,1,True
Italy,"Sales, retail, commerce, marketing",2020,10,True
Italy,"Sales, retail, commerce, marketing",2025,4,False
Peru,"Sales, retail, commerce, marketing",2023,0,True
Belgium,"Sales, retail, commerce, marketing",2020,82,True
Singapore,Semiconductor,2024,1385,True
South Korea,Semiconductor,2020,1,True
Taiwan,Semiconductor,2018,18,True
Japan,Semiconductor,2015,2,True
France,Semiconductor,2025,27,False
Turkey,Simulation,2024,0,True
United Kingdom,Simulation,2022,0,True
United Kingdom,Simulation,2025,37,False
Belgium,Software,2022,151,True
Serbia,Software,2019,0,True
Bangladesh,Software,2021,0,True
Finland,Software,2015,110,True
Sri Lanka,Software,2025,2,False
Norway,Software,2022,152,True
Greece,Software,2022,11,True
Spain,Software,2021,90,True
Indonesia,Software,2020,6,True
China (mainland),Software,2020,2321,True
Netherlands,Software,2018,47,True
Costa Rica,Software,2022,0,True
Portugal,Speech Recognition,2024,0,True
Nigeria,Sports,2024,1,True
Canada,Sports,2020,1,True
Australia,Telecommunications,2019,0,True
Germany,Telecommunications,2024,0,True
Israel,Transportation,2019,46,True
Sweden,Transportation,2017,1,True
Canada,Transportation,2017,8,True
Malaysia,Transportation,2019,1,True
United States,Transportation,2022,4471,True
Sweden,Agriculture,2022,5,True
United Kingdom,Agriculture,2023,8,True
France,Agriculture,2020,4,True
Saudi Arabia,Agriculture,2018,0,True
United States,Agriculture,2023,54,True
Portugal,All,2022,66,True
Italy,All,2022,49,True
Cyprus,All,2025,35,False
Tanzania,All,2025,0,False
Malta,All,2025,0,False
Ukraine,All,2016,0,True
Ireland,All,2017,52,True
South Korea,All,2016,72,True
Philippines,All,2021,5,True
Luxembourg,All,2020,13,True
Estonia,All,2015,10,True
Israel,All,2020,1869,True
Saudi Arabia,All,2020,84,True
Ireland,Biotechnology,2022,1,True
Slovakia,Biotechnology,2015,0,True
Singapore,Biotechnology,2024,1,True
Netherlands,Biotechnology,2021,96,True
United Kingdom,Biotechnology,2017,10,True
Finland,Biotechnology,2020,1,True
France,Community and Lifestyle,2025,3,False
Australia,Community and Lifestyle,2021,3,True
Iceland,Community and Lifestyle,2022,1,True
Germany,Community and Lifestyle,2016,2,True
Germany,Community and Lifestyle,2024,5,True
South Korea,Computer Vision,2021,24,True
Turkey,Computer Vision,2024,1,True
Saudi Arabia,Computer Vision,2021,1,True
Brazil,Computer Vision,2020,5,True
Sweden,Computer Vision,2019,0,True
United States,Computer Vision,2015,46,True
United States,Computer Vision,2023,1719,True
South Korea,Consumer goods,2023,7,True
South Korea,Consumer goods,2024,44,True
Slovakia,Consumer goods,2020,1,True
Colombia,Consumer goods,2024,3,True
Italy,Consumer goods,2023,22,True
Norway,Consumer goods,2020,0,True
United States,Cyber Security,2019,1408,True
South Korea,Cyber Security,2024,2,True
Italy,Cyber Security,2021,2,True
Israel,Cyber Security,2016,3,True
Japan,Cyber Security,2024,1,True
Bangladesh,Data and analytics,2020,0,True
Japan,Data and analytics,2021,344,True
Japan,Data and analytics,2025,167,False
Hungary,Data and analytics,2016,3,True
Singapore,Data and analytics,2017,126,True
Panama,Data and analytics,2023,0,True
Iceland,Data and analytics,2023,3,True
Thailand,Data and analytics,2025,0,False
Croatia,Data and analytics,2019,0,True
Indonesia,Data and analytics,2017,1,True
Mexico,Data and analytics,2017,1,True
Argentina,Data and analytics,2021,3,True
China (mainland),Data and analytics,2022,1407,True
Ukraine,Data and analytics,2020,1,True
Luxembourg,Data and analytics,2021,2,True
Austria,Data and analytics,2023,28,True
Mongolia,Data and analytics,2022,0,True
Hungary,Education,2015,0,True
New Zealand,Education,2023,0,True
United States,Education,2017,43,True
South Africa,Education,2021,1,True
Portugal,Education,2024,1,True
Germany,Education,2023,30,True
Finland,Education,2021,15,True
South Korea,Education,2024,23,True
South Korea,Energy and natural resources,2018,1,True
Denmark,Energy and natural resources,2025,1,False
Finland,Energy and natural resources,2025,1,False
Austria,Energy and natural resources,2024,5,True
Russia,Facial Recognition,2021,1,True
China (mainland),Facial Recognition,2020,1,True
Canada,Facial Recognition,2016,0,True
Mexico,Finance,2023,75,True
Japan,Finance,2020,84,True
United States,Finance,2024,3551,True
South Africa,Finance,2023,3,True
Kenya,Finance,2021,11,True
Thailand,Finance,2019,0,True
Vietnam,Finance,2019,1,True
Germany,Gaming,2020,0,True
Germany,Gaming,2021,1,True
Germany,Gaming,2023,3,True
Sweden,Gaming,2016,0,True
Israel,Gaming,2018,8,True
France,Gaming,2020,0,True
France,General purpose,2015,31,True
Cyprus,General purpose,2021,24,True
Chile,General purpose,2025,3,False
United Arab Emirates,General purpose,2018,8,True
South Africa,General purpose,2025,3,False
United Kingdom,General purpose,2025,3028,False
United States,General purpose,2023,31827,True
Ireland,General purpose,2016,12,True
Norway,General purpose,2019,31,True
Sri Lanka,General purpose,2024,7,True
Netherlands,General purpose,2025,198,False
Croatia,General purpose,2021,1,True
Turkey,General purpose,2018,4,True
Luxembourg,General purpose,2024,20,True
Poland,General purpose,2020,27,True
Austria,General purpose,2021,101,True
Finland,General purpose,2020,145,True
Denmark,Hardware,2025,1,False
Singapore,Hardware,2020,32,True
Ireland,Hardware,2018,11,True
China (mainland),Hardware,2021,1711,True
Netherlands,Hardware,2019,58,True
Australia,Hardware,2016,4,True
Japan,Healthcare and Life Sciences,2024,32,True
Netherlands,Healthcare and Life Sciences,2024,8,True
Finland,Healthcare and Life Sciences,2023,7,True
Finland,Healthcare and Life Sciences,2024,0,True
Spain,Healthcare and Life Sciences,2015,2,True
Spain,Healthcare and Life Sciences,2017,16,True
Brazil,Healthcare and Life Sciences,2019,2,True
Germany,Healthcare and Life Sciences,2016,1,True
Estonia,Healthcare and Life Sciences,2025,0,False
China (mainland),Healthcare and Life Sciences,2017,154,True
Portugal,Healthcare and Life Sciences,2018,0,True
Belgium,Healthcare and Life Sciences,2023,2,True
Denmark,Information Technology,2020,23,True
China (mainland),Information Technology,2021,582,True
China (mainland),Information Technology,2025,486,False
South Africa,Information Technology,2023,1,True
Vietnam,Information Technology,2020,1,True
Australia,Information Technology,2016,14,True
Croatia,Information Technology,2024,1,True
Iceland,Information Technology,2018,0,True
Malaysia,Information Technology,2021,35,True
South Korea,Information Technology,2015,3,True
Armenia,Information Technology,2020,0,True
Mexico,Information Technology,2019,0,True
Spain,Lending and Investments,2024,2,True
Netherlands,Lending and Investments,2015,0,True
Philippines,Lending and Investments,2022,2,True
Vietnam,Lending and Investments,2019,1,True
Israel,Manufacturing,2020,32,True
Switzerland,Manufacturing,2022,6,True
Brazil,Manufacturing,2019,0,True
Italy,Manufacturing,2017,2,True
Norway,Manufacturing,2021,157,True
Denmark,Manufacturing,2018,154,True
Argentina,Media and Entertainment,2023,0,True
Ukraine,Media and Entertainment,2020,1,True
Slovakia,"Military, public safety and government",2020,1,True
Hungary,"Mobile, platforms & Internet services",2016,1,True
Poland,"Mobile, platforms & Internet services",2024,1,True
Singapore,"Mobile, platforms & Internet services",2020,467,True
Belgium,"Mobile, platforms & Internet services",2025,6,False
Romania,"Mobile, platforms & Internet services",2022,1,True
United States,"Mobile, platforms & Internet services",2022,3310,True
Vietnam,"Mobile, platforms & Internet services",2020,1,True
Malaysia,"Mobile, platforms & Internet services",2016,0,True
Malaysia,"Mobile, platforms & Internet services",2022,3,True
Spain,"Mobile, platforms & Internet services",2024,34,True
Serbia,"Mobile, platforms & Internet services",2020,0,True
Ireland,"Mobile, platforms & Internet services",2025,61,False
Panama,"Mobile, platforms & Internet services",2023,0,True
Norway,"Mobile, platforms & Internet services",2024,5,True
China (mainland),NLP,2024,17,True
Brazil,NLP,2021,2,True
New Zealand,NLP,2015,3,True
Ireland,NLP,2017,10,True
Indonesia,NLP,2019,0,True
Denmark,NLP,2017,0,True
Poland,Navigation and mapping,2021,1,True
Germany,Navigation and mapping,2018,3,True
Chile,Other,2024,4,True
United States,Other,2017,611,True
Australia,Other,2016,15,True
Australia,Other,2017,3,True
Belgium,Other,2016,0,True
India,Other,2025,27,False
Netherlands,Other,2022,14,True
Sri Lanka,Other,2023,0,True
Saudi Arabia,Other,2019,1,True
Turkey,Privacy and Security,2021,0,True
Belgium,Privacy and Security,2023,218,True
Italy,Privacy and Security,2019,1,True
Netherlands,Privacy and Security,2021,118,True
Mexico,Privacy and Security,2017,0,True
Argentina,Privacy and Security,2021,1,True
United Kingdom,Privacy and Security,2018,26,True
China (mainland),Privacy and Security,2018,24,True
China (mainland),Privacy and Security,2021,134,True
Hungary,Professional services,2021,0,True
Spain,Professional services,2025,1012,False
Azerbaijan,Professional services,2022,0,True
Poland,Professional services,2023,0,True
South Korea,Professional services,2016,1,True
Italy,Professional services,2020,5,True
Peru,Professional services,2023,0,True
Japan,Real estate,2018,1,True
Japan,Real estate,2019,2,True
Singapore,Real estate,2024,1,True
Sri Lanka,Real estate,2024,1,True
Austria,Real estate,2020,9,True
Japan,Robotics,2019,84,True
China (mainland),Robotics,2021,686,True
China (mainland),Robotics,2023,133,True
