country,field,year,num_patent_applications,complete
Germany,Industry and Manufacturing,2023,7,False
Portugal,Industry and Manufacturing,2020,0,True
Norway,Industry and Manufacturing,2020,1,True
Russia,Industry and Manufacturing,2021,1,False
Mexico,Industry and Manufacturing,2016,6,True
Mexico,Industry and Manufacturing,2019,15,True
Greece,Industry and Manufacturing,2021,1,False
Austria,Industry and Manufacturing,2018,0,True
Brazil,Industry and Manufacturing,2021,13,False
Norway,Life Sciences,2023,0,False
China (mainland),Life Sciences,2018,1912,True
Uruguay,Life Sciences,2017,0,True
Canada,Life Sciences,2018,231,True
Austria,Life Sciences,2017,3,True
Greece,Life Sciences,2022,4,False
Finland,Life Sciences,2019,11,True
United Kingdom,Life Sciences,2022,67,False
United Kingdom,Life Sciences,2023,60,False
United Kingdom,Life Sciences,2024,31,False
France,Life Sciences,2023,2,False
Lithuania,Life Sciences,2020,1,True
Chile,Life Sciences,2017,0,True
European Patent Organization,Life Sciences,2021,359,False
Czechia,Life Sciences,2017,0,True
Ireland,Life Sciences,2016,1,True
Estonia,Life Sciences,2022,0,False
Slovenia,Life Sciences,2016,0,True
Belgium,Life Sciences,2021,2,False
Serbia,Personal Devices and Computing,2016,0,True
Malaysia,Personal Devices and Computing,2022,1,False
Latvia,Personal Devices and Computing,2020,0,True
Portugal,Personal Devices and Computing,2021,2,False
Tunisia,Personal Devices and Computing,2020,0,True
New Zealand,Personal Devices and Computing,2019,3,True
Netherlands,Personal Devices and Computing,2018,3,True
Netherlands,Personal Devices and Computing,2021,6,False
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2017,13,True
International Bureau of WIPO,Personal Devices and Computing,2016,2,True
Costa Rica,Personal Devices and Computing,2020,0,True
Sweden,Personal Devices and Computing,2023,1,False
Switzerland,Personal Devices and Computing,2015,2,True
Poland,Personal Devices and Computing,2016,5,True
Poland,Personal Devices and Computing,2018,9,True
Belgium,Physical Sciences and Engineering,2023,0,False
Canada,Physical Sciences and Engineering,2019,59,True
New Zealand,Physical Sciences and Engineering,2022,0,False
Turkey,Physical Sciences and Engineering,2016,0,True
Argentina,Physical Sciences and Engineering,2022,7,False
Chile,Physical Sciences and Engineering,2015,0,True
Austria,Physical Sciences and Engineering,2019,1,True
India,Physical Sciences and Engineering,2019,0,True
South Africa,Physical Sciences and Engineering,2018,0,True
Ukraine,Security,2022,0,False
Belgium,Security,2019,1,True
South Africa,Security,2017,0,True
Italy,Security,2023,0,False
Chile,Security,2021,1,False
Lithuania,Security,2015,0,True
Luxembourg,Telecommunications,2017,0,True
Thailand,Telecommunications,2017,0,True
Finland,Telecommunications,2021,23,False
Ukraine,Telecommunications,2021,0,False
Lithuania,Telecommunications,2018,1,True
Australia,Telecommunications,2017,52,True
Eurasian Patent Organization,Telecommunications,2019,1,True
Indonesia,Telecommunications,2016,2,True
Greece,Telecommunications,2023,2,False
Italy,Telecommunications,2021,12,False
Switzerland,Telecommunications,2017,0,True
Brazil,Telecommunications,2021,27,False
Portugal,Telecommunications,2015,2,True
Portugal,Telecommunications,2018,1,True
United Kingdom,Telecommunications,2017,49,True
Germany,Telecommunications,2023,13,False
Spain,Telecommunications,2017,13,True
Poland,Transportation,2018,2,True
Colombia,Transportation,2017,0,True
Israel,Transportation,2021,4,False
Czechia,Transportation,2022,1,False
Serbia,Transportation,2021,0,False
International Bureau of WIPO,Transportation,2019,0,True
Germany,Transportation,2024,4,False
Belgium,Transportation,2016,0,True
Belgium,Transportation,2021,0,False
Australia,Transportation,2021,46,False
Eurasian Patent Organization,Transportation,2019,0,True
Singapore,Agriculture,2016,0,True
Norway,Agriculture,2022,1,False
Canada,Agriculture,2016,8,True
Oman,Agriculture,2016,0,True
Serbia,Agriculture,2018,1,True
Philippines,Agriculture,2017,0,True
Azerbaijan,Agriculture,2018,0,True
Uruguay,Agriculture,2022,1,False
Sri Lanka,Agriculture,2016,0,True
Russia,Agriculture,2019,2,True
Mexico,All,2017,64,True
Spain,All,2019,94,True
World Intellectual Property Organization (WIPO),All,2022,1848,False
Argentina,All,2022,15,False
Peru,All,2019,2,True
South Korea,All,2017,2380,True
Sweden,All,2021,20,False
Czechia,All,2019,1,True
Germany,All,2019,865,True
Norway,All,2018,6,True
Luxembourg,Banking and Finance,2020,0,True
Israel,Banking and Finance,2017,1,True
Belgium,Banking and Finance,2017,0,True
Bulgaria,Banking and Finance,2018,0,True
Mexico,Banking and Finance,2022,0,False
Finland,Banking and Finance,2019,0,True
Slovenia,Banking and Finance,2022,0,False
Spain,Banking and Finance,2020,2,True
Hungary,Banking and Finance,2019,0,True
San Marino,Banking and Finance,2015,0,True
Denmark,Banking and Finance,2019,0,True
Czechia,Banking and Finance,2020,0,True
India,Banking and Finance,2016,2,True
Lithuania,Business,2019,0,True
Hungary,Business,2023,1,False
Australia,Business,2018,68,True
Switzerland,Business,2022,2,False
Belgium,Business,2017,2,True
Austria,Business,2022,1,False
Germany,Business,2024,5,False
Slovakia,Business,2015,0,True
Turkey,Business,2019,3,True
Colombia,Energy Management,2019,0,True
Austria,Energy Management,2018,3,True
Costa Rica,Energy Management,2019,0,True
Spain,Energy Management,2018,5,True
Chile,Energy Management,2022,0,False
New Zealand,Energy Management,2017,1,True
Sweden,Energy Management,2015,0,True
Slovakia,Energy Management,2024,1,False
China (mainland),Energy Management,2016,537,True
China (mainland),Energy Management,2019,2014,True
European Patent Organization,Energy Management,2018,12,True
Philippines,Energy Management,2016,0,True
France,Energy Management,2015,4,True
Finland,Industry and Manufacturing,2021,5,False
Finland,Industry and Manufacturing,2022,1,False
South Korea,Industry and Manufacturing,2020,502,True
South Africa,Industry and Manufacturing,2019,1,True
South Africa,Industry and Manufacturing,2021,0,False
Japan,Industry and Manufacturing,2015,49,True
Oman,Industry and Manufacturing,2016,0,True
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2018,8,True
Israel,Industry and Manufacturing,2020,1,True
Czechia,Industry and Manufacturing,2018,0,True
Austria,Industry and Manufacturing,2016,1,True
Singapore,Life Sciences,2017,33,True
Moldova,Life Sciences,2021,0,False
South Africa,Life Sciences,2023,0,False
Israel,Life Sciences,2021,9,False
Malaysia,Life Sciences,2017,6,True
France,Life Sciences,2015,7,True
Spain,Life Sciences,2023,0,False
United States,Life Sciences,2022,1127,False
Canada,Personal Devices and Computing,2021,241,False
Canada,Personal Devices and Computing,2023,0,False
Panama,Personal Devices and Computing,2016,0,True
Bulgaria,Personal Devices and Computing,2022,0,False
Netherlands,Personal Devices and Computing,2016,2,True
Norway,Personal Devices and Computing,2019,3,True
Romania,Personal Devices and Computing,2017,0,True
Peru,Personal Devices and Computing,2021,0,False
Lithuania,Personal Devices and Computing,2018,3,True
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2018,5,True
South Korea,Physical Sciences and Engineering,2019,276,True
Mexico,Physical Sciences and Engineering,2016,1,True
Morocco,Physical Sciences and Engineering,2020,0,True
Norway,Physical Sciences and Engineering,2022,1,False
Turkey,Physical Sciences and Engineering,2020,2,True
Taiwan,Physical Sciences and Engineering,2020,9,True
Hungary,Physical Sciences and Engineering,2018,1,True
Germany,Physical Sciences and Engineering,2023,11,False
International Bureau of WIPO,Physical Sciences and Engineering,2016,1,True
South Africa,Physical Sciences and Engineering,2016,0,True
Thailand,Physical Sciences and Engineering,2017,0,True
India,Security,2017,12,True
United States,Security,2023,51,False
Israel,Security,2020,9,True
Morocco,Security,2020,0,True
Czechia,Security,2023,0,False
Canada,Security,2021,58,False
European Patent Organization,Security,2018,27,True
Argentina,Security,2018,0,True
Greece,Security,2018,0,True
Lithuania,Security,2016,1,True
Morocco,Telecommunications,2020,1,True
Netherlands,Telecommunications,2020,1,True
Poland,Telecommunications,2018,6,True
Ukraine,Telecommunications,2023,0,False
Mexico,Telecommunications,2015,3,True
South Africa,Telecommunications,2024,0,False
Czechia,Telecommunications,2020,1,True
Russia,Telecommunications,2020,23,True
Brazil,Telecommunications,2017,9,True
Belgium,Telecommunications,2019,1,True
International Bureau of WIPO,Telecommunications,2019,0,True
Serbia,Telecommunications,2018,1,True
Canada,Transportation,2021,37,False
Brazil,Transportation,2017,16,True
Singapore,Transportation,2020,4,True
Lithuania,Transportation,2016,0,True
Italy,Transportation,2016,4,True
Israel,Transportation,2017,5,True
United States,Transportation,2023,28,False
European Patent Organization,Transportation,2018,44,True
Philippines,Transportation,2017,0,True
New Zealand,Transportation,2020,1,True
Spain,Transportation,2017,10,True
Greece,Agriculture,2023,0,False
Norway,Agriculture,2021,1,False
Philippines,Agriculture,2021,0,False
Argentina,Agriculture,2020,3,True
Tunisia,Agriculture,2021,1,False
Spain,Agriculture,2020,7,True
Netherlands,Agriculture,2016,0,True
Peru,Agriculture,2017,0,True
Luxembourg,Agriculture,2017,0,True
Chile,All,2024,1,False
World Intellectual Property Organization (WIPO),All,2021,1396,False
Eurasian Patent Organization,All,2016,3,True
Australia,All,2020,894,True
Belgium,All,2020,6,True
Denmark,All,2021,10,False
Finland,All,2017,26,True
Lithuania,All,2019,2,True
Costa Rica,All,2020,1,True
European Patent Organization,All,2017,345,True
Japan,Banking and Finance,2016,33,True
Japan,Banking and Finance,2024,0,False
Italy,Banking and Finance,2015,0,True
Singapore,Banking and Finance,2020,3,True
Israel,Banking and Finance,2016,0,True
France,Banking and Finance,2019,13,True
Malaysia,Banking and Finance,2022,0,False
United Kingdom,Banking and Finance,2020,25,True
Lithuania,Banking and Finance,2019,0,True
Bulgaria,Business,2020,0,True
Spain,Business,2016,5,True
Spain,Business,2020,8,True
Russia,Business,2021,1,False
United Kingdom,Business,2019,35,True
Japan,Business,2015,63,True
Portugal,Business,2020,0,True
Canada,Business,2015,42,True
Canada,Business,2018,113,True
Germany,Energy Management,2016,21,True
Spain,Energy Management,2024,0,False
Lithuania,Energy Management,2020,1,True
Chile,Energy Management,2023,0,False
International Bureau of WIPO,Energy Management,2017,1,True
Greece,Energy Management,2015,1,True
European Patent Organization,Energy Management,2016,8,True
European Patent Organization,Energy Management,2019,43,True
Bulgaria,Energy Management,2015,0,True
South Korea,Energy Management,2020,428,True
Japan,Energy Management,2021,153,False
France,Industry and Manufacturing,2020,14,True
Finland,Industry and Manufacturing,2023,0,False
Germany,Industry and Manufacturing,2024,2,False
South Korea,Industry and Manufacturing,2023,56,False
Japan,Industry and Manufacturing,2024,0,False
Malaysia,Industry and Manufacturing,2022,0,False
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2015,0,True
Taiwan,Industry and Manufacturing,2023,4,False
Switzerland,Industry and Manufacturing,2017,0,True
Switzerland,Industry and Manufacturing,2020,1,True
New Zealand,Industry and Manufacturing,2022,0,False
Australia,Industry and Manufacturing,2020,60,True
Brazil,Industry and Manufacturing,2017,5,True
Croatia,Industry and Manufacturing,2018,0,True
Luxembourg,Life Sciences,2020,0,True
Ukraine,Life Sciences,2021,1,False
Greece,Life Sciences,2016,0,True
Chile,Life Sciences,2022,1,False
European Patent Organization,Life Sciences,2017,94,True
Switzerland,Life Sciences,2022,0,False
Brazil,Life Sciences,2018,51,True
Finland,Personal Devices and Computing,2017,12,True
Portugal,Personal Devices and Computing,2022,1,False
South Africa,Personal Devices and Computing,2024,0,False
Ukraine,Personal Devices and Computing,2023,0,False
Russia,Personal Devices and Computing,2016,64,True
Germany,Personal Devices and Computing,2016,73,True
Brazil,Personal Devices and Computing,2017,26,True
Poland,Personal Devices and Computing,2017,11,True
Romania,Physical Sciences and Engineering,2016,0,True
Canada,Physical Sciences and Engineering,2018,63,True
Luxembourg,Physical Sciences and Engineering,2019,0,True
China (mainland),Physical Sciences and Engineering,2022,3108,False
South Korea,Physical Sciences and Engineering,2024,1,False
Spain,Physical Sciences and Engineering,2017,6,True
Hungary,Physical Sciences and Engineering,2019,1,True
Portugal,Physical Sciences and Engineering,2016,1,True
Japan,Physical Sciences and Engineering,2021,144,False
Austria,Physical Sciences and Engineering,2015,1,True
Austria,Physical Sciences and Engineering,2018,0,True
Eurasian Patent Organization,Physical Sciences and Engineering,2016,0,True
Germany,Physical Sciences and Engineering,2020,33,True
Australia,Physical Sciences and Engineering,2019,45,True
Poland,Security,2020,1,True
Turkey,Security,2022,1,False
France,Security,2022,18,False
New Zealand,Security,2018,2,True
Singapore,Security,2018,23,True
Peru,Security,2021,1,False
Germany,Security,2017,14,True
Germany,Security,2020,32,True
Hungary,Security,2021,0,False
Finland,Telecommunications,2015,1,True
Argentina,Telecommunications,2020,1,True
European Patent Organization,Telecommunications,2015,17,True
European Patent Organization,Telecommunications,2018,104,True
Australia,Telecommunications,2015,21,True
Australia,Telecommunications,2021,218,False
South Africa,Telecommunications,2023,0,False
Colombia,Telecommunications,2017,0,True
Italy,Telecommunications,2017,7,True
Malaysia,Telecommunications,2020,3,True
Singapore,Telecommunications,2017,26,True
New Zealand,Telecommunications,2017,4,True
United Kingdom,Telecommunications,2023,136,False
Lithuania,Transportation,2020,0,True
Italy,Transportation,2023,0,False
Japan,Transportation,2022,118,False
Slovenia,Transportation,2022,0,False
China (mainland),Transportation,2024,3538,False
Greece,Transportation,2015,0,True
Netherlands,Transportation,2020,1,True
Norway,Agriculture,2020,1,True
Australia,Agriculture,2021,73,False
Philippines,Agriculture,2015,0,True
Philippines,Agriculture,2016,2,True
Poland,Agriculture,2022,0,False
Malaysia,Agriculture,2021,1,False
Germany,Agriculture,2021,13,False
Peru,Agriculture,2019,0,True
India,Agriculture,2015,1,True
India,Agriculture,2016,3,True
Russia,Agriculture,2020,4,True
Italy,All,2019,61,True
Peru,All,2015,2,True
Austria,All,2016,10,True
Canada,All,2018,685,True
Brazil,All,2015,58,True
Ireland,All,2023,2,False
Hungary,All,2019,8,True
Japan,All,2024,6,False
Australia,Banking and Finance,2023,0,False
Philippines,Banking and Finance,2018,0,True
Philippines,Banking and Finance,2019,2,True
South Korea,Banking and Finance,2017,66,True
United States,Banking and Finance,2023,27,False
Sweden,Banking and Finance,2020,1,True
Portugal,Banking and Finance,2020,0,True
Portugal,Banking and Finance,2022,0,False
Finland,Banking and Finance,2023,0,False
Spain,Banking and Finance,2016,0,True
Chile,Banking and Finance,2021,0,False
Latvia,Banking and Finance,2020,0,True
Croatia,Banking and Finance,2019,0,True
Taiwan,Banking and Finance,2021,4,False
Bulgaria,Business,2017,0,True
Norway,Business,2019,2,True
Norway,Business,2023,0,False
Chile,Business,2018,0,True
Ukraine,Business,2018,0,True
China (mainland),Business,2015,194,True
United Kingdom,Business,2022,37,False
Slovakia,Business,2020,0,True
Czechia,Business,2023,1,False
Malaysia,Business,2015,5,True
Malaysia,Business,2020,4,True
Germany,Energy Management,2021,62,False
Denmark,Energy Management,2017,0,True
Iran,Energy Management,2018,0,True
Kenya,Energy Management,2016,0,True
Slovenia,Energy Management,2016,0,True
Philippines,Energy Management,2021,0,False
Turkey,Energy Management,2021,1,False
Latvia,Energy Management,2017,0,True
Slovakia,Industry and Manufacturing,2023,0,False
Romania,Industry and Manufacturing,2021,0,False
International Bureau of WIPO,Industry and Manufacturing,2019,2,True
Ireland,Industry and Manufacturing,2023,1,False
Germany,Industry and Manufacturing,2015,11,True
Chile,Industry and Manufacturing,2021,0,False
Belgium,Industry and Manufacturing,2018,3,True
Poland,Industry and Manufacturing,2020,4,True
Poland,Industry and Manufacturing,2023,0,False
Hungary,Industry and Manufacturing,2020,1,True
Slovenia,Industry and Manufacturing,2018,0,True
Philippines,Life Sciences,2021,0,False
Peru,Life Sciences,2020,2,True
Finland,Life Sciences,2023,0,False
Slovenia,Life Sciences,2018,3,True
Hungary,Personal Devices and Computing,2023,0,False
Singapore,Personal Devices and Computing,2017,51,True
Singapore,Personal Devices and Computing,2020,29,True
Luxembourg,Personal Devices and Computing,2019,5,True
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2019,247,True
Australia,Personal Devices and Computing,2015,63,True
Poland,Personal Devices and Computing,2019,10,True
China (mainland),Physical Sciences and Engineering,2024,1483,False
Mexico,Physical Sciences and Engineering,2015,2,True
Saudi Arabia,Physical Sciences and Engineering,2021,0,False
United States,Physical Sciences and Engineering,2022,267,False
Morocco,Physical Sciences and Engineering,2016,0,True
Netherlands,Physical Sciences and Engineering,2016,0,True
Argentina,Physical Sciences and Engineering,2017,1,True
Hungary,Physical Sciences and Engineering,2021,0,False
France,Physical Sciences and Engineering,2016,3,True
European Patent Organization,Physical Sciences and Engineering,2020,42,True
Finland,Physical Sciences and Engineering,2017,0,True
Russia,Security,2017,17,True
Ukraine,Security,2023,0,False
Finland,Security,2016,1,True
Latvia,Security,2017,0,True
Philippines,Security,2021,1,False
Serbia,Security,2018,0,True
Serbia,Security,2022,0,False
Serbia,Security,2023,0,False
India,Security,2022,0,False
World Intellectual Property Organization (WIPO),Security,2020,50,True
Mexico,Security,2015,0,True
Norway,Security,2019,0,True
France,Security,2023,0,False
Kenya,Security,2016,0,True
China (mainland),Security,2023,4406,False
Denmark,Security,2017,1,True
Czechia,Security,2018,0,True
Canada,Security,2017,31,True
Greece,Security,2016,0,True
Greece,Security,2019,0,True
Luxembourg,Telecommunications,2019,4,True
Finland,Telecommunications,2017,10,True
Ireland,Telecommunications,2016,0,True
Czechia,Telecommunications,2019,1,True
Czechia,Telecommunications,2023,0,False
Greece,Telecommunications,2019,0,True
China (mainland),Telecommunications,2017,1429,True
Russia,Telecommunications,2017,31,True
World Intellectual Property Organization (WIPO),Telecommunications,2018,30,True
Philippines,Telecommunications,2019,1,True
Serbia,Telecommunications,2016,0,True
Poland,Transportation,2019,1,True
Singapore,Transportation,2019,9,True
South Korea,Transportation,2021,466,False
Chile,Transportation,2022,0,False
Japan,Transportation,2024,0,False
Bulgaria,Transportation,2015,0,True
Czechia,Transportation,2019,0,True
Switzerland,Transportation,2021,1,False
France,Agriculture,2015,1,True
Japan,Agriculture,2015,11,True
Sweden,Agriculture,2018,4,True
