rank,country,aisi_score,aisi_score_raw,breadth_factor,data_coverage,dims_scored,low_confidence,hq_attribution_flag,dim_research_capacity,dim_innovation_output,dim_commercial_ecosystem,dim_hardware_sovereignty,dim_collaboration_network,dim_talent_base,dim_governance_readiness,talent_tier,innovation_output_latest_year,has_publications,has_citations,has_patents,has_investment,has_semiconductor,has_collaboration,has_parat,has_governance,has_workforce
22,Israel,33.307260349072514,35.06027405165528,0.9500000000000001,0.9500000000000001,6,False,False,49.08518523406229,70.82305256253531,37.40368706545744,11.383333333333335,50.80389342909876,0.0,0.0,2.0,2020,True,True,True,True,True,True,True,False,False
23,Belgium,32.77325966290484,54.62209943817473,0.6000000000000001,0.6000000000000001,4,True,False,42.2241831094222,59.34897248674738,61.400109820562975,0.0,62.92110407791406,,0.0,,2020,True,True,True,True,False,True,False,False,False
24,Norway,32.750076375051684,54.58346062508613,0.6000000000000001,0.6000000000000001,4,True,False,44.275960301057715,65.04219447010449,54.943783046321336,0.0,62.995970701203994,,0.0,,2020,True,True,True,True,False,True,False,False,False
25,Turkey,32.445936546691655,54.076560911152754,0.6000000000000001,0.6000000000000001,4,True,False,41.03628283489638,71.03997686719842,52.20879464457487,0.0,62.818490414352766,,0.0,,2020,True,True,True,True,False,True,False,False,False
26,Malaysia,32.38943839407753,38.10522164009121,0.8500000000000001,0.8500000000000001,5,False,False,42.09331559565492,71.21212320773624,45.836044003923675,2.945416666666666,67.70787652669418,,0.0,,2020,True,True,True,True,True,True,False,False,False
27,Poland,31.747117409456077,52.911862349093454,0.6000000000000001,0.6000000000000001,4,True,False,39.603170428653776,71.65789702976896,50.19117546748656,0.0,60.791273515253266,,0.0,,2020,True,True,True,True,False,True,False,False,False
28,New Zealand,31.744188160774403,52.90698026795733,0.6000000000000001,0.6000000000000001,4,True,False,40.47875573102489,69.46289477693975,56.48868468814745,0.0,38.62531720797947,,0.0,,2020,True,True,True,True,False,True,False,False,False
29,Mexico,30.591080674295448,50.98513445715907,0.6000000000000001,0.6000000000000001,4,True,False,33.47896274131228,76.71554068407993,51.53824607145934,0.0,41.6061561825826,,0.0,,2020,True,True,True,True,False,True,False,False,False
30,Russia,30.375493412804744,50.62582235467457,0.6000000000000001,0.6000000000000001,4,True,False,33.508996186369025,79.65297255099915,43.9952208806548,0.0,58.534082335002026,,0.0,,2020,True,True,True,True,False,True,False,False,False
31,Portugal,30.18987074389864,50.31645123983106,0.6000000000000001,0.6000000000000001,4,True,False,38.9762746024265,63.02979430888127,51.401694936387,0.0,53.196153796074896,,0.0,,2020,True,True,True,True,False,True,False,False,False
32,Denmark,29.60532044756613,42.293314925094464,0.7000000000000001,0.7000000000000001,5,False,False,44.35268979610991,71.71768701918552,29.441406332379643,0.0,56.49856981800235,12.639196780902695,0.0,2.0,2020,True,True,True,True,False,True,True,False,False
33,South Africa,29.51126176250093,49.18543627083488,0.6000000000000001,0.6000000000000001,4,True,False,42.063021818397154,59.154984776340754,51.74781196464142,0.0,37.516945788842065,,0.0,,2020,True,True,True,True,False,True,False,False,False
34,Greece,29.254163449593733,48.75693908265622,0.6000000000000001,0.6000000000000001,4,True,False,41.76162300024667,56.70696974941407,48.824672757648266,0.0,52.61717671205258,,0.0,,2020,True,True,True,True,False,True,False,False,False
35,Hungary,28.742091833008764,33.81422568589266,0.8500000000000001,0.8500000000000001,5,False,False,35.11187813899993,67.63581290600413,45.80792580856328,2.1466666666666665,37.521848818576785,,0.0,,2020,True,True,True,True,True,True,False,False,False
36,Argentina,26.481933673160007,44.13655612193334,0.6000000000000001,0.6000000000000001,4,True,False,29.340372329132403,60.49278471837161,52.55328356183191,0.0,20.58569574422807,,0.0,,2020,True,True,True,True,False,True,False,False,False
37,United Arab Emirates,26.380907816739324,58.62423959275405,0.45,0.45,3,True,False,54.48794160411904,,61.28182935820601,0.0,64.53907248548629,,0.0,,2020,True,True,False,True,False,True,False,False,False
38,Lithuania,26.341235004486126,43.90205834081021,0.6000000000000001,0.6000000000000001,4,True,False,37.76847194357042,65.63230638019047,43.13474077059659,0.0,6.314930092483182,,0.0,,2020,True,True,True,True,False,True,False,False,False
39,Ireland,26.092110156261597,37.27444308037371,0.7000000000000001,0.7000000000000001,5,False,True,42.45668810260307,13.643134721289412,36.453236313720424,0.0,51.54680964332194,56.86314582637388,0.0,1.0,2020,True,True,True,True,False,True,True,False,True
40,Philippines,25.231860923220676,42.05310153870112,0.6000000000000001,0.6000000000000001,4,True,False,32.09033696945325,68.71701031017449,37.31060416204911,0.0,20.882423007880607,,0.0,,2020,True,True,True,True,False,True,False,False,False
41,Luxembourg,25.087242296046036,41.812070493410054,0.6000000000000001,0.6000000000000001,4,True,True,35.672475354858385,56.70696974941407,40.73077458198439,0.0,26.010936925307387,,0.0,,2020,True,True,True,True,False,True,False,False,False
42,Czechia,24.65156854715166,41.085947578586094,0.6000000000000001,0.6000000000000001,4,True,False,36.716871823169626,35.51185005505134,48.00612619427403,0.0,47.603828708104615,,0.0,,2020,True,True,True,True,False,True,False,False,False
43,Serbia,23.86540226744998,39.77567044574996,0.6000000000000001,0.6000000000000001,4,True,False,33.95512475848726,59.34897248674738,33.58388219851297,0.0,29.105100060756516,,0.0,,2020,True,True,True,True,False,True,False,False,False
44,Indonesia,23.421230153091393,39.03538358848565,0.6000000000000001,0.6000000000000001,4,True,False,37.790319853956255,26.61211279590144,48.91739274123515,0.0,41.7574142933579,,0.0,,2020,True,True,True,True,False,True,False,False,False
45,Romania,21.9088828015941,36.514804669323496,0.6000000000000001,0.6000000000000001,4,True,False,34.32649109344575,36.264741143283004,38.03727113737904,0.0,39.92838367873382,,0.0,,2020,True,True,True,True,False,True,False,False,False
46,Croatia,21.852770157800453,36.421283596334085,0.6000000000000001,0.6000000000000001,4,True,False,33.61549513880952,30.511850055051344,49.27696338021577,0.0,13.950018914753793,,0.0,,2020,True,True,True,True,False,True,False,False,False
47,Chile,21.711502554348737,36.18583759058122,0.6000000000000001,0.6000000000000001,4,True,False,34.0266511168264,25.511850055051344,47.59849294808846,0.0,31.193924662161198,,0.0,,2020,True,True,True,True,False,True,False,False,False
48,Slovenia,21.49497609045535,35.82496015075891,0.6000000000000001,0.6000000000000001,4,True,False,35.531851451635596,52.73685969084594,26.248491062393686,0.0,24.56757268045202,,0.0,,2020,True,True,True,True,False,True,False,False,False
49,Colombia,21.20301272986724,35.33835454977873,0.6000000000000001,0.6000000000000001,4,True,False,31.809731290467912,34.98093466332026,39.235820814789605,0.0,34.93524218635391,,0.0,,2020,True,True,True,True,False,True,False,False,False
50,Morocco,21.12282762541702,35.204712709028364,0.6000000000000001,0.6000000000000001,4,True,False,36.15451621527675,65.34818844275566,13.124245531196843,0.0,29.296940194178987,,0.0,,2020,True,True,True,True,False,True,False,False,False
51,Ukraine,21.106776254314553,35.177960423857584,0.6000000000000001,0.6000000000000001,4,True,False,30.08126206215206,35.0421944701045,42.56533453180931,0.0,26.42255530013205,,0.0,,2020,True,True,True,True,False,True,False,False,False
52,Peru,20.679111297638013,34.46518549606335,0.6000000000000001,0.6000000000000001,4,True,False,31.133039312374745,65.19813443207508,18.20139675777573,0.0,20.650078375933155,,0.0,,2020,True,True,True,True,False,True,False,False,False
53,Egypt,18.110799969854497,40.24622215523222,0.45,0.45,3,True,False,43.87851789279352,,32.18837721847183,0.0,57.94841895202853,,0.0,,2020,True,True,False,True,False,True,False,False,False
54,Pakistan,17.72095622751276,39.37990272780613,0.45,0.45,3,True,False,48.44822078449266,,22.64120871240902,0.0,70.06140656264846,,0.0,,2020,True,True,False,True,False,True,False,False,False
55,Thailand,17.571103679271708,29.285172798786174,0.6000000000000001,0.6000000000000001,4,True,False,35.903123517084865,5.0,38.69830974420077,0.0,38.016340540291566,,0.0,,2020,True,True,True,True,False,True,False,False,False
56,Vietnam,17.361181002999306,38.580402228887344,0.45,0.45,3,True,False,38.228593209534154,,36.19644801411015,0.0,49.52345516540887,,0.0,,2020,True,True,False,True,False,True,False,False,False
57,Slovakia,17.070376315807657,28.450627193012757,0.6000000000000001,0.6000000000000001,4,True,False,32.26158832102266,13.289223598507885,36.453484243094216,0.0,26.67956526416195,,0.0,,2020,True,True,True,True,False,True,False,False,False
58,Qatar,16.951694354622678,37.67043189916151,0.45,0.45,3,True,False,51.852941191980584,,22.966808133700447,0.0,39.754889789729425,,0.0,,2020,True,True,False,True,False,True,False,False,False
59,Cyprus,16.930810128077265,37.624022506838365,0.45,0.45,3,True,False,39.3756641099064,,37.61859827961402,0.0,30.639153003463584,,0.0,,2020,True,True,False,True,False,True,False,False,False
60,Estonia,16.728078567345243,37.173507927433874,0.45,0.45,3,True,False,35.67770998625119,,45.129493688888594,0.0,11.332756646345695,,0.0,,2020,True,True,False,True,False,True,False,False,False
61,Jordan,16.51207389490125,27.520123158168744,0.6000000000000001,0.6000000000000001,4,True,False,43.99464404148653,26.61211279590144,8.047094304617957,0.0,42.23818612590268,,0.0,,2020,True,True,True,True,False,True,False,False,False
62,Nigeria,16.424655076862287,36.49923350413842,0.45,0.45,3,True,False,37.8348723003943,,36.19644801411015,0.0,32.36782027922793,,0.0,,2020,True,True,False,True,False,True,False,False,False
63,Ghana,16.178461143959677,35.95213587546595,0.45,0.45,3,True,False,42.23207590177772,,33.73186260312847,0.0,19.71346885956874,,0.0,,2020,True,True,False,True,False,True,False,False,False
64,Bulgaria,16.08563686416177,26.809394773602946,0.6000000000000001,0.6000000000000001,4,True,False,29.278001659623943,21.955306396618788,31.911937585038118,0.0,11.087061114730762,,0.0,,2020,True,True,True,True,False,True,False,False,False
65,Bangladesh,15.834565697197649,35.18792377155033,0.45,0.45,3,True,False,43.678970326068956,,24.664704168108873,0.0,43.31661596724168,,0.0,,2020,True,True,False,True,False,True,False,False,False
66,Bahrain,15.477231799541352,34.39384844342523,0.45,0.45,3,True,False,35.76879830205998,,38.47175206857592,0.0,12.582434508283471,,0.0,,2020,True,True,False,True,False,True,False,False,False
67,Kenya,14.921911650605994,24.869852751009986,0.6000000000000001,0.6000000000000001,4,True,False,31.529987466553205,5.0,38.39464839982091,0.0,3.7396895466234077,,0.0,,2020,True,True,True,True,False,True,False,False,False
68,Uruguay,14.733960640454661,26.7890193462812,0.55,0.55,3,True,False,25.72810957572884,16.61211279590144,35.48260902961838,0.0,0.0,,0.0,,2020,True,True,True,True,False,False,False,False,False
69,Tunisia,14.324488405118558,23.87414734186426,0.6000000000000001,0.6000000000000001,4,True,False,44.04460429522087,0.0,18.20139675777573,0.0,37.50576389038475,,0.0,,2020,True,True,True,True,False,True,False,False,False
70,Iceland,14.21897995866264,31.597733241472532,0.45,0.45,3,True,False,33.23147575224088,,36.24858190605448,0.0,6.459368540071334,,0.0,,2020,True,True,False,True,False,True,False,False,False
71,Iran,13.633746070987623,22.7229101183127,0.6000000000000001,0.6000000000000001,4,True,False,42.04551150717859,15.0,0.0,0.0,59.49287539103809,,0.0,,2020,True,True,True,True,False,True,False,False,False
72,Oman,12.808432917899001,21.347388196498333,0.6000000000000001,0.6000000000000001,4,True,False,40.19274539736954,10.0,10.154302453157772,0.0,24.78046695587073,,0.0,,2020,True,True,True,True,False,True,False,False,False
73,Sri Lanka,12.435986437679443,20.726644062799068,0.6000000000000001,0.6000000000000001,4,True,False,31.6844193932408,5.0,22.64120871240902,0.0,16.41721633098957,,0.0,,2020,True,True,True,True,False,True,False,False,False
74,Mauritius,11.884119580218645,29.710298950546612,0.4,0.4,2,True,False,23.120250543571156,,36.30034735752206,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
75,Malta,11.810478538342103,29.526196345855258,0.4,0.4,2,True,False,26.597630447967745,,32.45476224374276,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
76,Lebanon,11.68597029178748,25.968822870638846,0.45,0.45,3,True,False,40.129928292152,,8.047094304617957,0.0,41.01131544866978,,0.0,,2020,True,True,False,True,False,True,False,False,False
77,Kuwait,11.587064918055338,25.749033151234084,0.45,0.45,3,True,False,39.64932604429726,,15.231453679736656,0.0,12.218179464971088,,0.0,,2020,True,True,False,True,False,True,False,False,False
78,Latvia,11.469577964864854,20.853778117936095,0.55,0.55,3,True,False,27.724101059289307,6.61211279590144,24.664704168108873,0.0,0.0,,0.0,,2020,True,True,True,True,False,False,False,False,False
79,Ethiopia,10.743227405412927,23.873838678695392,0.45,0.45,3,True,False,46.350677027423636,,0.0,0.0,29.46183999856396,,0.0,,2020,True,True,False,True,False,True,False,False,False
80,Kazakhstan,10.602309364055964,23.56068747567992,0.45,0.45,3,True,False,32.03980206367679,,18.20139675777573,0.0,11.08139199530922,,0.0,,2020,True,True,False,True,False,True,False,False,False
81,Iraq,10.536724306235886,23.414942902746414,0.45,0.45,3,True,False,41.58335101208,,0.0,0.0,44.401082076397714,,0.0,,2020,True,True,False,True,False,True,False,False,False
82,Armenia,10.189902797005086,25.474756992512713,0.4,0.4,2,True,False,26.541846045900613,,24.40766793912481,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
83,Nicaragua,9.699046382704868,48.495231913524336,0.2,0.2,1,True,False,48.495231913524336,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
84,Albania,9.495281159479912,23.73820289869978,0.4,0.4,2,True,False,25.533323269256435,,21.943082528143123,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
85,Seychelles,9.351946317691109,23.379865794227772,0.4,0.4,2,True,False,16.07142857142857,,30.688303017026975,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
86,Belarus,9.274417516383757,13.249167880548223,0.7000000000000001,0.7000000000000001,4,False,False,21.32612815291121,,17.564057485830137,5.63236111111111,1.76580221715419,,0.0,,2020,True,True,False,True,True,True,False,False,False
87,Yemen,9.25474188107088,37.01896752428352,0.25,0.25,2,True,False,40.033723444772825,,,0.0,24.959943842326272,,0.0,,2020,True,True,False,False,False,True,False,False,False
88,Botswana,9.199558534998843,22.998896337497108,0.4,0.4,2,True,False,35.84349022183644,,10.154302453157772,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
89,Gabon,9.005405024566285,45.02702512283142,0.2,0.2,1,True,False,45.02702512283142,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
90,Belize,8.786465369539282,21.966163423848204,0.4,0.4,2,True,False,18.779122973703085,,25.15320387399332,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
91,Liechtenstein,8.594775894213862,42.97387947106931,0.2,0.2,1,True,False,42.97387947106931,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
92,Georgia,8.509871584567417,21.27467896141854,0.4,0.4,2,True,False,30.760577847851735,,11.788780074985347,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
93,Algeria,8.441192198638136,18.758204885862526,0.45,0.45,3,True,False,33.348931289294,,0.0,0.0,35.428118815586714,,0.0,,2020,True,True,False,True,False,True,False,False,False
94,Antigua and Barbuda,8.267925446536273,41.33962723268136,0.2,0.2,1,True,False,41.33962723268136,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
95,Angola,8.035082046028338,40.175410230141686,0.2,0.2,1,True,False,40.175410230141686,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
96,Rwanda,8.012576184096616,32.050304736386465,0.25,0.25,2,True,False,39.09753579215829,,,0.0,3.861380513299162,,0.0,,2020,True,True,False,False,False,True,False,False,False
97,Senegal,7.916628193264069,19.79157048316017,0.4,0.4,2,True,False,26.4588954351235,,13.124245531196843,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
98,Barbados,7.9113735876172555,19.77843396904314,0.4,0.4,2,True,False,17.989497552787977,,21.567370385298297,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
99,Afghanistan,7.881696019080926,39.40848009540463,0.2,0.2,1,True,False,39.40848009540463,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
100,Namibia,7.705102102516922,38.52551051258461,0.2,0.2,1,True,False,38.52551051258461,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
101,Nepal,7.66486478159281,30.65945912637124,0.25,0.25,2,True,False,35.445636726338854,,,0.0,11.514748726500779,,0.0,,2020,True,True,False,False,False,True,False,False,False
102,Brunei,7.505112622617608,30.02045049047043,0.25,0.25,2,True,False,37.10802282774529,,,0.0,1.6701611413710065,,0.0,,2020,True,True,False,False,False,True,False,False,False
103,Eritrea,7.030411785800446,35.15205892900223,0.2,0.2,1,True,False,35.15205892900223,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
104,Malawi,7.006298583011321,35.0314929150566,0.2,0.2,1,True,False,35.0314929150566,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
105,Tanzania,6.995845063881842,17.489612659704605,0.4,0.4,2,True,False,34.97922531940921,,0.0,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
106,Uganda,6.992340799976704,17.48085199994176,0.4,0.4,2,True,False,34.96170399988352,,0.0,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
107,Uzbekistan,6.899947451773116,15.333216559495813,0.45,0.45,3,True,False,31.98701250328664,,0.0,0.0,10.050899022315743,,0.0,,2020,True,True,False,True,False,True,False,False,False
108,Ecuador,6.890701638384833,15.31267030752185,0.45,0.45,3,True,False,28.360293749795368,,0.0,0.0,24.37285776851517,,0.0,,2020,True,True,False,True,False,True,False,False,False
109,Zambia,6.847427771093159,17.118569427732897,0.4,0.4,2,True,False,29.159987628886906,,5.077151226578886,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
110,Togo,6.789314595552134,33.94657297776067,0.2,0.2,1,True,False,33.94657297776067,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
111,Saint Lucia,6.786180253118464,33.93090126559232,0.2,0.2,1,True,False,33.93090126559232,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
112,Grenada,6.78251457039564,33.9125728519782,0.2,0.2,1,True,False,33.9125728519782,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
113,Monaco,6.728963698350971,33.644818491754855,0.2,0.2,1,True,False,33.644818491754855,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
114,Cambodia,6.7282150494843584,16.820537623710894,0.4,0.4,2,True,False,33.64107524742179,,0.0,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
115,Panama,6.668200889807449,12.124001617831723,0.55,0.55,3,True,False,20.334825547493203,6.61211279590144,8.047094304617957,0.0,0.0,,0.0,,2020,True,True,True,True,False,False,False,False,False
116,North Macedonia,6.614795379601176,16.53698844900294,0.4,0.4,2,True,False,27.99682567142699,,5.077151226578886,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
117,Bhutan,6.559772104808572,32.79886052404286,0.2,0.2,1,True,False,32.79886052404286,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
118,Côte d'Ivoire,6.410077005998559,16.025192514996398,0.4,0.4,2,True,False,26.97323380341391,,5.077151226578886,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
119,Madagascar,6.28791867715079,15.719796692876974,0.4,0.4,2,True,False,18.315347854557103,,13.124245531196843,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
120,Zimbabwe,6.265048929677578,15.662622324193944,0.4,0.4,2,True,False,26.248093421809003,,5.077151226578886,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
121,Dominican Republic,6.254133805588404,15.63533451397101,0.4,0.4,2,True,False,23.223574723324063,,8.047094304617957,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
122,Sudan,6.243801401988698,24.97520560795479,0.25,0.25,2,True,False,29.50760245196834,,,0.0,6.8456182319005965,,0.0,,2020,True,True,False,False,False,True,False,False,False
123,Libya,6.22820892078049,31.141044603902447,0.2,0.2,1,True,False,31.141044603902447,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
124,Syria,6.186806678617293,30.934033393086462,0.2,0.2,1,True,False,30.934033393086462,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
125,Cuba,6.166883627565583,17.619667507330238,0.35,0.35,2,True,False,15.834418137827914,20.0,,0.0,0.0,,0.0,,2020,True,True,True,False,False,False,False,False,False
126,Saint Kitts and Nevis,6.107619904108833,15.26904976027208,0.4,0.4,2,True,False,18.749319445558815,,11.788780074985347,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
127,Bolivia,6.071443505369312,30.357217526846558,0.2,0.2,1,True,False,30.357217526846558,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
128,Costa Rica,6.070733685025891,11.037697609137982,0.55,0.55,3,True,False,21.644583828203373,11.612112795901439,0.0,0.0,0.0,,0.0,,2020,True,True,True,True,False,False,False,False,False
129,Swaziland,6.037631976686031,30.188159883430153,0.2,0.2,1,True,False,30.188159883430153,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
130,Guatemala,5.8875630368065535,14.718907592016382,0.4,0.4,2,True,False,16.313569652835923,,13.124245531196843,0.0,0.0,,0.0,,2020,True,True,False,True,False,False,False,False,False
131,San Marino,5.86916934121294,16.7690552606084,0.35,0.35,2,True,False,12.278902935420442,22.755925027525674,,0.0,0.0,,0.0,,2020,True,True,True,False,False,False,False,False,False
132,Azerbaijan,5.784976591828509,10.518139257870017,0.55,0.55,3,True,False,25.174882959142543,5.0,0.0,0.0,0.0,,0.0,,2020,True,True,True,True,False,False,False,False,False
133,Kosovo,5.693609189428962,28.46804594714481,0.2,0.2,1,True,False,28.46804594714481,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
134,Fiji,5.581292469475136,27.906462347375676,0.2,0.2,1,True,False,27.906462347375676,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
135,Cameroon,5.5781028744975885,27.890514372487942,0.2,0.2,1,True,False,27.89051437248794,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
136,Gambia,5.450317399918745,27.251586999593727,0.2,0.2,1,True,False,27.251586999593723,,,0.0,0.0,,0.0,,2020,True,True,False,False,False,False,False,False,False
137,Honduras,5.438692060817272,12.085982357371714,0.45,0.45,3,True,False,20.956919866032447,,5.077151226578886,0.0,4.637556845900096,,0.0,,2020,True,True,False,True,False,True,False,False,False
